outlet,author,rating,text,date_posted
Anytime Fitness Bedok 85,Jack,4,"Very nice and clean environment will be how I describe this AF.
Cleaning cloths and solution are available everywhere.
Lots of pigeon holes at the rack and also in changing room and machine area do you do not need to walk too far.
Changing area is clean as well.
Everyone just go about doing their own stuff without much hoggers or chatters which is good.
Most of the weights are in their rightful place so that's gym etiquette here.
Improvements can be made to the Aircon which feels warm, and water cooler isn't really that cold either I had my post workout in room temperature water. Maybe just a bit more room to manoeuvre in between the stations will be better if some adjustment can be made.",Date not found
Anytime Fitness Bedok 85,Richard Toh,2,"The gym is very well equipped. The only cons is that the flooring for the squat racks are very uneven, and is very unsafe to do squats. Hope the management can look into it.",Date not found
Anytime Fitness Bedok 85,Mindy Khor,5,"Signed up for the family bundle at AFBedok85 and love it! Great place for family bonding, and even as first-timers we felt comfortable thanks to the friendly staff. Perfect environment to stay fit together and support each other as parents.",Date not found
Anytime Fitness Bedok 85,Sally,5,"This gym size about 2.5 times of other gym. It has many gym equipments that will suit many members needs. I enjoy going to this gym for fitness. Besides, it is closed to hawker center and coffee shop, good for get together meals after workout.",Date not found
Anytime Fitness Bedok 85,Nesh Waran,5,"This gym is awesome, it's clean and has great equipment. But can you please do something about the people slamming weights? Especially that one dude in the singlet and also in 30s and wearing specs, he's always doing it and messing up the floor. Please look into it.",Date not found
Anytime Fitness Bedok 85,Don Liew,5,This gym gives me positive vibes each time I visit for my workout. There is ample space between gym equipments and they are all well-maintained. Great job to the team at Bedok 85!,Date not found
Anytime Fitness Bedok 85,hello gmail,5,"I've been going to Anytime Fitness Bedok 85 for the past 6 months and it's been a fantastic experience. The gym is always clean, well-organized, and equipped with everything you need, from free weights to cardio machines.

The workers are knowledgeable and always willing to help, whether you're new to fitness or more advanced.

One of the biggest pluses for me is how welcoming and inclusive the environment is. No judgment, just people working toward their goals.

Highly recommend to anyone looking for a quality gym with a supportive atmosphere!",Date not found
Anytime Fitness Bedok 85,rohan james,5,"if you see some of the reviews previously, there were some comments on the flooring issues under the previous management. the floor was caved in for months, mirrors were cracked for years, yet the previous management never did anything.

new management came in and worked on those. i also sounded out some comments about the new layout of the gym, and the assistant manager, hakim came over to hear my concerns and to ensure that the new management is not just cognisant, but genuinely invested in the experience of the their members.

still not a fan of the new layout haha but i am very impressed with the new management and trust that they will keep the gym in great condition. shout out to all three hakims but especially the hakim i spoke to",Date not found
Anytime Fitness Bedok 85,Hafidz Yns,5,My wife and I went over to AF Bedok 85 to see what package and offers was available for us as it was near our home. We were greeted by a friendly staff by the name of Hasbi. He brought us around the gym to see the equipment and machines available. Very knowledgeable and excellent customer service.,Date not found
Anytime Fitness Bedok 85,Ëvã Fãwżî,5,"Anytime Fitness has been such a convenient and welcoming gym for me, especially with its 24/7 access. The staff are friendly, the equipment is well-maintained, and the space is always clean and safe. Highly recommend for anyone looking for a reliable and comfortable place to work out.",Date not found
Anytime Fitness Bedok 85,Alex Yang,5,"Great weather, great timing and great view~!
The view is good and timing is good around 5pm to 6pm for cardio",Date not found
Anytime Fitness Bedok 85,Nikki,5,I went down to this anytime fitness and was greeted by a great staff member named Yulun. He was detailed in explaining the packages that the gym offers. The gym also well equipped and clean i do recommend 👌🏻 …,Date not found
Anytime Fitness Bedok 85,syed alwee,5,"You really can't go wrong with Anytime Fitness Bedok 85. I love it because it is super clean, well-equipped, and open 24/7, which is incredibly convenient for me being a student. The staff, especially one of the workers named Hasbi is super friendly and helpful, making it a welcoming place to work out.",Date not found
Anytime Fitness Bedok 85,Riz Yazid,5,"rom the very moment I stepped into the facility for the first time, I was greeted with an exceptional level of hospitality. Yulun, a member of the staff, went above and beyond in making me feel not just welcomed, but genuinely valued. With an infectious energy and a warm, approachable demeanor, he personally took the time to show me around every corner of the gym, ensuring I felt completely comfortable and oriented in the new environment.

As someone who’s new to the area, I couldn’t have asked for a better introduction. Yulun’s tour was not only informative but also filled with genuine enthusiasm. His passion for the place was absolutely contagious. It honestly felt less like a staff member doing his job, and more like a friend excitedly sharing his favorite space.

Thanks to his incredible welcome, what could have been an intimidating first visit turned into an enjoyable, even uplifting, experience. He truly made my first workout session here memorable, and set the tone for what I already know will be many more to come.",Date not found
Anytime Fitness Bedok 85,Fadhilah Noraman,5,"Really love working out at Anytime Fitness Bedok 85! The gym is sooo clean, well-equipped and never too crowded.

The staff are friendly and extremely approachable, especially Hakim. He helped with my queries and answered all my questions clearly!",Date not found
Anytime Fitness Bedok 85,K1fgy,5,"Had a splendid time working out at AF Bedok 85. Wide selection of equipment, squeaky clean and not forgetting the friendly and welcoming staff! Also shoutout to Hasbi for being informative and showing me the ropes around the gym (no pun intended).",Date not found
