outlet,author,rating,text,date_posted,review_id
Anytime Fitness City Square Mall,Benedict Correya,5,"One of the nicest Anytime Fitness gyms I’ve visited! The gym is spacious, clean, and well-equipped with a wide range of machines and weights. The location inside City Square Mall is very convenient. Staff are friendly, and the overall atmosphere is motivating — great place for a solid workout.",,Ci9DQUlRQUNvZENodHljRjlvT2w5c1YxQktWMjVMUkVObFRIZDFkMlZXVkZaSFNuYxAB
Anytime Fitness City Square Mall,Michael Thein,5,"⭐️⭐️⭐️⭐️⭐️

Anytime Fitness City Square Mall is one of the best outlets I’ve trained at. The gym is clean, spacious, and very well-maintained, with large windows and a refreshing skyline view that makes every workout enjoyable.

✅ Facilities & Equipment – Wide range of machines, free weights, and functional training equipment, all in excellent condition. The layout is spacious, so it never feels overcrowded.
✅ Environment – Bright, airy, and motivating. The natural light and open feel create a great workout atmosphere.
✅ Location – The best part is that it’s right next to SEAS, which makes it extremely convenient for those nearby.
✅ Staff – The staff are friendly, approachable, and always warmly treat members, making you feel welcome from the moment you step in.
✅ Cleanliness & Maintenance – Everything is well-maintained and kept spotless.

Overall, this branch is a gem – modern, convenient, and motivating with an excellent team. Highly recommended! 💪",,Ci9DQUlRQUNvZENodHljRjlvT25RMWJFaEhVemRzVURSVlZtaDRXVTFrVVRsdmExRRAB
Anytime Fitness City Square Mall,Justin Hoyo,5,"One of the better anytime fitness outlets in Singapore’s by far. The gym is extremely spacious, well-equipped, and well maintained. It’s location within city square mall which is convenient from MRT. There’s a total of six power racks and two smith machines. Cable stations are also available. They also have dedicated changing room/toilet area.

Would be willing to travel here on the weekends. I would assume weekday evenings will be packed. Come and check this gym out! ⭐️⭐️⭐️⭐️⭐️",,Ci9DQUlRQUNvZENodHljRjlvT25nM09YRTFRMHR5UlU1RFpteE5TRGhKTVdwTFlrRRAB
Anytime Fitness City Square Mall,khrhms,5,"Stumbled upon this awesome AF outlet while at the area for lunch. Great facilities, huge and super clean. So many equipments to choose from! The showers are clean and the female toilets even have sanitary pads. Bath soap and shampoo also provided. Will come again to work out here more often.",,Ci9DQUlRQUNvZENodHljRjlvT2tWMVYyRjRUM0JDTWpsc1RYUnBTalJhYzNvMFVtYxAB
Anytime Fitness City Square Mall,Jane Jha,1,"• Gym's sanitizer spray are often empty, making it difficult to maintain hygiene.

• The wiping cloth provided are consistently dirty, dusty, and have a strong odor. Wet wipes dispenser are always empty

• Members are forced to bring their own wipes because hygiene is essential, yet the gym doesn't supply these basic necessities.

• Despite a rule requiring members to sanitize equipment after use, basic cleaning supplies are not provided.

• Despite paying monthly fees, we are expected to supply our own cleaning materials, and the equipment is frequently dusty and poorly mentained

I am sharing my experience here because submitting feedback through the QR code provided doesn’t seem to reach management. Nothing has changed, and only getting worse.",,ChdDSUhNMG9nS0VJQ0FnTURJN05IMHhnRRAB
Anytime Fitness City Square Mall,Zero!,5,"Really love this gym! The place is clean, spacious, and has all the equipment I need. Everything is well-maintained and even when it gets a bit busy, I never have trouble finding a machine. The staff are super friendly and always willing to help out, which makes the atmosphere really welcoming. Plus, the location inside City Square Mall is super convenient for me. Definitely recommend this branch of Anytime Fitness!",,Ci9DQUlRQUNvZENodHljRjlvT2xWbU4zRklkbk5PZEVKMU4wRmFSM2gzVTAxck1GRRAB
Anytime Fitness City Square Mall,Rachel Citrella,5,"This gym is big and spacious. They have more machines than the average AF. For example, they have 2 smith machines and I don’t have to wait. Environment is nice with their friendly staff. I don’t usually frequent here but I might just drop by whenever I’m in town.",,ChdDSUhNMG9nS0VMclhoN0tFcUxINjJ3RRAB
Anytime Fitness City Square Mall,CALLISTA SHANNON,5,"Kyan Joseph Dian are amazing staff with impeccable customer service . I requested for the genre of songs and they acceded to my request without any complaints. The gym is clean and nicely maintained and smells amazing. 10/10 recommend , it’s one of my favourite outlets. ! It also has amazing sunlight if you like to take gym videos",,ChdDSUhNMG9nS0VJQ0FnTUNndktLejFRRRAB
Anytime Fitness City Square Mall,Alexander Aaltonen,4,"Visited this AF outlet a few times as I was staying nearby. All in all a very decent gym with a good variety of machines and equipment -- perfect for any kind of exercise!

Gets a bit crowdy after work, but still manageable! The outlet is tucked away all the way up to the 6th level of the mall, might be a bit tricky to find if you're visiting the first time.",,ChZDSUhNMG9nS0VJQ0FnSUNfaUtQcGJnEAE
Anytime Fitness City Square Mall,Michael Bruh,5,"Very good gym. Clean and friendly environment.

I had pleasant experience with the receptionist, Daryl. He was very friendly and informative",,Ci9DQUlRQUNvZENodHljRjlvT21VelVVdGlPV3hpZEhrMU5DMDNja0ppZW1ORFUyYxAB
Anytime Fitness City Square Mall,Termy Gator,5,"Excellent gym with top of the line equipment and excellent amenities, clean toilet in a nutshell. Can be a tad bit crowded but excellent service rendered by the staff more than superseded the dense gym population.

Special mention to Daryl who took the time to run me through some of the equipment despite me being rather lost and intimidated by all the muscly men and women there. He was patient and knowledgeable and I honestly thought he was a PT. Turns out he was just a regular staff there, regular staff also so knowledgeable omg, their PT must be insane.",,Ci9DQUlRQUNvZENodHljRjlvT21kVlpuWTVTbTFuU2pSWlJsOUpXbWxpUlZjMlVYYxAB
Anytime Fitness City Square Mall,jourdan wee,3,"The gym itself is very updated and filled with great machines, and the staff members are polite and nice.

However I would caution females to come here. The males in this outlet would use the females only toilets & bathrooms, despite blatant posters on the door indicating the female’s side. I would not recommend any females to come in here for their privacy and safety. If you have to, you are better off using the shopping mall’s toilet in the same level.",,Ci9DQUlRQUNvZENodHljRjlvT25kcVdrTTFaa0owVlZwelNFSjRRekJFVmxST2NWRRAB
Anytime Fitness City Square Mall,zeny lim,5,Well equipped gym with fully functional machines. Clean and friendly staff.,,Ci9DQUlRQUNvZENodHljRjlvT2xSRVMzUlhYMWxtT0VWSVJrZE5YelZqT1ZsbVJHYxAB
Anytime Fitness City Square Mall,Bryan,5,"Really well equipped and spacious gym.

Staff are very friendly

Many power racks to do deadlifts bench or squat. All with high quality LF equipment .

Hope that the gym will add more chairs to sit in after gymming to enjoy our protein shakes",,ChZDSUhNMG9nS0VJQ0FnSUMxX1BmcmV3EAE
Anytime Fitness City Square Mall,Kid Carter Wagang,5,"Visited twice during my vacation in SG. I went at around 6/7am on Saturday and Monday. The place was relatively empty at that time except for a probably around 5/6 people. The place was big with an array of exercise equipment.

What amazed me was the abundance of sanitizer and towels, I think there is one for every machine. The shower area was also stocked with deodorant, for those just in case moments.

My mind was blown by the fact that they have supplement vendo machines.

Overall an upgrade from my AF home gym.",,ChZDSUhNMG9nS0VJQ0FnSUNyNE5qdVFnEAE
Anytime Fitness City Square Mall,Ashish Bokil,5,"I recently visited Anytime Fitness at City Square Mall with my two boys, and we all had a fantastic experience. The gym has a really positive and motivating atmosphere, which is exactly what we need to get our workouts oingg). Everyone there, from staff to other gym-goers, seemed friendly and focused on their fitness goals.

The gym itself is spacious and well-equipped, with plenty of machines and weights to accommodate different workout styles. My boys especially enjoyed the variety of cardio options. We'll definitely be back for another family workout soon!

Easy option to shop n workout n eat",,ChZDSUhNMG9nS0VJQ0FnSUN6dm83S0RBEAE
