outlet,author,rating,text,date_posted,review_id
Anytime Fitness Clementi 354,Filza,3,"Gym is pretty spacious and has plenty of Matrix machines & cool attachments. However it is extremely hot and stuffy. Out of 7 aircon on the second floor, only 2 are turned on. There aren’t even 10 people upstairs now - I can’t imagine how much stuffier it would be during peak periods!",,ChZDSUhNMG9nS0VPRGZwTXlmNGZpS1pREAE
Anytime Fitness Clementi 354,Preesha Chandra,5,"I've been going to this gym for a while now. The equipments and environment are clean, and well-maintained. The staff are always friendly, professional, and willing to help — whether you’re a beginner or not.

Whether I’m there for a quick workout or a long session, I always leave feeling stronger and more focused. Highly recommend !",,Ci9DQUlRQUNvZENodHljRjlvT25SM2FrUjNRVWR1Ym01SGRuUktWSFJqYjA5cmIyYxAB
Anytime Fitness Clementi 354,John Hii,5,"New outlets so everything are new, friendly lady trainer, Mel who afternoon shift. Only thing quite crowded after 7.30pm so need avoid this timing. Overall good so must join this outlet now.",,ChdDSUhNMG9nS0VKemF2LUtwcHZDZDJ3RRAB
Anytime Fitness Clementi 354,Wendy CSY,5,"Update: 3 May: After I sign up the membership and try out the gym equipment, I must say the whole environment is very encouraging and comfortable to work out. Mel just gave me a training session on how to use the equipment correctly today. Thank you Mel for coming down on a public holiday just to go through the session with me. She is very patient and I learn a lot today! The staff here are very helpful in general.

25 Apr: Excellent service from Mel! Very friendly and helpful in showing me around and explaining on what the gym offers. Love this new gym! Convenient and nicely equipped!",,ChZDSUhNMG9nS0VJQ0FnTURvbnR1RUt3EAE
Anytime Fitness Clementi 354,Samantha Keo,5,"Everything is well taken care of and it’s clean where the equipment are. Staff are friendly too and super helpful when I was new to the gym :)
Easy to find and get to! No regrets joining",,Ci9DQUlRQUNvZENodHljRjlvT21SSE5WcHlXVXRtVjI1a1RYWTJlVkpxTnpSb04wRRAB
Anytime Fitness Clementi 354,Gurl xoxo,5,"Love the vibes here! The gym is always clean, the equipment is well-maintained, and it’s not too crowded when I go. Staff are super friendly and chill too. Feels like my second home now! 🥳 …",,Ci9DQUlRQUNvZENodHljRjlvT25Wc2NFRndPVlJaWWpSYVpFdzFSRFJOWXkxa2VWRRAB
Anytime Fitness Clementi 354,Alysa Heavienne,5,staff are really friendly and so helpful! the gym is really cozy and chill. great variety of different equipment. really clean compare to the other anytime fitness outlets! COME COME JOIN JOIN!,,Ci9DQUlRQUNvZENodHljRjlvT2pWVk5YSXhPRGQxUzNOQlZHeGxTa2RrU2tWMVNYYxAB
Anytime Fitness Clementi 354,Orlando García,5,"The place has everything you need, all brand-new, and the front desk ladies are super friendly!",,Ci9DQUlRQUNvZENodHljRjlvT2paNFJESk1NRlYxZUhKQ1NWOWpNRTU2ZW01QmMxRRAB
Anytime Fitness Clementi 354,Ethan Ong,5,well equipped and spacious! the staff were very friendly and professional! definitely give it a try to enjoy a good workout💪💪 …,,Ci9DQUlRQUNvZENodHljRjlvT21kTVRsWmlWVzB0WTJFMlVESlRaRUZRU1d4WFFXYxAB
Anytime Fitness Clementi 354,Shakii Shafie,5,"good equipment, clean and friendly staff. usually will avoid peak hours since the gym is funsize (small) so it will be quite packed!",,Ci9DQUlRQUNvZENodHljRjlvT2toclpERkdORWN0Y2twTFRubHlUMDFoWTJaaU5YYxAB
