outlet,author,rating,text,date_posted,review_id
Anytime Fitness D'Arena Jurong,Nicholas Wong,5,"Spacious and well lay out. Towels are provided here. Fitness instructor Colan is exemplary and services oriented . He motivates me to do a body scan via Visbody every few months in my fitness journey . The gym keeps improving , with Hyrox equipment lately . Highly recommended !",,Ci9DQUlRQUNvZENodHljRjlvT25Sc1MyTlJTRFp2ZDNGUFdFbFlOek5SYWxnMlQwRRAB
Anytime Fitness D'Arena Jurong,Muhammad Zulfadly Bin Abdul Manap,5,"Good outlet. Quite empty on a weekday afternoon. Plenty of squat racks and a platform for powerlifting. The variety machine is also great. The functional training area is big with good equipment such as sleds and ski-ergs. For those who love group exercises, they also have classes in the evenings. Staffs are quite friendly. They also provide small towels for your workout. Such a shame I don't stay anywhere near this outlet, else I would frequent here.",,ChdDSUhNMG9nS0VJQ0FnTURnNGFiN213RRAB
Anytime Fitness D'Arena Jurong,Dora Winifred,5,"The staff there; Colan & Ryan exceeds expectations. They are more than just the staff there. They really take effort to get to know their members & listen to them. The gym is spacious & clean. Overall the experience here is remarkable. You got to work out & make new friends, very welcoming.",,Ci9DQUlRQUNvZENodHljRjlvT25GRk5WOXFVMVJDUVRWNk1sbEVhVFpMUmpCWFZFRRAB
Anytime Fitness D'Arena Jurong,Nanson Lim,5,"Been a member since their opening and never looked back! I’ve been friends with Ryan and Colan since day one—they’re not just friendly, they truly make you feel at home. The community spirit here is incredibly high, and the vibes are something I’ve never experienced in any other gym before. The equipment is always well-maintained, the place is spotless, and the atmosphere makes you actually look forward to working out. Everyone here, from the staff to the members, is welcoming and supportive. Easily the best gym experience I’ve ever had!",,Ci9DQUlRQUNvZENodHljRjlvT2xoTFVqVkhka1J1Y0ZSdmQyNDVkVXBtTW14QmFFRRAB
Anytime Fitness D'Arena Jurong,Melissa Prawirasatya,5,"Very nice gym n club. The members and management are all very friendly and welcoming. Love the community and family vibe, everyone is building up and encouraging each other, bring out the best in you and push yourself to be better. Great facilities here too!!! Got swimming pool too! I wish I can swim 🙄Here you find not just gym friends but also hangout buddies, a great and fun trip together 😎 Come join us!!!",,Ci9DQUlRQUNvZENodHljRjlvT2pObk5XeEliMUk0UzNCM2FFcE5TbFpUVWxOZlQwRRAB
Anytime Fitness D'Arena Jurong,Wayne Liao,5,"I’ve been training at this branch for a while now and it’s easily one of the best gyms in the area. The environment is clean, well-maintained, and spacious — even during peak hours, it never feels overcrowded.

The equipment is modern and comprehensive, catering to all types of workouts — from strength training to cardio and functional exercises. Machines are always in good working condition, and any maintenance is attended to quickly.

What really sets this gym apart is the team. The staff are friendly, professional, and always ready to help. Whether it’s assisting with equipment, answering questions, or just offering a warm greeting, their positive energy makes a big difference.

It’s also a huge plus that the gym is open 24/7 — super convenient for those with busy or irregular schedules.

If you’re looking for a supportive and clean environment to work out in Jurong, I highly recommend giving this place a try!",,Ci9DQUlRQUNvZENodHljRjlvT2tkMFowUllOR2QxTWtOaFVuSllhRnBDYldGelMzYxAB
Anytime Fitness D'Arena Jurong,Hong Nan Kuan,5,Great gym manager who goes all out to interact with the members. Classes are great for all levels of fitness and instructors are very engaging. Gym equipments in good maintenance and environment to work out in is fantastic. A sure 5/5.,,Ci9DQUlRQUNvZENodHljRjlvT2s1dlVsQnhTMlZQWlhvMFlWbERiWGxrTlV0dlJVRRAB
Anytime Fitness D'Arena Jurong,Shu Min Tan,5,Big space. New equipment. Well maintained. Gym mood music. Young people and friendly vibe. 10/10,,Ci9DQUlRQUNvZENodHljRjlvT2pOWFYwa3lZVXBDY0VjeFRIZE9aRlp3YUROSlVYYxAB
Anytime Fitness D'Arena Jurong,Rick Ee,5,"Had a great experience at D’arena outlet. Gym looks new, huge and people were friendly. Equipment and cables are plenty and music was great and motivating",,Ci9DQUlRQUNvZENodHljRjlvT2t0R1lWbHdTVE5yYzNKM1JHcHlNMVp5Y0ZsTUxXYxAB
Anytime Fitness D'Arena Jurong,Linus Lee,5,"Anytime Fitness D’Arena is radically exceptional, radically generous, radically authentic.

Where most AF outlets nickel-and-dime you for classes, D’Arena flips the script: daily Yoga Wheel, Hyrox, and more — all free, all real, all transformative. No gimmicks, no gloss, no games. Just substance, sincerity, and strength.

Special mention to Ryan — my Hyrox partner. His energy is not the canned hype of the average trainer, but effusive, grounded encouragement that forges genuine connection. Instead of a sales pitch and empty theory, Ryan delivers presence, partnership, and purpose.

Facilities impress, yes. But it’s the ethos that sets D’Arena leagues above the AF norm. If you want fitness that transcends façade, this is it.

— Linus",,Ci9DQUlRQUNvZENodHljRjlvT25veFZETldXbFZ1VFVoVlRWSkllVjh5YVdnelVtYxAB
