outlet,author,rating,text,date_posted,review_id
Anytime Fitness Eastwood Centre,Elaine Gatdula,5,It’s great to be transferred here at AF eastwood! Great gym with excellent equipment and flexible hours. I really like how clean and well-kept the space is. It’s a solid gym for anyone who wants a convenient and friendly workout environment.Friendly staff.You will be greeted by Anwar and Azri.,,Ci9DQUlRQUNvZENodHljRjlvT21VeU1HTndlVll5TFY5SlpuUnZYek5uWlRsUFJXYxAB
Anytime Fitness Eastwood Centre,Joey Lu,5,"Anytime Fitness Eastwood Centre is a great gym with a welcoming atmosphere. The space is clean, well-maintained, and has all the equipment you need for a solid workout. It’s convenient for both quick sessions and longer training, and the overall vibe is friendly and motivating.

Small shoutout to Azri and Anwar for their positive energy and support, they make the place even better!",,Ci9DQUlRQUNvZENodHljRjlvT21OUWMyUmxhVk16U214MWJGTXpWVGh6WTJkTWVYYxAB
Anytime Fitness Eastwood Centre,miloice74,5,"Nice community. Happy to have a training area amongst fellow eastwood neighbours.  Staff is friendly and engaging. Very positive vibes. Equipment is adequate but can be improved. Shower rooms are sufficient and well placed given the space. Overall design of the AF branch is intuitive and convenient.

The cardio equipment allows you to access your streaming videos and earphone jacks.

[Update] I am so glad with the upgrades with the stairmaster and abductors adductors machine. Well done guys!",,Ci9DQUlRQUNvZENodHljRjlvT25SeFpuUnlXRmRWVlhZMlRUTkRSemN5Vm5aNU1uYxAB
Anytime Fitness Eastwood Centre,Oscar Geoffrey David,5,Eastwood centre branch was awesome. Great place and staff are friendly. Especially to Azri & deja. The gym was always kept clean. Wide range of fitness equipment. Recommend ☝️,,Ci9DQUlRQUNvZENodHljRjlvT2pGWU1GaFRPRTVuVFVJeU5FSkxTUzAzUkdNd1YzYxAB
Anytime Fitness Eastwood Centre,Seth,5,"Love this outlet for its sensible layout, chill vibes and friendly staff. Shoutout to Azri!

The gym is kept very clean, spick and span. It never gets very crowded and there’s plenty sufficient equipment and space despite the small square footage, I never feel claustrophobic.

Always a good time coming to this franchise, good energy! Cheers Eastwood 💪🏻",,Ci9DQUlRQUNvZENodHljRjlvT204eFIyTjVlbFJLY1RkQlFWVk1kVzVVUkRKMGQxRRAB
Anytime Fitness Eastwood Centre,Muzammil Peer,5,"⭐️⭐️⭐️⭐️⭐️
Anytime Fitness Eastwood Centre is a great little gym tucked in a quiet neighbourhood, just opposite Bedok Corner. It is fully equipped with machines for all muscle groups, and the space is clean and well-maintained.

I usually come in around 6am when it is peaceful, or around 6pm where it is slightly busier but still filled with like-minded people who respect gym etiquette. The atmosphere is always positive.

Special mention to the staff,  Anuar, Asri, and Amirul who are super friendly and helpful. They are always ready to guide newcomers and make everyone feel welcome. Their presence really lifts the vibe of the place.

Highly recommend this branch if you are looking for a no-frills, cosy gym with good people and good energy.",,Ci9DQUlRQUNvZENodHljRjlvT2pORVNHdGhkVnBPUmtVNVJVTTJNbkI0WjNneWNIYxAB
Anytime Fitness Eastwood Centre,Denyse Winniefred,5,"Always a joy to gym here. Always friendly staff, machines are well-maintained and pretty spacious for a decent gym in the neighbourhood.",,Ci9DQUlRQUNvZENodHljRjlvT25NNGNtOHlXRTE0WVdOa1YxVkVlbnBsVWs1cGNIYxAB
Anytime Fitness Eastwood Centre,Si Xian Pang,5,Nice and clean gym with lots of equipments just walkable distance from where I stay. Bedok Food Centre is just located directly opposite where you can have good food after 🙂 …,,Ci9DQUlRQUNvZENodHljRjlvT2pabmRrZE9SMnhyVm1FMWFFVnFWMU10U0ZSVU9IYxAB
Anytime Fitness Eastwood Centre,Siraj Munir Muzammil,5,Brilliant gym got everything you need and well suited for everyone regardless of their experience. The staff wow superb super friendly and approachable and helpful! Many good times joking around with them. They really liven up the gym and make the experience super fun! 1000/10,,Ci9DQUlRQUNvZENodHljRjlvT2xaM1FUSkpkR1YxUzFKSmFsQkdhM0ZtVkdvNGFtYxAB
Anytime Fitness Eastwood Centre,Mark Yong,4,"Nice selection of new equipment, but quite small. Having spotlights that shine straight into your eyes when bench pressing is definitely a choice. Has lots of super heavy dumbbells, but only 1 pair each of the most common types, i.e. 8, 10, 12 etc.",,Ci9DQUlRQUNvZENodHljRjlvT2pWRE9VZEthMkZ3UTBwcFVVdFlVV0ZIVEZkeVlWRRAB
Anytime Fitness Eastwood Centre,rafaelnickocruz,5,"The club manager knows his stuff. He was able to explain to me in details what needed to be done for me to reach my goals and how this place would be the perfect environment for me to achieve those fitness goals of mine this year. Helpful as well since he also gave me a rough breakdown of what needed to be worked on for me to get one step closer to achieving it.

If anyone wants to get fit, stay healthy, have a comfortable environment while working out, have unlimited options with equipment. This branch is perfect and convenient.",,Ci9DQUlRQUNvZENodHljRjlvT25kaE0zQmFRbTlEVUhadWFYVk5PVmhzUVZSYVNGRRAB
Anytime Fitness Eastwood Centre,Nico Lim,5,"Great environment, service is professional and very friendly gym. Would Recommend to others to join👍🏽 …",,Ci9DQUlRQUNvZENodHljRjlvT25JeFVHSnFVMlV0WlhGa1pEbDVkMEZxTldSSE1GRRAB
Anytime Fitness Eastwood Centre,Md Akid,5,A new AF gym outlet and it totally didn’t disappoint! I had a great time working out there. It was quite as not many people come around the time I came and I work out and body of my selection without any disturbances and I really like how new the dumbbells are as they are different but unique than other AF dumbbells. Honestly u guys should try working out here it’s really a hidden gem to work if your the type of person who likes going to different gyms,,Ci9DQUlRQUNvZENodHljRjlvT2pCaGFIRlpOVmg1TFdWZlVsaEZjV3hOYmtaU1ZIYxAB
Anytime Fitness Eastwood Centre,Unknown,5,"Anytime Fitness Eastwood has been my go-to spot lately. The gym’s clean, never too packed, and the energy’s just right. The staff is always around with big smiles and ready to help attitude which makes a big difference. Everything just feels easy and comfortable here.",,Ci9DQUlRQUNvZENodHljRjlvT21WR1ExcHhUVWc1TnpSRFFtUXRUR2R4U21WelNuYxAB
Anytime Fitness Eastwood Centre,gwyneth,5,"Best gym I’ve been to so far. Anwar and Azri make everyone feel so welcome and supported. They won’t hesitate to assist anyone, whether with workout tips or general questions. The gym itself is super spacious, and there is a wide range of equipment that targets every muscle group. Highly recommend checking this gym out!",,Ci9DQUlRQUNvZENodHljRjlvT2tZeU9IaHJaRXB5WDBOdlJVZHhjMGRwU2poM1ZYYxAB
Anytime Fitness Eastwood Centre,angela lee,5,"I enjoy spending my gym session here at  Eastwood Centre, as the staff are super friendly and down-to-earth! The equipments are well-maintained and clean. Would recommend!!! 😍😝❤️ …",,Ci9DQUlRQUNvZENodHljRjlvT20wNFZHdHZXRVpLY0hKaWNXMXdOWFJOVGkxUFltYxAB
Anytime Fitness Eastwood Centre,Rambabu Thippana,5,"This gym is always clean, the equipment is great, and gives good vibes, overall a nice place to workout.
Huge shoutout to Azri and all other staff – such a friendly,  helpful and answers all our doubts very patiently.",,Ci9DQUlRQUNvZENodHljRjlvT2pCbFVFSjRSSE5ZTVZWc2FtTlBSM3A0ZEd0QmFYYxAB
Anytime Fitness Eastwood Centre,Janesa Leong,5,"Goated staff 🫡

Edit: tbh been to a few outlets already, this is my home gym and they have the best gym playlist ngl …",,Ci9DQUlRQUNvZENodHljRjlvT2xkSFZVTnZiVk0yVDJVelQwVldjVnB6TmpRMUxVRRAB
Anytime Fitness Eastwood Centre,Celeste Ng,5,"I love EASTWOOD AF!!! It's my friend's and my first time signing up for a gym membership, and we absolutely love it here!

From the environment and equipment to the staff team, everything is 11/10. It's a cozy little outlet but the vibes are great and it's always a joy to work out here. While it's a smaller outlet, this gym feels spacious and has most of the essential equipment for a fulfilling session.

The staff members, Amirul, Azree and Anwar, are also incredibly friendly and helpful. They are always ready to offer advice about the various machines and exercises, and their enthusiasm makes the gym vibrant and welcoming! Eastwood AF feels so homey and exercising here feels so much easier with all the good energy around :-)",,Ci9DQUlRQUNvZENodHljRjlvT25odGRXMVNURTlyYUZKNE5XcG5hVUpzVm5SUVkxRRAB
Anytime Fitness Eastwood Centre,Sarah ᰔ,5,"Absolutely love working out at Anytime Fitness Eastwood Centre! The staff are incredibly friendly and welcoming, and the overall vibe makes it such a great place to train at. A special shoutout to Amirul, the brand ambassador, who always goes above and beyond. He’s approachable, helpful, and truly makes members feel supported and valued. His energy and attentiveness really sets the tone for a positive gym experience.

The equipment is all brand new, and the gym is kept spotlessly clean, which speaks volumes about their standards. It’s a space that feels both professional and comfortable, perfect whether you’re new to fitness or a regular.

Also, with Subway and Bedok Food Centre right across the road. it’s easy to find something to eat post-workout.

Highly recommend this branch if you’re looking for a clean, modern, and genuinely friendly gym environment! ^_^",,Ci9DQUlRQUNvZENodHljRjlvT21OYVNERlBkVU5YYkdkcVdFUjNjRWg0V1VGaU5FRRAB
Anytime Fitness Eastwood Centre,Kartina Rosli,5,"The staff is very friendly, and the equipment is excellent! Love the treadmill and the cosy environment, which makes the gym experience comfortable. Highly recommend for those on the east!",,Ci9DQUlRQUNvZENodHljRjlvT2tobmRsWXlOSEZVY1V4UGEwUnJZbVpXYXpWSU1IYxAB
Anytime Fitness Eastwood Centre,thadine lawrence,5,"Gym has clean equipment and friendly staff. The club manager was very helpful and kind with helping me to know more about the gym, thank you!",,Ci9DQUlRQUNvZENodHljRjlvT21JNFgwMTVjRFl5YlRaTlZIbDNOVlJKVG05U1NrRRAB
Anytime Fitness Eastwood Centre,Samuel Jacob,5,It is very good gym and really good for all person who are busy every day. Anytime Gym is available anywhere across the island and some more 24/7. Thanks,,Ci9DQUlRQUNvZENodHljRjlvT21wWFozQmhia2xRZVZkQ1gyc3laek5QY0RKcU9GRRAB
Anytime Fitness Eastwood Centre,Iffah Nabilah,5,"i hope this gym remains a hidden gem 🥹 always a pleasant session in such a clean and well-maintained gym. staff is also friendlyyy, nice to see them interacting with the users. …",,Ci9DQUlRQUNvZENodHljRjlvT2tabVIyeHhjVkp1VGxOR1YzRjBhVTlXVVdWMlFVRRAB
Anytime Fitness Eastwood Centre,Sera Underhill,5,"Firstly, so happy one opened up in our quiet little neighbourhood. It makes it just a little easier to stick to my goals. I love that the dumbells go up in even whole numbers!!!!! Really appreciate that. Equipment is all new of course and well taken care of abd there are sufficient machines to hit your goals. The staff are super friendly, helpful and funny. Really appreciate the trainers. They are helpful and easy to approach! Happy to call afeastwood my new home! #iloveewc",,Ci9DQUlRQUNvZENodHljRjlvT2xSUVgxSXlTR1JZVm1GTlFuaEtOVEF5T0drd1JIYxAB
Anytime Fitness Eastwood Centre,Terence Ho,5,"The centre provides a full spectrum of equipment, and the trainer is friendly and professional. I have been in the PT session for three months. After 11 lessons, my strength has improved, and my body is getting into shape.",,Ci9DQUlRQUNvZENodHljRjlvT2xrd05VZ3lOSGRRYkhKb1pGRnRVVWRGZFZZMVJFRRAB
Anytime Fitness Eastwood Centre,Elliot Sitoh,5,"Really nice space, even though the space isnt huge but its still large enough to not feel cramped. Staff is also really friendly and welcoming",,Ci9DQUlRQUNvZENodHljRjlvT2t4UVFYaEdRM3BJYXkxWFRscHZjelpDVTJOZlVuYxAB
Anytime Fitness Eastwood Centre,Kareen Lawrence,5,Gym is cozy and clean. Shoutout to the club manager for being so helpful with my membership and for giving me a tour of the gym!,,Ci9DQUlRQUNvZENodHljRjlvT210TFVERm9abTFIVjJ4blRIbG9ibXhmVm01QmRVRRAB
Anytime Fitness Eastwood Centre,Angelia Lim,5,"Azri and Anwar are very helper, great to have them around and they are always willing to give out pointers on workouts.
The ambience in this gym is very comfortable.",,Ci9DQUlRQUNvZENodHljRjlvT25aS1dVRXRSRWxLZG5Od01GaHZkMVpNY0RkSGJGRRAB
Anytime Fitness Eastwood Centre,Linus Wai,5,"The new gym at Eastwood is well-equipped, and the instructors are friendly and helpful. I've signed up for the starter kit and am looking forward to each session!",,Ci9DQUlRQUNvZENodHljRjlvT2paeE5tRTRhekZLVVhBMVlsSkhWWGRWVW14VVNHYxAB
Anytime Fitness Eastwood Centre,J Lee,5,"Large spacious gym, well equipped and with friendly staff! Thank you for the smooth sign up!",,Ci9DQUlRQUNvZENodHljRjlvT2pZNE16SXpSRXBTZHpSNGVHTnBNR1JEUmtsNWEwRRAB
Anytime Fitness Eastwood Centre,Michael Machado,5,"Compared to other outlets, Eastwood has the most solid staffs to date 🔥 equipment solid …",,Ci9DQUlRQUNvZENodHljRjlvT2tocmFFUk9SVFYxWW01alVVVlpWRjloYkVSU1gyYxAB
Anytime Fitness Eastwood Centre,noh1312,5,The club manager was very professional at his work and did a good job at explaining the membership and the facilities,,Ci9DQUlRQUNvZENodHljRjlvT25SNVFpMUVOV1pvY0RjME0wMDJRMU42WWxWMVVVRRAB
Anytime Fitness Eastwood Centre,Dazuqi Fiqry Fazrizan,5,The gym is cooling  equipped with plate loaded machines,,Ci9DQUlRQUNvZENodHljRjlvT25OeWRXb3djRTFIY0cxWFdsOXVZM2QyTjI5NFoxRRAB
Anytime Fitness Eastwood Centre,Hitesh Vaswani,5,"Great gym , has all the necessary equipment , overall would recommend this to everyone",,Ci9DQUlRQUNvZENodHljRjlvT2xrelYwZzNSSGx6VnpWeWFWTkxNbUpMUzNSTmEyYxAB
Anytime Fitness Eastwood Centre,Prudence Ashley,5,The club manager was really friendly in answering my questions and helping me around the gym. Look for him for anything!!!,,Ci9DQUlRQUNvZENodHljRjlvT21WV1dqQXdWSGRCTlVGWVlreHNiVFpGVmtNMFJIYxAB
Anytime Fitness Eastwood Centre,Bruno Tay,5,"New and fully stacked equipment. Intimate, personal and well planned out space which suits me to a T. Staff are friendly approachable and incredibly knowledgeable",,Ci9DQUlRQUNvZENodHljRjlvT2pCTFZtNTFkbVJITFZOQ2Vra3dkWEZyT1dVdFlWRRAB
Anytime Fitness Eastwood Centre,Irda Iskandar,5,We love the ambience of the gym!,,Ci9DQUlRQUNvZENodHljRjlvT25KV1VHRkJWbkY1TlVoQ2EzaFNaWGRXWkRSWGVtYxAB
Anytime Fitness Eastwood Centre,Al Uhn,4,"Great staff and set-up, but only one music playlist.",,Ci9DQUlRQUNvZENodHljRjlvT21SbWFWSXlUamRrT0RjM0xVZFlkR3RGTVhwU1dIYxAB
Anytime Fitness Eastwood Centre,Panchali Dhyrianathan,5,Very good trainers and equipment’s lot of options and very clean gym,,Ci9DQUlRQUNvZENodHljRjlvT2pOWFQzSlBXRVJwU2pKeWIxQlhWVFpSVUdWWWNYYxAB
Anytime Fitness Eastwood Centre,Dexter Teh,5,The gym is very organised and well maintained. All staff very friendly.,,Ci9DQUlRQUNvZENodHljRjlvT2sxWlRrMTROM2xWVWxKUU9WcHlhbEJzZG5aNVpFRRAB
Anytime Fitness Eastwood Centre,anya,5,epic amazing staff i love the staff they make me wna go to the gym more,,Ci9DQUlRQUNvZENodHljRjlvT2xOTk9XeElVM2xvTW5OeE1YSTRTM0l6TW5KdFpIYxAB
Anytime Fitness Eastwood Centre,NurSyafiqah Zaki,5,great atmosphere and quite a chill location to gym at!,,Ci9DQUlRQUNvZENodHljRjlvT2taRlNGUkZXblJoY1c1V0xXUmhObkl6VDJrMlprRRAB
Anytime Fitness Eastwood Centre,Jaykumar Vellusamy,5,Well efficient gym with good fellow considerate gym users. 😊 …,,Ci9DQUlRQUNvZENodHljRjlvT2xOV1NsZElVbFpUV1ZGM1lYQnFTSEJKTWpaNFRWRRAB
Anytime Fitness Eastwood Centre,damian chua,5,very cosy place to workout at. staff are also v friendly and helpful,,Ci9DQUlRQUNvZENodHljRjlvT25wUkxUUkdjM0UxWlUwM2JuQXplVU56TlZsamQzYxAB
Anytime Fitness Eastwood Centre,Mariah Batrisyia,5,"Great gym with good equipment, friendly staffs!!",,Ci9DQUlRQUNvZENodHljRjlvT2s0MFpWbHNkVVJWTW5WVWFFY3hWRXBtVFVaWWNWRRAB
Anytime Fitness Eastwood Centre,leon kee,5,very clean and new machines + free unlimited bananas🫶🏻🫶🏻🫶🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT2xCc1RGcEhTa2RpVmxnMWJVSktibUZpWlRGd1gwRRAB
Anytime Fitness Eastwood Centre,John Lee,4,"Everything is great so far, but the fans are too strong! Turn it down lower. My friends and I are getting chills in here.",,Ci9DQUlRQUNvZENodHljRjlvT21wb1ZrSXlhSHB0WlZOMGVtaFhSVk0zYm13ek0zYxAB
Anytime Fitness Eastwood Centre,Ryan Philip,5,"very chill place to workout , not that many people at peak hours, good equipment",,Ci9DQUlRQUNvZENodHljRjlvT2xaUGJVcHRUM3BwYzFGUlh6RllXbFpRZVVST1RuYxAB
Anytime Fitness Eastwood Centre,Aniza Abu Bakar,5,Staff are friendly and approachable. Always  a positive experience any time of the day.,,Ci9DQUlRQUNvZENodHljRjlvT21wWWNITXpOSEZIV0RWaVJsaHhORW96Vm5WWFMwRRAB
Anytime Fitness Eastwood Centre,Zaid Mahmood,5,I came here again and the Club Manager and Staffs assistant are very nice.,,Ci9DQUlRQUNvZENodHljRjlvT2tSSFJETm5WSGhCUm1oelJVNUhZVlZQV2trMk5FRRAB
Anytime Fitness Eastwood Centre,Niki isme,5,Very noice n friendly n approachable staff :),,Ci9DQUlRQUNvZENodHljRjlvT25sR1QxbFlUREYxUVZaS1IxQjJMVmRITldsZmNGRRAB
Anytime Fitness Eastwood Centre,Yee Chen Oy,5,"great staffs and service, very friendly",,Ci9DQUlRQUNvZENodHljRjlvT2xrMmFFMTRia3cwYWtwd2RtOVJNVzlsYVUxM1FsRRAB
Anytime Fitness Eastwood Centre,Bobby Kor,5,Coach Azri the best trainer,,Ci9DQUlRQUNvZENodHljRjlvT25oWFNuZzNhRWs1WlRCc2RrdEtTRzlLUWxONFUwRRAB
Anytime Fitness Eastwood Centre,Chien Ee Yeh,5,Awesome place with dedicated trainer,,Ci9DQUlRQUNvZENodHljRjlvT2pOcGNUUmhWblkyUzJ0SFRXZEdkMjlHTFVsTE0yYxAB
Anytime Fitness Eastwood Centre,Lekshhman,5,Good response good team encouraging people,,Ci9DQUlRQUNvZENodHljRjlvT25aak4zTk1PQzE1Y0ZCVE1XSnBOVlJpZVcxeU1FRRAB
Anytime Fitness Eastwood Centre,Deja Tan,5,Cash in!,,Ci9DQUlRQUNvZENodHljRjlvT2w5ck5sTjFVUzFsUW5JeloySjFkMVJyWVhaUmIxRRAB
Anytime Fitness Eastwood Centre,Meg,5,nice gym!!,,Ci9DQUlRQUNvZENodHljRjlvT2psV1ptcFRWV016ZVVOSlpIVklibUpPWTJGeFJIYxAB
Anytime Fitness Eastwood Centre,Muhammad Sharil Sapari,5,,,Ci9DQUlRQUNvZENodHljRjlvT21kb1FVRTFWRk5NVUROTVFsOUJXamxCVEc4MGRYYxAB
Anytime Fitness Eastwood Centre,Lim Chee Wee,5,,,Ci9DQUlRQUNvZENodHljRjlvT2xCVlVVTmFWRnBMTlhWelNsaG9RVWN0WkZGeGFuYxAB
Anytime Fitness Eastwood Centre,User 1234,5,,,Ci9DQUlRQUNvZENodHljRjlvT21wQk5qTmpPV05PTjFSRk1rZEZhM1JyVTFaVWJWRRAB
