outlet,author,rating,text,date_posted,review_id
Anytime Fitness Guillemard,Fabian Leow,2,I have seen afew mosquitos during my workout in this gym. And today I finally able to kill one at the deadlift platform. Their body weight machine has been out of service like for ages. Otherwise the gyms gets crowded in the evening when everyone come after work.,,ChdDSUhNMG9nS0VJQ0FnSURuc2QteHhBRRAB
Anytime Fitness Guillemard,Keith Qian,1,"I'm a long time member of AF but encountered seriously rude and stubborn staff at AF Guillemard. I was told by the staff that I was slammimg my weights. I explained to them that the hex bar they have is the wrong size (1st pic), hence it doesn't land on the rubber mat portion (it's too narrow). I was already gently lowering the weights but it sounds loud because 1 side lands on the wood.

I explained to them that with the right size (2nd pic is AF Geylang Central), the weight lands nicely on the rubber without issue. But they just insisted I was slammimg my weights without any justification.",,ChdDSUhNMG9nS0VJQ0FnSUNMdW9fUG93RRAB
Anytime Fitness Guillemard,Willy,4,Pretty good gym but the weight plates seriously are very dirty. I’ve been gymming here for months now and they were never clean,,Ci9DQUlRQUNvZENodHljRjlvT2tOWlFtMUxjRmhvTVhCVGJVbENaa2xGYUMxd1luYxAB
Anytime Fitness Guillemard,Derrick Yeo,5,"gud gym pls lmk if i win the assault bike time trial tq

30s!!!",,ChZDSUhNMG9nS0VJNmIxcno2emF5WEx3EAE
Anytime Fitness Guillemard,Wendy Seah,1,Bad service and crowded. Better join other branches and customer service responses are slow and non responsive at times. Dirty toilet and no papers too.,,Ci9DQUlRQUNvZENodHljRjlvT21NeFZrVk5Xa2t3VFVSS2VYVldORXBTU2toT1dGRRAB
Anytime Fitness Guillemard,D tuition,4,"Overall good and spacious. Sufficient facilities.
But all the weight plates are dirty, no idea.
Perhaps the staffs can spend sometime cleaning it",,ChZDSUhNMG9nS0VJQ0FnSUNiOEppRmNnEAE
Anytime Fitness Guillemard,Gwen Lee,1,"Worst gym experience. There are quite a number of fees this gym charges that they don't tell you until you encounter it - such as a ""freezing fee"" that is charged when I tried to pause my membership for one month. I've never had this problem when I visited other gyms, so idk what's up with the staff here tryna milk out every dollar from gym members. I've since decided I'll take my money elsewhere and visit other outlets instead, even if it might be further away from me. Visit AF Guillemard at your own risk!",,ChZDSUhNMG9nS0VJQ0FnSURuMWRDd1F3EAE
Anytime Fitness Guillemard,Nic Tan,5,"This place deserves more good reviews.

First of all, thank you Jai for the warm welcome and for facilitating my membership sign-up! Jai provided very clear explanations of the letter of acceptance and also showed me around the gym. I really do appreciate the clarity and also the great hospitality. Thank you Jai! 🙂

Previously I didn’t have good experience with some other clubs but AF guillemard has definitely left a lasting good impression.

From the get go, the gym is so new and nicely  done-up. The equipments were state of the art and well-maintained. The gym also most of the equipments that you need, for a wholesome work out.

The necessities such as toilets and shower cubicle is clean and well-maintained as well.

The Staffs at AF guillemard are so friendly and I’m most certainly very happy to have signed up my membership again, at this amazing gym. And this gym is definitely going to be my favourite go-to gym!

Lastly, I foresee that AF Guillemard is going to do better and better in the coming months.

Please keep up the awesome hospitality and friendliness. It really goes a long way. 🙂💪🏻",,ChZDSUhNMG9nS0VJQ0FnSURucWFmVlVREAE
Anytime Fitness Guillemard,Thomas Lee,4,"Friendly staff, good lighting and gym.",,Ci9DQUlRQUNvZENodHljRjlvT25kQ05EVlVjMVZuTVRGcU5UVTJaR010VmpremExRRAB
Anytime Fitness Guillemard,"FOO CHUAN, NiC ANG",4,"AnytimeFitness❤️Guillemard (Anytime Fitness Guillemard), 100 Guillemard Rd, #01-08, Singapore 399718
• any feedback this outlet is very new or the latest among the fitness chains or just opened within Year 2024? Thanks",,ChZDSUhNMG9nS0VJQ0FnSURicGFfN0pREAE
Anytime Fitness Guillemard,Verinder Singh,5,Excellent Gym with very good facilities and ambience,,ChZDSUhNMG9nS0VJQ0FnSUNMLU4tNldREAE
Anytime Fitness Guillemard,J Toney,4,Nice layout. Not too busy late afternoon.,,ChZDSUhNMG9nS0VJQ0FnSUNybmVfbGJ3EAE
Anytime Fitness Guillemard,Javier Ng,5,Clean and spacious,,ChdDSUhNMG9nS0VJQ0FnSUNMNGZheHBBRRAB
Anytime Fitness Guillemard,Yilin Tan,5,,,Ci9DQUlRQUNvZENodHljRjlvT2t0cWVuQnljWEJ0V2xObmFrUXdZVzVhWjIxMWJrRRAB
Anytime Fitness Guillemard,C,2,"Hello there!

Thank you for taking the time to tell us about your experience at Anytime Fitness Guillemard! We truly appreciate your feedback since it helps us improve our services as well as making it a pleasant and a positive experience for our members!

Its members like you that make our job wonderful. We look forward to serving you again.

Your health and fitness partner,

Anytime Fitness Guillemard",,ChZDSUhNMG9nS0VJQ0FnSURyN2RpM01REAE
Anytime Fitness Guillemard,Rob G,5,"Hello Rob G,

Thank you for leaving us a review here. We are grateful that you enjoy the facilities we provide and our hospitality!

See you around in the club and have a wonderful new years ahead!

Team AF Guillemard",,ChdDSUhNMG9nS0VJQ0FnSURmcXJPaXJnRRAB
Anytime Fitness Guillemard,Kwang Sim,5,"Hey there Kwang Sim! Thank you for taking the time to share your experience with us at Anytime Fitness Guillemard. We truly appreciate your feedback, as it helps us improve our services and enhance your experience.

It’s members like you who make our work so rewarding. We look forward to supporting you on your health and fitness journey.

Your health and fitness partner,
Anytime Fitness Guillemard",,ChdDSUhNMG9nS0VJQ0FnSUNyNHBXNGxRRRAB
