outlet,author,rating,text,date_posted,review_id
Anytime Fitness Holland Village,Michelle Leong,4,"A bit smaller but has everything you need for a workout. I love that it isn’t crowded, it has a free to use Evolt machine, and this booty builder machine! No other AF gym I’ve been to has this machine.",,Ci9DQUlRQUNvZENodHljRjlvT2pkbVkwNXRPV2xPWVVFeE1uZFFhVGxrYzNvdFgyYxAB
Anytime Fitness Holland Village,Jerome Lee,5,Cozy Anytime Fitness branch. Great initiative in running halloween party and providing complimentary post-workout kebabs. Will be back!,,Ci9DQUlRQUNvZENodHljRjlvT2t3MU16Qm5VM0p6ZWpCRk5reGphMWRIYTJKb2RWRRAB
Anytime Fitness Holland Village,Tabasco Guzzler,2,"Small gym that could do much better in terms of hygiene. I was there yesterday and the condition of their toilet was poor. Smelled bad, water leakages everywhere, tissue thrown all over the place. They could use Dettol / bleach & air freshener. Staff could be more diligent in their cleaning duties.",,ChZDSUhNMG9nS0VMRHNxTWJLNVphU1hnEAE
Anytime Fitness Holland Village,Keith Ong,4,One of the smaller AFs in the country. Enough equipment to suffice a workout. The Pros are that there are not that many people when i went which was around 4pm-6pm. People are friendly and nice. Cons are that there are many standard machines missing in this club such as Plate loaded upper body machines.,,ChdDSUhNMG9nS0VJQ0FnTUNJeE9QSXRRRRAB
Anytime Fitness Holland Village,Daley Zhang,1,"The staff is very welcoming, but the facilities are very poor. The paper towels in the bathroom and shower room have been empty for more than a month. The shampoo and shower gel are also empty. The bottles have not been thrown away or cleaned.",,ChdDSUhNMG9nS0VJQ0FnSUM5Z2JDMTRnRRAB
Anytime Fitness Holland Village,Jeffrey Lai,5,"Albeit one of the smaller AF gyms around, the basic equipment is more than sufficient for most gym members. Just had a consultation session with Jermyn, who was super helpful and friendly!

He took the time to know more about my daily habits and purpose of going to the gym, which led to a very insightful workout session and sharing about how to achieve my goals. I had a great time thanks to his friendly character which made the whole session comfortable and enjoyable yet intense.

Thanks Jermyn for the great experience!",,Ci9DQUlRQUNvZENodHljRjlvT201NlJHMUlRV1ZVWVVvekxWSnJlWEZCV1VGWmFrRRAB
Anytime Fitness Holland Village,Tony Williams,5,"Excellent   Maybe small but not too busy.  All equipment and weights in great condition
Gym clean

Cannot understand complaints about being hot  temperature is ideal.
A lot better than the Uk anytime",,ChZDSUhNMG9nS0VJQ0FnSUR2eTlmNENBEAE
Anytime Fitness Holland Village,tatt low,5,Had a pleasant PT session with Coach Jermyn! He was very patient and understanding of my needs and limits and curated a personal programme with simple exercises. He also went above and beyond to demonstrate how to conduct the exercises and we managed to have good small talk and conversations ◡̈,,Ci9DQUlRQUNvZENodHljRjlvT2tOUWExVkJObVZpVEZsME56UmtURXMxZDJwaWFuYxAB
Anytime Fitness Holland Village,Camilla Adindamaulani,4,"Rather small but has the functional machines that I like. As I live in the neighbourhood, the location is convenient and I can go during non-peak hours. Friendly staff.

The shower is quite tight and standard, So I don't use it.",,Ci9DQUlRQUNvZENodHljRjlvT21RMk5ESkRja1l4TjFwVFFVRmFlbUZxYWpNNFdtYxAB
Anytime Fitness Holland Village,Gordon Koh,4,"This Anytime Fitness is on the smaller side, but it’s got everything you need for a solid workout. There’s a power rack, booty builder, functional area, and a nice mix of cardio machines (facing the HV food street — kind of cool view). It feels cozy and not too crowded if you go at the right time.

Staff are friendly, place is clean, and there’s even spin classes weekly. Just don’t expect big gym vibes — no deadlift platform or assisted pull-up machine here. But if you like chill, simple workouts in a convenient location, this spot does the job!",,Ci9DQUlRQUNvZENodHljRjlvT2xBMVdIRm5ZMFF0WkRCdE4xaEVNV1JPV0hWaE9VRRAB
