outlet,author,rating,text,date_posted,review_id
Anytime Fitness Hougang CC,Roger Thomas Tan,5,"Nice cosy quaint place! Tuck away hidden in Hougang CC! Very few gym users in the weekday afternoon! So if it’s not too far for you - It’s A Great alternative for a gym! No one will be there to share machines with you and you really don’t have to wait! And that’s great! Machines are new with a great space between the Smith machines! The free weights area isn’t cramp and crowded- making workout great! The changing rooms are spacious, clean, well lit and nicely decorated! The toilets are outside! Belonging to the CC which means no shower areas for this gym- remember that please! Parking is easy- at the CC or the HDB behind! It’s really a nice little quiet area to work out if you want to avoid crowds on the weekday afternoon! Plus if you join this gym you get 15% off - unlike the rest of the gyms!",,ChZDSUhNMG9nS0VJQ0FnSUN6Nlp2elNREAE
Anytime Fitness Hougang CC,Shao Shxuan Chua,5,"It's a nice cozy gym, has the general equipment and machines needed for most workouts. Comfortable to workout in.",,ChZDSUhNMG9nS0VJQ0FnSUNiMEt1VEhBEAE
Anytime Fitness Hougang CC,Nithya,5,My PT trainer Akid is a very friendly and supportive trainer,,Ci9DQUlRQUNvZENodHljRjlvT2tNeFRtbERlbTl3VjFOa1kwVlZkbmxXWTJOS00yYxAB
Anytime Fitness Hougang CC,Monica Isaac,5,"If you prefer less crowded gym 1km radius from Kovan MRT, this is the place to be.  3 stop away from Kovan MRT Exit B bus stop via Bus 81.",,Ci9DQUlRQUNvZENodHljRjlvT2pnNGFqWlZjVVZwV0ZneVp6TnNhSHB3VlhCRFdXYxAB
Anytime Fitness Hougang CC,Munny L,4,"They don't have showers :(
2 changing rooms
No row machine (for biceps)
1 squat rack
No sit-up bench
They have everything else!
Well maintained and pretty empty most of the time.",,ChdDSUhNMG9nS0VJQ0FnSURXd2ZxOTlRRRAB
Anytime Fitness Hougang CC,Yuvan Kartik,5,The customer service was great .. a new guy name Dan is actually quite humble and is very responsive when I ask questions on regards to the AF memberships.,,Ci9DQUlRQUNvZENodHljRjlvT2pWelQzVllMWEJ3VkVoSmVqWm9XSEYzY0hRM2FFRRAB
Anytime Fitness Hougang CC,Deckerz,5,"Complete, clean and cozy, as a tourist this branch suit me well. Not so many people on daytime ( around 9am to 11am ).",,ChZDSUhNMG9nS0VJQ0FnSUQ3aXNId0lBEAE
Anytime Fitness Hougang CC,SCK K,5,"The gym has improved vastly after the refurbish. More space, more equipment and great staff too.",,Ci9DQUlRQUNvZENodHljRjlvT25FM2JtbFdkRzlDVTA0MFRVcHZXbnBNZUVzMFkzYxAB
Anytime Fitness Hougang CC,YJ,3,"Gym is well maintained; cleaner does a great job at cleaning as well as changing the wiping towels regularly. Best of all, the crowds aren't as large as other anytime fitness branches.

Update: the gym has removed a couple of equipments after the renovation, including the ab and hips thruster machines. Though there are new additions, they serve more like a ""nice to have"" than a something that compliments your workout. Additionally, the changing rooms are now smaller in size after the revamp",,ChZDSUhNMG9nS0VJQ0FnSURxMklQSkd3EAE
Anytime Fitness Hougang CC,Sharon Ting,5,Well-equipped with great staff going around to support the members. The members here are also very kind and supportive!,,Ci9DQUlRQUNvZENodHljRjlvT2tSS1ZsbFZhRGxEVkVOUGJsQm5Ua0V3TFRSdGFYYxAB
