outlet,author,rating,text,date_posted,review_id
Anytime Fitness Hougang Central,Collin Chan,5,Upgraded facilities and the lighting is much better. Probably good to revamp every 5 years Their social media posts are engaging. Kudos!,,Ci9DQUlRQUNvZENodHljRjlvT2tnNFFYQmtSSEpDU21kMFlrOTJWVFoyTUd0NVZuYxAB
Anytime Fitness Hougang Central,Sujoy Kapoor,5,I've been going to this gym for the last six months and always been welcomed by the team with a smile. There have been a few additions of certain gym equipment which is always good to see. It sometimes tends to get crowded so I try to go during non peak hours. I have had good experience with PT and the crowd in general so would definitely recommend.,,Ci9DQUlRQUNvZENodHljRjlvT2kxbVVVTklkalZzVjNsR2JGOTNOMUJwY1MxUFpHYxAB
Anytime Fitness Hougang Central,unicorncutekate93,5,The place was renovated recently. There are shower and toilet facilities. Crowd here is friendly and the vibes are good for growth. I made some friends in the last month and the frequent members are friendly. Equipment is with great variety. The club staff are responsive and friendly too!,,Ci9DQUlRQUNvZENodHljRjlvT2paTVFreGlWMkpmV1UxRVMybG5VME41ZW5KVVgzYxAB
Anytime Fitness Hougang Central,Judy Tan,5,"Nice and friendly gym users here. Didn’t have a good impression when I dropped by before reno. It’s a different story now. Not exactly a big space but there are so many machines and more than enough to go around. Gym users here are friendly too (I was zoning out after completing a set and noticed someone asking if I was waiting for the cable machine he had been using. He’s taking a break and willing to share. So sweet of him to even offer to share).

There’s just really little space for stretching or mat work though but it’s not much to complain about because those ones can be done at home anyways.

Cleaning auntie is also always on the move cleaning after everyone. She’s working as hard as we are.

Nice to workout here.",,Ci9DQUlRQUNvZENodHljRjlvT2psTFkyaFJUMkk0WlVsVlRqQmhjbVpyVGpWV1FWRRAB
Anytime Fitness Hougang Central,Zachary Adam Lim,5,"Recently renovated and it's great! Looks more refined and definitely feels like a breath of fresh air during your workout!
Big shout-out to the auntie janitor! She really maintains the gym very well and very friendly too!",,Ci9DQUlRQUNvZENodHljRjlvT21SYWJHMWpWRUZrT0VvMVRuUXdkWGwyTkZKa2RIYxAB
Anytime Fitness Hougang Central,Felicia Yap,5,"Have been training here weekly with my PT for nearly 2 months and it has been a pleasant journey. At the last training, when he requested to share weights with someone, the person refused even though the weights were on the floor, and not in use when my PT approached him. (this is one of the reasons why i am quite scared of gyms)

The gym is great (they recently added new machines even) and the manager is super approachable! but when there are unkind people like that, i am affected and i will dread seeing the same person again.

5 stars for the gym and no stars for the unkind soul. hopefully everyone can be kinder and make the gym a better place",,Ci9DQUlRQUNvZENodHljRjlvT25kQmQzcFVSVTFZWTNGek1XaGhSbWx1ZW5KSUxXYxAB
Anytime Fitness Hougang Central,J,1,"I used to really enjoy this gym before the renovation. Yes, the environment has been renovated, but unfortunately the gym experience has gone downhill. Before renovation, it was much better — you could actually train without constant waiting. Now it’s so overcrowded that most equipment is unusable during regular hours. The space looks new, but it’s practically useless if you can’t even work out properly. Very disappointing.",,Ci9DQUlRQUNvZENodHljRjlvT2tWWE4waHFjRk5qUjBKdWJuQmtiVzV2U1VWTVJYYxAB
Anytime Fitness Hougang Central,Jacynda Teo,5,"Fantastic Upgrade After Renovation!

I’ve been a member at Midtown Anytime Fitness for a while, and the recent renovation in June 2025 has truly brought the gym to the next level! The space looks fresh, modern, and more inviting than ever.

What impressed me most was the addition of newer, high-quality machines — everything feels smoother, more efficient, and user-friendly. From cardio to strength training equipment, you can really feel the difference. The layout is also more spacious and well-organised, which makes workouts feel less cramped even during peak hours.

Big thumbs up to the management for investing in this uplift. The gym has a great energy now, and it’s even more motivating to train here. Highly recommend for anyone looking for a well-maintained and well-equipped fitness space! 💪",,Ci9DQUlRQUNvZENodHljRjlvT21WQ05XWmZNRlEwV1VwU2RtbHZXR2ROVlZCa2IyYxAB
Anytime Fitness Hougang Central,Xclusive,1,"In the passed. I used to train without even thinking there is eyes looking at me. Now staff check this check that. This cannot wear, need to wear this. Cannot put your bag here. Hmm.. sounds like a parents talking to a kid. Years back don't have all these rules, just remember to pay your monthly membership. Come don't come, just pay. If come, no stress, just enjoy your workout.

Now make's me feel very uneasy. It's like going to a government gym. The difference, Government gym is cheaper and bigger.

In the passed, sure 5 star. Sorry now hard, need to share based on my experience. I seldom come this outlet anymore, unless no choice. Visit other outlet or sign contract with other place. Don't make yourself feel like me. Let's see, will check out other gym. Anyway here is small and stuffy",,Ci9DQUlRQUNvZENodHljRjlvT2xZdFQwSlFYMU0wZUVKeVp6QlNMVFZTY0RONmVIYxAB
Anytime Fitness Hougang Central,Weihong Huang,5,Well equipped and decent sized gym. Renovated quite recently. Has two decent sized toilet / showers rooms.,,Ci9DQUlRQUNvZENodHljRjlvT25SSmNXWTROM1JGV1Y5V1pXeGhMWE5TTUZGaE1YYxAB
Anytime Fitness Hougang Central,Hung Hao,5,"On my quest to review all anytime fitness outlets, I was quite pleasantly surprised by this outlet!

It’s well equipped with 4 treadmills, 3 elliptical and even 1 spin bike. I’m sure it more than fulfils your cardio requirements.

There’s also free weights (with dumbbells going heavy… you won’t ever need to use them!). There’s 2 squat racks + 1 smith machine so do take note if you’re an avid squatter this might be a bit of a cramped space.

This place is well equipped with 2 rooms with shower + toilet in each one. Extra cookie points for the inbody body analysis machine that’s free for everyone to use.

I had fun with some speciality machine such as the biceps curl machine and tricep extension machine. Those are rare to come by and I thoroughly enjoyed using them.

Overall it’s pretty small, and I can definitely see how space can be a possible constrain when the crowd hits the gym. It is however, kept clean and well equipped. It is located at B1, with direct entry from carpark so I suppose it’s convenient for drivers.",,ChdDSUhNMG9nS0VJQ0FnSUNweGREczBRRRAB
Anytime Fitness Hougang Central,Loh Jiong Wen Cassidy,5,Hakim and Yiqi had been helpful in explaining each equipment. The environment is welcoming and the staff too!,,Ci9DQUlRQUNvZENodHljRjlvT2tobWMyMUNheTFQWkdSS1oycHRibE5DUWxVMVNWRRAB
Anytime Fitness Hougang Central,Amp phiangpit,5,"My favourite gym .very clean and cozy place.
Staff are very nice and helpful 👍 🥰🥰 …",,Ci9DQUlRQUNvZENodHljRjlvT25JNGNYZGFaRzU2TkhKSGJHVXdSMlZVZDBGWU5rRRAB
Anytime Fitness Hougang Central,Paulus Lai,5,"This gym has everything required for beginner to advanced lifters: great selection of machines, squat racks, and free weights along with a vending machine, and two functional restrooms with hot showers.",,Ci9DQUlRQUNvZENodHljRjlvT2tOb1NuSkNURXhwTlcxcGVFVnFjVU5GVm1Sd00zYxAB
Anytime Fitness Hougang Central,Hazim Yusoff,5,"Lovely experience after the fully refurbished gym. Great customer service by Hakim, very friendly, assisted me in changing my physical key fob. Now i can just access pass through my phone! Thanks Hakim!",,Ci9DQUlRQUNvZENodHljRjlvT2tWWFlsSTVjRFYzVW05WWVXUlhOVFowTnpWUmFrRRAB
Anytime Fitness Hougang Central,Lennard,1,"Very crowded gym. Staff threatened to „forcefully remove you from the machine“, after kindly declining the question to share the machine with more than two people and insists on using the machine immediately. They were not willing to wait two minutes. I am scared of the „personal trainers“ taking testosterone and scare members if they don’t immediately get what they want. I avoid going to this gym. I raised the issue to Anytime Fitness management, where their first reaction was to not respond. The second reaction after raising it formally again, was trying to belittle. I am disappointed by how anytime fitness administration handles these kind of issues very unprofessionally and it’s honestly concerning how there was no action taken to address these issues at all.",,Ci9DQUlRQUNvZENodHljRjlvT2pKR1JHSkNNbXh0T0RCcGMxOVVSVWRWUmxKT0xWRRAB
Anytime Fitness Hougang Central,Si Xu Phua,5,"By far one of the best neighbourhood AF I’ve been to (am I biased towards my home gym? Maybe?). Gym was well equipped and had machines that could cater to different body lengths (been to gyms with weird machines that just won’t fit) before refresh and now a few more machines (e.g. hip thrust & abduction/adduction machines) and attachments have been added after refresh. The team have also been working hard the past 6 months or so, getting the aircon(?) cleaned for better air circulation, maintaining machines & benches, providing new attachments, listening to members feedback and more.",,Ci9DQUlRQUNvZENodHljRjlvT2tSZmJrbHdaRVowVkdsUVVuVnNXbHBEZFZSV1IzYxAB
