outlet,author,rating,text,date_posted,review_id
Anytime Fitness Lower Peirce,Joel Leong,5,"Fantastic gym that has all you need for a good workout!

They have rarely seen equipment like the seated dip and perfect squat machine.

Machines here are by Matrix. Low crowd on a weekday afternoon. Gym was clean and comfortable. Will be back!",,ChZDSUhNMG9nS0VJQ0FnSURIOGZPdGF3EAE
Anytime Fitness Lower Peirce,Ertiza Abbas,5,"If you're tired of soulless sweat factories, run (or saunter, no rush) to Anytime Fitness Lower Pierce. It's transformed my ""ugh, exercise"" into ""yes, this is my happy place."" Five stars aren't enough. Thank you for reminding me that wellness can feel this good, this real, this joyful. 💖 #FitnessFamily #LowerPierceLove #AnyTimeFitness #Singapore",,Ci9DQUlRQUNvZENodHljRjlvT25CcVJ6RjVhMWhEVlc1WVowTTRVV2hSVUVsNGRsRRAB
Anytime Fitness Lower Peirce,Sihan Goi,4,"Dropped by on a Tuesday afternoon and it was rather quiet. The gym is small, but is quite new and neat, and also has pretty much all the equipment I need for a good workout, especially in the free weights section. 1 rack, 1 small platform, 2 Ziva barbells that spin, 2 sets of coloured bumper plates, other rubberized plates. There are some specialty bars too - 1 short bar and 1 safety bar. Lots of plate loaded machines and a few different pulley attachments. Dumbbells up to 50kg. However, there's very little redundancy. For example, only 1 rack, so if someone is benching, you can't squat, and vice versa. It would've been nice if another rack could be squeezed in somewhere - perhaps make it 2 racks + attached platforms and 2 other bars, and remove the existing small platform - not sure if it'll fit but it sure would make it easier to train when it's crowded. There's a locker area but I didn't see if there were shower areas or toilets. Parking is along the road outside or the public carpark just across the street.",,ChZDSUhNMG9nS0VJQ0FnSUNYcXFQMEJBEAE
Anytime Fitness Lower Peirce,Mitcher Pang,5,"Fantastic gym! It's always clean, the equipment is modern, and the atmosphere is motivating. The staff are super friendly and professional.",,Ci9DQUlRQUNvZENodHljRjlvT21oS2VUaFJWbVpNYlhadFYxRkJWelpaZFRGRGVVRRAB
Anytime Fitness Lower Peirce,Jessey Ding,4,"I’m really thankful for my trainer’s guidance and encouragement.
Thanks Jazreel.
Every session is well planned, challenging, and enjoyable. You always take the time to correct my form, explain the exercises, and push me to do better each time.",,Ci9DQUlRQUNvZENodHljRjlvT2s1Rk1WQlNNMHB4TUZGRFZUWlpWa2h2Um1wdU9WRRAB
Anytime Fitness Lower Peirce,darani daran,5,"I had a fantastic experience at Anytime Fitness in Lower Pierce, Singapore. The gym is spacious and well equipped, providing a wide range of high-quality equipment to cater to different fitness needs. The facility is clean and well maintained, creating a pleasant environment for workouts.

The staff members were friendly and attentive, always ready to assist and offer guidance.

Additionally, the gym's convenient operating hours allowed me to work out at my own pace.

Overall, I highly recommend Anytime Fitness in Lower Pierce for its excellent facilities and welcoming atmosphere....highly recommended",,ChdDSUhNMG9nS0VJQ0FnSUNWdm8tWW5nRRAB
Anytime Fitness Lower Peirce,Yz Chen,5,"First time joining a gym, and decided on AF at lower pierce as it is the closest outlet to my place. Joined the free trial, and had the help of William. He patiently went through the equipments with me, guiding me through the correct forms and techniques.

The gym is clean, with paper towels and sanitizers to wipe down the machines when needed.

Looking forward to my gym journey with AF @ lower pierce.",,ChdDSUhNMG9nS0VJQ0FnSUNsaWZyTTNBRRAB
Anytime Fitness Lower Peirce,mathematics science,5,"Very Clean and pleasant environment. Friendly staff , yet not obstrusive. For those who take public transport - it is a tad far from the nearest mass rapid transit (MRT) station. To me, that appeals greatly.",,ChdDSUhNMG9nS0VJQ0FnTUNZOUtuS2h3RRAB
Anytime Fitness Lower Peirce,Benny Pang,5,Finally have a new anytime fitness around lower pierce area! The gym here is pretty fresh and sick. Machines here are pretty top notch and clean as compared to the other new anytime fitness gym here. AF Lower pierce also has a very buff god of fortune to bless your muscles with good fortune too ;),,ChdDSUhNMG9nS0VJQ0FnSUNaeGZhRi1nRRAB
Anytime Fitness Lower Peirce,Sarah Ooi,5,"Really liking this AF so far. Since it’s new, it’s very clean and everything is in good condition. Area is v accessible and plus points for strong aircon!! Would visit again 10/10",,ChZDSUhNMG9nS0VJQ0FnSUNacHB2TkJBEAE
Anytime Fitness Lower Peirce,Ariadna Ramos,5,"One of the best gyms around, most of the machines to complete your full body routine 💪 …",,Ci9DQUlRQUNvZENodHljRjlvT20welUwaEhlVmRXTjAxTVVGUlBWWGxFTW1WeFltYxAB
Anytime Fitness Lower Peirce,J T,2,"Members! Please bring a towel or wipe down after use. PLEASE!!!!

Saw a member wear slippers. Wear shoes please (10/10/2025, 640am)!",,Ci9DQUlRQUNvZENodHljRjlvT2pSa1MzSmpXSGwzYWtOWmVuWjJkWFZVWVRSUlgzYxAB
Anytime Fitness Lower Peirce,Mattias Goh,5,"Tranquil and peaceful environment, good equipment for bodybuilding, cardio and casual lifting. Nice showers and amenities.",,ChdDSUhNMG9nS0VJQ0FnSUN0cHQzWWpRRRAB
Anytime Fitness Lower Peirce,Trevor Sze,5,"I was on a quest to check out ALL 120+ locations of AF and i now have, and this one is one of my favourites! Despite not being one of those mega sized ones like City Hall or Chai Chee, here at Lower Pierce there's a really nice vibe to it. Machines (though not as extensive as the bigger places) are complete enough, able to target every body part, making it possible for satisfactory workout sessions without much effort to compromise. There is enough space between machines so as to not feel oppressed (like other locations can be). Floor to ceiling windows on 2 sides allow plenty of natural light in, at the same time making it safer to workout at night. The cardio machines face a quiet neighbourhood park while the proximity to the many shophouse eateries and a good hawker centre, makes your gym trip even more pleasant and one you look forward to. Being in a quaint and cozy neighbourhood helps you relax and unwind with a focused workout, unlike the stressful mall and office district locations. This place is well worth a special visit to!",,ChdDSUhNMG9nS0VJQ0FnTURnc01Xbmd3RRAB
Anytime Fitness Lower Peirce,Joanna Cheng,5,"Great music , with clean n nice equipment. Friendly staff",,ChdDSUhNMG9nS0VJQ0FnSURadllya3Z3RRAB
Anytime Fitness Lower Peirce,Ishimaru Shou,1,"Hi gym owner, please educate your member to wear proper shoes for workout and dont hog equipments by doing nothing but watching at their phone",,ChZDSUhNMG9nS0VJQ0FnSUNQd1pmQU93EAE
Anytime Fitness Lower Peirce,david,2,"please add another power rack, sometimes have to wait up to an hour to use the only power rack",,Ci9DQUlRQUNvZENodHljRjlvT25oMWVFbzJZbGRTZDB0V1RVdFZkRVZyU1hoSVFsRRAB
Anytime Fitness Lower Peirce,Jeremy Lim,5,"Clean and functional gym, only 1 squat rack and platform so take note of that.",,ChZDSUhNMG9nS0VJQ0FnSURkMS1hX0NnEAE
Anytime Fitness Lower Peirce,MD ZAKIR HOSSAIN,1,"The equipments & gym here are generally clean and well kept. Friendly staffs. Except the toilet. Out of the nearby AF outlets, it’s the worst. No ventilation. Only 1 toilet to be shared for both genders. Very dirty and smelly. Hope they’ll look into this. Do consider having separate toilets for different genders to use and also do consider a hot water outlet for the water cooler.",,ChdDSUhNMG9nS0VJQ0FnSUNUc3NhNDlBRRAB
Anytime Fitness Lower Peirce,IFFAH IZZATI,5,Parking is just a minute away. Jaz and William were really friendly and welcoming! Definitely coming back 👍🏽 …,,ChZDSUhNMG9nS0VJQ0FnSUNaNFpPUUdBEAE
Anytime Fitness Lower Peirce,Nirmala N Mohan,5,Its nice cosy place where I feel safe n get a good workout done. People here are nice n friendly.,,ChdDSUhNMG9nS0VJQ0FnTURvaF9xQnhnRRAB
Anytime Fitness Lower Peirce,Amir Hariz,5,"Great vibes, easy parking access and friendly staff. Worth going to. Jaz and william were great!",,ChZDSUhNMG9nS0VJQ0FnSUNaNGFQNkhREAE
Anytime Fitness Lower Peirce,Eddie Sit,4,Decent gym. Been here a few times but not much feasible space for yoga and stretching. Overall pleasant experience but Wi-Fi often doesn’t work.,,ChZDSUhNMG9nS0VJQ0FnTUNBMThMTVpnEAE
Anytime Fitness Lower Peirce,Xavier Ng,5,"As I walked into Anytime Fitness Lower Pierce, I was immediately greeted by the friendly and welcoming atmosphere of the gym. The staff, especially Christopher, exuded a genuine sense of warmth and hospitality that instantly put me at ease. Christopher offered to give me a tour of the facility. His knowledge and passion for fitness were evident as he guided me through the state-of-the-art equipment and explained the various workout options available to me. Throughout my workout session, Christopher was always on hand to offer assistance, encouragement, and helpful tips to optimize my fitness routine. His positive attitude and enthusiasm were truly infectious, motivating me to push myself further and achieve my fitness goals. What stood out to me the most was Christopher's genuine care and commitment to ensuring that I had a positive and productive gym experience. Whether it was adjusting my form during exercises or simply checking in to see how I was doing, his personalized attention made me feel valued as a member of the gym community.Thanks to Christopher and the team at Anytime Fitness Lower Pierce, my gym sessions became more than just a workout—they became a source of inspiration and empowerment. I left the gym feeling invigorated, motivated, and grateful for the exceptional service and support I received. I can confidently say that Anytime Fitness Lower Pierce, with its top-notch facilities and dedicated staff like Christopher, has become my go-to place for achieving my fitness goals.",,ChdDSUhNMG9nS0VJQ0FnSUQ5eXNHVWhnRRAB
Anytime Fitness Lower Peirce,Toh Hong Rui,2,"Nice gym with very new equipment. Staff is friendly during stuffed hours, but as always for anytime fitness outlets, spoiled by people who either don't bring towels, or don't wipe down the equipment after usage, or worse, both. Makes me also realise why should I be so considerate to bring my towel and wipe down the equipment?

Tip: wiping the equipment before you use them is more important than wiping after usage.",,ChdDSUhNMG9nS0VJQ0FnSUREX3RHd2lBRRAB
Anytime Fitness Lower Peirce,Weilin Tay,5,"Brand New Gym, good ambience with very clean and fresh equipment.
Enjoyed the gym, feel good to be here 😄 …",,ChZDSUhNMG9nS0VJQ0FnSUNaeGU3WEFnEAE
Anytime Fitness Lower Peirce,Dexter Lau,5,"Clean and neat gym. Located opposite lower Peirce with ample parking space 😌
Much better gym compared to the prata house outlet opp thomson plaza …",,ChZDSUhNMG9nS0VJQ0FnSUNadDdIQ013EAE
Anytime Fitness Lower Peirce,Littlemisskimchii,4,"Nice and quiet gym, Just need a platform to perform deadlifts.",,ChZDSUhNMG9nS0VJQ0FnSUNaMGVxOFN3EAE
Anytime Fitness Lower Peirce,Theodore Tay,5,"This is my first time visiting an anytime fitness outlet and it was extremely pleasant.

The equipment is clean, sturdy and well maintained, with very good airconditioning!

More importantly, the community of gym goers seem to be very pleasant and the staff are very helpful when I enquired about the packages.

In summary, a very good experience:)",,ChZDSUhNMG9nS0VJQ0FnSUNsamVfcGZREAE
Anytime Fitness Lower Peirce,Gabriel Ong,5,very clean and nice i like atmosphere very welcoming and friendly,,ChdDSUhNMG9nS0VMQ2szcFNjb3Z5RHVnRRAB
