outlet,author,rating,text,date_posted,review_id
Anytime Fitness Marymount CC,Always love,5,"I visited this gym on a weekday noon for a few hours, and I was pleasantly surprised! Despite the mixed reviews, I found the experience to be really positive. I've tried a few different gyms in the area, but I chose to stay here because of the unique vibe. If you're looking to get fit and fitter, I highly recommend Ms Miza - she's an excellent trainer who works well with her clients. As you get to know her, you'll grow to appreciate her approach and personality. Give it a try!

Good clean environment and clean music choice for the day too!",,ChZDSUhNMG9nS0VMSzh4cGV1bHV6RFF3EAE
Anytime Fitness Marymount CC,Jadon,1,"No follow-up on an incorrect charge on credit card. Greatly disappointed in Miza's conduct as she was highly unprofessional. Not only did she fail to follow up on a simple request, but she also ignored messages many times and resorted to sending auto-generated replies to avoid answering questions. Overall 1/10 service.",,Ci9DQUlRQUNvZENodHljRjlvT2tnNFdFMVFMVlk1YURGZmNVUnFUSFJYZERZMGNHYxAB
Anytime Fitness Marymount CC,Kok Weng Lye,4,Miza was the admin staff at this Anytime fitness and she has most helpful with answering our questions. She is friendly and approachable. Thank you. We will definitely consider this branch.,,Ci9DQUlRQUNvZENodHljRjlvT2pCNFpVMUhMV04yVG00M1ltbDVXRkJpZEVWeVQyYxAB
Anytime Fitness Marymount CC,Sihan Goi,1,"Stay away from this outlet unless you enjoy lifting in an environment that prohibits any noise at all, being secretly filmed by the manager, being complained about behind your back, and having a trainer who is more busy being a Karen than coaching you.

This used to be my home club. I signed up with AF here when covid struck as it was the best AF that was near my home. The outlet is quite small, the equipment wasn't anything special, but it was sufficient, and they were very chill.

For a few years it was good. Then a couple years ago, the gym manager changed to this Malay lady who for some reason can't stand the sound of people working out (makes one question her career choice). She started approaching me when I was working out to tell me to not lift so loudly - I do Olympic lifts, but I never ever dump/slam the weights. However, I also don't treat the bar like I'm putting a sleeping baby into a cot. One time, she came up to me to confront me, saying she's sick of hearing noise in the gym. She then lied that a member compained about me one day - I know she lied because I wasn't even at the gym that day. As I tried to reason with her, it became clear she wasn't interested and just wanted things her way. She even started berating the ""posture"" of my lifts (she meant form) and saying she's a certified PT so she knows what she's talking about, even though I've been lifting years before she even stepped foot in a gym.

Anyway, I switched to a new gym (AF New Upper Thomson) as they upgraded over the years and it's nearer my home, so I stopped visiting AFMM. I recently visited AFMM as I was in the area, and doing my lifts as usual, and lo and behold, I see her again. She was with a client, but she found it more important to secretly video me. I paid no attention to her as I knew I was not flouting any gym rules nor doing anything wrong, though it was an invasion of privacy being filmed secretly - just imagine if it was a male trainer secretly filming a female member.

A few hours later I got a WA message from my home club AFNUT saying AFMM snitched on me to them about me allegedly slamming the weights and being too noisy. I told them I wasn't doing any of them and I myself have video evidence of my lifts, to which they agreed with me but that different outlets have different rules (which means the Malay manager must've sent the videos to them).",,Ci9DQUlRQUNvZENodHljRjlvT2tFeVVFaFplalpWYWpGNFJEUkRZV0V6Y1hCeVVIYxAB
Anytime Fitness Marymount CC,soon hoe ong,5,"Have been with AF Marymount for almost 4 years. Love the vibes, environment and new equipment. Private and conducive to train. Staff are very friendly, especially Miza whom helped alot in my administrative and invoice request. Recommended for membership!",,Ci9DQUlRQUNvZENodHljRjlvT21WaWFHWmtSazVwY0c4M1YxUlBaaTFFYlU5M2RWRRAB
Anytime Fitness Marymount CC,Robin Ong,4,"Visited on a Friday afternoon and it was relatively empty. Was surprised that the gym was not staffed at this hour as almost every other branch that I’ve visited is usually staffed during the day hours. Not an issue if you are an existing member anyways.

Anytime Fitness Marymount CC is bright and extremely functional. While its floorspace is likely one of the smaller branches, it provides a pleasant visit during off peak hours. I will probably avoid after-work hours (and its crowd).",,ChZDSUhNMG9nS0VJQ0FnSURyN2F5RURREAE
Anytime Fitness Marymount CC,Keith Ong,4,"Great environment, less people and average equipments. Did legs when i went and it was around 4pm, only had 5-6 people inside. Recommend for people staying around the area.",,ChZDSUhNMG9nS0VJQ0FnTURBckp6U1R3EAE
Anytime Fitness Marymount CC,Yong Chloe,4,the gym was well kept and the staff were friendly. only thing is it's quite small so you may have to wait for your turn at the machines when it is crowded,,Ci9DQUlRQUNvZENodHljRjlvT2xSR1lXaFJOMEU0TlRaWFlrMXhNVzh4V0hJM2JXYxAB
Anytime Fitness Marymount CC,phan henry,1,"Water supplying is always big problem here.
Member is always recommended to buy water from vending machine instead of get water supplying from water dispenser as the rest of AF do.
I couldn’t drink cold water and i feel it’s very inconvenience when i join here.",,Ci9DQUlRQUNvZENodHljRjlvT2tKNFVsRXRhaTFuWm5jdFVqTlJVbmRhZUdGMWFWRRAB
Anytime Fitness Marymount CC,Munny L,4,"Located in Marymount CC, level 3. There's no showers inside, showers are provided by the CC itself.

threadmills
Ellipticals
1 cycling
Free weights
Squat rack
Kettle bells
Mats
Foam rollers

Except lat pulldown machines and rowing machine.

Edit: They have cable for lat pull downs and row machine with stackable free weights.",,ChZDSUhNMG9nS0VJQ0FnSURXdlBIalFBEAE
Anytime Fitness Marymount CC,William Marinus Van Breukelen,5,Super smooth sign up process. Miza is great and an outstanding employee. Gym is well equipped as well,,Ci9DQUlRQUNvZENodHljRjlvT2tSQ1oxOU9TbmRqY0RkcExXYzJaVUp1ZUVZM1RYYxAB
Anytime Fitness Marymount CC,Arun,1,Even at midnight all the treadmills are taken. Clearly oversold their membership. Might as well just walk at Bishan Park.,,Ci9DQUlRQUNvZENodHljRjlvT2s5d1Z6ZzNZVkYyU1Vsak5YUldUWHBxVUZSS1FWRRAB
Anytime Fitness Marymount CC,haydenando,5,"Great gym, not so crowded and staff are great. Gym is not very spacious but still perfect to work all body parts. Something that could be improved is to rid the decline chest press machine that almost nobody uses and replace it with incline instead.",,ChZDSUhNMG9nS0VJQ0FnTUR3aEpXUkVBEAE
Anytime Fitness Marymount CC,Gabriel Tan,5,"Hi, I manage to visit AF Marymount CC, the manager Miza is very friendly, cheerful, very amazing that she explained to me all the equipment around.

Thank you Miza",,ChdDSUhNMG9nS0VQU0l0UG45LUpmaDZRRRAB
Anytime Fitness Marymount CC,Alyssa (TYLA),1,"Started out fine but got progressively worse over time. Staff were helpful and friendly in the first few years of the gym, but with new management became less responsive and less helpful. Promises to call to resolve matters were not followed up on. Agreements made with past management were not honoured without notice. Messages sent were not followed up on. The only thing they were responsive on was harassing you into taking up PT packages. Considering that I typically gym outside of staffed hours and have no further interactions it’s quite sad.",,ChZDSUhNMG9nS0VJQ0FnSUN2cm8zakF3EAE
