outlet,author,rating,text,date_posted,review_id
Anytime Fitness Novena,Roger Thomas Tan,5,"Great place, spacious with a space for machines, free weights and squat rack! Nicely decorated changing room. It wasn’t very crowded when I was there in the afternoon so it’s a good place to gym if you are in Novena area. Plus it’s tucked away in the open basement area in a cozy little corner in front of the building, with lots of bright sunlight to make it rather pleasant and cheerful. The management are nice, smiled and said hi to me even though it’s my first time there. I recommend this place to gym!",,ChZDSUhNMG9nS0VJQ0FnSUNYM3JxRU1BEAE
Anytime Fitness Novena,Sihan Goi,3,"Came here on a Monday over lunch. Reached at close to noon and it was getting crowded, by 12+, it was packed. Thankfully, the platform wasn't very popular, though someone did hijack it while I was stretching even though my stuff was there. I didn't really mind since I'm all for sharing, but I thought a little courtesy in asking if the platform is being used would be nice. The platform was also squeezed in between the wall and a pillar, so there's not much space to navigate.

The squat racks were however hot items...except not for squatting. Since it's Monday, apparently everyone was celebrating National Bench Day. I had to wait a while before I could squat.

The equipment is quite alright, though they are all placed in very close proximity to one another, so you need to be very aware of where your going to not intrude on someone else's space. There are 2 full racks with rubberized plays from 1.25-20kg, 4 bars within the racks, another bar on the platform, a full set of Hammer Strength bumper plates, a smith machine, various benches, dumbells till about 35kg, various cable machines and cardio equipment. Nothing out of the ordinary, no specialized bars or other equipment.

The bathroom is unisex, and the water pressure fluctuates, and can get quite low when someone else is showering.",,ChZDSUhNMG9nS0VJQ0FnSURfZ09LUUpBEAE
Anytime Fitness Novena,Fi Yb,1,"Other branches of anytime fitness are ok. However, the management at this branch is extremely chaotic, and they have repeatedly charged me incorrectly. The owner is a bald man with a tattoo on his head. The key he gave me at first didn’t even work, and he asked me to pay extra to replace it. In December 2024, they charged me incorrectly again — luckily, I noticed after doing the math. Then in February 2025, I asked them to terminate my membership by April 15, but they kept delaying it with all sorts of excuses. When I brought up the incorrect charges, they even said the staff should pay me back themselves. They’re completely passing the buck.",,ChZDSUhNMG9nS0VJQ0FnTUNZOEtfZ2ZREAE
Anytime Fitness Novena,Shine cleo Butar butar,5,"Staff are great and lots of equipment. Facility is clean and tidy... Open 24/7 convenient, Close to home.
And the ability to go to any of their locations when traveling.
Would definitely recommend Anytime Fitness Novena Singapore to anyone looking for a new gym 👍🏻",,ChdDSUhNMG9nS0VJQ0FnSUNScnU2TW5nRRAB
Anytime Fitness Novena,Bryan,2,"Staff was rather rude when asking me to move my personal belongings. Limited machines (in comparison to other outlets), and dumbbells were only up to 40kg (more an issue for monsters out there who require heavier). I suppose the only saving grace was the decent leg press and plate loaded hammer strength row.",,ChZDSUhNMG9nS0VJQ0FnTUNJaHJ5Vk1REAE
Anytime Fitness Novena,Shuaib Shah,5,"This is a superb gym with excellent management and service, led by Ms May

I am a foreign tourist visiting Singapore for a few weeks and booked Novena Anytime Fitness 1 month membership at SGD 155

No registration fee or lock-in!

Ms May was fantastic and very very helpful

The gym facilities are excellent and I would use this again

Highly recommended",,ChdDSUhNMG9nS0VJQ0FnSURSb0piQ293RRAB
Anytime Fitness Novena,Happy S,1,"I would give it a 5 (because of the complete equipment) if not because of the pungent sharp air freshener/ perfume which i heard is toxic. I understand if they want to eliminate body odor but they can use it proportionately, or clean more often, or have better air conditioning, instead of overloading the room with perfume. I started to develop abit of headache. Too pitty it used to be my favourite place to work out, now i have to move to other anytime fitness which is inconvenience for me",,ChZDSUhNMG9nS0VJQ0FnTURBNmZPV2VREAE
Anytime Fitness Novena,Ryan Quek,5,"Nice roomy gym with friendly instructors! Showers, changing rooms and lockers available so super convenient. Lots of machines  to go around so you don't have to wait too long. Highly recommended!",,ChdDSUhNMG9nS0VJQ0FnSUNYb3M2YXFnRRAB
Anytime Fitness Novena,Navin Kuna,1,"I wish there was an option to give no stars. This place is only friendly and cooperative until the sign-up is confirmed and the terms and conditions are signed. After that, their behavior completely changes—they become rude, threaten customers, and force decisions that only benefit them, even when the customer is dealing with medical or severe financial difficulties. The service is utterly poor.

To anyone considering signing up, please don’t do it if you genuinely value your passion for fitness and keeping yourself healthy. Only sign up if you have excess money to waste because that’s all they care about.

Not only did I experience this, but my colleagues also faced threats and were scammed into paying more, even after submitting a cancellation request well before the 30-day notice period stated in their clause. Don’t believe me? Take a look at the comment sections on other platforms about Anytime Fitness, and you’ll see how many others have suffered too.",,ChZDSUhNMG9nS0VJQ0FnSUN2cWNuY1hnEAE
Anytime Fitness Novena,Princess Pongyan,5,"So much love for this gym - Friendly and approachable staff, spacious, clean and well maintained and most of all the gym smells good and that's all that matters. Ahahaha! My favourite go-to AF gym 🥰💯♥️ …",,ChdDSUhNMG9nS0VJQ0FnSUMwNVkyLWhnRRAB
Anytime Fitness Novena,Chili Red Arowana,1,"It’s at B1, at a corner next to Cold Storage.. it’s very Ulu place, in an old mall.. and not near MRT. The nearest is Novena MRT, looks near but it’s a long zig zag walk, crossing the bridge to get here. Quite confusing. I’d say not worth the effort. Worse part is the shower cubicle has very smelly URINE smell. Disgusting outlet",,ChdDSUhNMG9nS0VJQ0FnTUNnOGJmbzNBRRAB
Anytime Fitness Novena,Luis L.,5,"I've been in Singapore for more than 10 years and been in quite a number of Anytime Fitness across the island. This is for sure, the best of all.

The facilities are impeccable, providing a clean and comfortable environment for workouts (everything is quite new), good location and ambience. However, what truly made it stand out was the staff (I would totally call out some comments below; the impression from the staff is a bit confusing). For me, they are friendly, encouraging, and highly knowledgeable, going above and beyond to assist and motivate me. This gym is a true gem, and I wholeheartedly recommend it to anyone seeking a positive fitness journey.

This is the best gym you can find in Novena!",,ChdDSUhNMG9nS0VJQ0FnSUNwN3NtbS1BRRAB
Anytime Fitness Novena,BT,5,Zac was prompt in assisting my membership and answering my queries. Thanks for following up well!,,Ci9DQUlRQUNvZENodHljRjlvT2xaaVZFWXdZWEZZVDJwMU5ITlRjSGxyVmxGTVJYYxAB
