outlet,author,rating,text,date_posted,review_id
Anytime Fitness Pasir Ris Elias CC,Jasper koh,5,"Really enjoyed my time here at anytime fitness.
Coach Timothy is very approachable and knowledgeable about fitness and strength training. If anyone is looking for a Personal Trainer, I recommend going with him.
He offers a trial first so you get to know his working style and person better before you commit to it. Solid lad.",,Ci9DQUlRQUNvZENodHljRjlvT21sYVZFeENPRFZNVGxOSGVGZHJOV1prTWtkMVprRRAB
Anytime Fitness Pasir Ris Elias CC,Zi Xing Low,5,"While the gym was tiny and I had to be creative with my exercises, Michael (the staff) was warm and friendly. He’s helpful and not pushy when it came to the sales talk. Had a great trial session overall despite the lack of equipment!",,Ci9DQUlRQUNvZENodHljRjlvT21veFNWTkJiRWg1VVdGeVZFOXJORmd3Uld4aVluYxAB
Anytime Fitness Pasir Ris Elias CC,Hafiz Khalil,5,"I’ve been a member of AF Elias since 2019, and through all the years, one thing has remained consistent — the amazing community and environment. While there have been many changes in staff and even ownership over time, the friendships and positive atmosphere are what keep me coming back.

A big shoutout to Arthur and Elis, who have both played a huge part in shaping the gym’s welcoming and motivating vibe. Whether you’re a beginner or a seasoned gym-goer, you’ll find support, encouragement, and good vibes here.

AF Elias isn’t just a place to work out — it’s a place where you feel like you belong. It’s truly become a second home for me.",,ChdDSUhNMG9nS0VJQ0FnTURvM3V6RGhnRRAB
Anytime Fitness Pasir Ris Elias CC,A I (Stonedfish),5,"Had a pleasant experience signing up at AF EM..Was attended by Zack who was friendly and patient in answering my queries. Also appreciate that he took the effort to ask if i was part of any organization so that there will be a discounted fee. For the 1st month there i would say the staffs on duty has always been approachable..makes it less intimidating to enter.

That said, the size of the gym in that outlet is pretty small so when people start to come in, it can get quite squeezy for a bit. Another thing is that there is no toilet in the outlet but that is understandable. Equipments are all in good order!",,ChZDSUhNMG9nS0VJQ0FnTURveVpXOFBnEAE
Anytime Fitness Pasir Ris Elias CC,Andy Lee,5,"Michael has been helpful and comprehensive in his explanation of the gym contract and details.

Gym may be on the smaller side but mitigated by AF being a large chain.",,Ci9DQUlRQUNvZENodHljRjlvT2xoMFptZEZibWhzVkhGa2FFdHpibmh6YWpCR1FXYxAB
Anytime Fitness Pasir Ris Elias CC,JW2EN,5,"Quaint yet functional gym. Don’t let its humble appearance fool you, this is a fully equipped gym offering an impressive variety of options for all your workout needs.

Members of this gym are kind and inviting, and I have never experienced a more welcoming gym. Rarely do I have to worry about equipment being unavailable as members are always open to share equipment and help each other achieve their goals.

Staff are extremely friendly and approachable; I consistently observe them encouraging and motivating members with their upbeat personalities and compassionate attitudes. I would especially like to commend Arthur — their receptionist staff — as he has frequently provided his assistance to me during tough workouts, and never fails to offer effective and personalised advice for my fitness goals.

Highly recommended for anyone looking for a gym in the East. Hope they bring back the fitness challenges!",,ChZDSUhNMG9nS0VJQ0FnTURvX3J6bFJREAE
Anytime Fitness Pasir Ris Elias CC,Lim CH,5,"I’ve been with AF Elias for over 5 years, and it’s great to see the ongoing efforts not just in maintaining the gym facilities and equipment in good condition, but also the improvements in cleanliness. The staff, especially Alice, have been consistently friendly and welcoming. Keep up the great work, team—well done!",,ChZDSUhNMG9nS0VJQ0FnTURvX3MzekZ3EAE
Anytime Fitness Pasir Ris Elias CC,Kar Moon,5,Michael was friendly and really helpful with the signing up process. Everything explained clearly and a great experience throughout :),,Ci9DQUlRQUNvZENodHljRjlvT2psTmMyNTRPV0pvVkVJM05WOVpXa1ZzWm1SbldsRRAB
Anytime Fitness Pasir Ris Elias CC,Darren,5,Michael assisted and facilitated the signup process extremely well. Had a smooth experience with him!,,Ci9DQUlRQUNvZENodHljRjlvT2xreVJVOVhOWFI2Vkcxblp6VmlTR2xuTW5GVFFXYxAB
Anytime Fitness Pasir Ris Elias CC,Malcolm Seah,5,Michael was very helpful and patient. He walked me through slowly the re-sign process.,,Ci9DQUlRQUNvZENodHljRjlvT201Q2FrdEdla3QwUzJWUmF6TjVURTFxY0ZCUFNuYxAB
Anytime Fitness Pasir Ris Elias CC,Jun Pagalilauan,5,Michael- very kind and assisted us well. great  staff. thanks.,,Ci9DQUlRQUNvZENodHljRjlvT2xwZlVVNVNXa04wUkdzM05WcHdWVXR6ZUVwRFdVRRAB
Anytime Fitness Pasir Ris Elias CC,fnse,5,michael was very friendly and helpful and it left a good impression :) its a smaller gym but still nice facilities.,,Ci9DQUlRQUNvZENodHljRjlvT2tSMVIwbFBTbEZRVWtkMFMyeFlkVzQ1T1VweU1sRRAB
Anytime Fitness Pasir Ris Elias CC,Billie Joe Haikal,5,"Highly recommended, the place may seem small but it’s homely, has alot of various machines. The staff here are friendly, you will feel welcomed and a part of the whole experience. A great place to start your workout journey.",,ChdDSUhNMG9nS0VJQ0FnTURvM3BucjZnRRAB
Anytime Fitness Pasir Ris Elias CC,Wan Muhammad Shazwi,5,I was attended by Michael. Explained every details very well. Made me understand more especially on the terms & conditions. Very polite!,,Ci9DQUlRQUNvZENodHljRjlvT2xwaWRHaGZkRXhYTkdWbWMyMWxibEkwYm1kek9WRRAB
Anytime Fitness Pasir Ris Elias CC,Fenyee Tay,5,"Great experience with my sign up process, thanks Michael!",,Ci9DQUlRQUNvZENodHljRjlvT2sxUFEyaEVaRVJFYUhGbE5FOTNRVk5HUTBSMk9XYxAB
Anytime Fitness Pasir Ris Elias CC,Percy Jack,5,Michael is easy to talk to and clear explaining on membership plans.,,Ci9DQUlRQUNvZENodHljRjlvT2tKWkxYUnJSVlU0TlVoYVlYWkJOakYwYTNWalkzYxAB
Anytime Fitness Pasir Ris Elias CC,Dineshkumar Anburajan,4,"Using the gym for last 4 months, it have all the equipment for the workout irrespective of the minimum space. Front office people are welcoming and friendly. Could improve the space.",,ChZDSUhNMG9nS0VJQ0FnTURvdm9fYkJREAE
Anytime Fitness Pasir Ris Elias CC,Muhd Afiq,5,Michael was helpful in all my queries that i had and had a friendly atmosphere,,Ci9DQUlRQUNvZENodHljRjlvT2pKTFdVOUxNMFZIYzBKbFdHeExlWEZwTXpNeVRuYxAB
Anytime Fitness Pasir Ris Elias CC,Samuel Teo,5,Timothy was incredibly helpful - very smooth onboarding process,,Ci9DQUlRQUNvZENodHljRjlvT2xZMFlWaFBXbDg1VUY5SVdtcGhTSFp6VkZKcVZtYxAB
Anytime Fitness Pasir Ris Elias CC,Nur Nafilah,5,"Convenient access, and near home. Signed up PT with Timothy. Great mentor and trainer !",,Ci9DQUlRQUNvZENodHljRjlvT21wWU9WaFpPRFZuUVZRdE1FOUtlWEZqVkU4MkxVRRAB
Anytime Fitness Pasir Ris Elias CC,Aloysius Xavier Tan,5,Michael has been of great help in ensuring a smooth enrollment process for my gym membership👍🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT2tGT2NYbGlXVEJqTTBkT2NVRnBRbGczV0dkblUyYxAB
Anytime Fitness Pasir Ris Elias CC,Gareth,5,Staff are approachable and friendly. This outlet might be smaller in size but it has all the essential machines for a good workout. Overall a good place to workout.,,ChdDSUhNMG9nS0VJQ0FnTURvdnRiWjN3RRAB
