outlet,author,rating,text,date_posted,review_id
Anytime Fitness Rochester,A H,1,"I used to frequent this gym because it’s new and conveniently located, but over time the experience has gone downhill. The only staff members who consistently greet and make members feel welcome are the PT (gentleman) and the Malay Club Associate (gentleman)— both always professional and friendly. Unfortunately, the rest of the team, especially the boy with glasses and some of the female staff, show little to no warmth or acknowledgement. They sashay around as though they own the gym, instead of working for the gym they are in. It really sets a poor impression of the outlet’s culture compared to other branches.

For a new gym, the maintenance is also disappointing. The air-conditioning leaks at random spots (especially on the second level near the benches on the right), and the ceiling fans seem to turn on and off without reason — not to mention the loud noises they make.

The team here could definitely learn a thing or two about customer service and basic body language from the two staff mentioned earlier. I used to come here out of convenience, but I’ll be switching to other outlets like BV or HV, which offer a much better overall experience nor staffs monkey around in the presence of members.

Kudos again to the PT and the Malay Club Associate for their friendliness — they’re the only reason this gym still has any redeeming qualities (unhealthy sweet and snacks on the table, leaky wet tissues ain't doing it). Hopefully, higher management reviews both the service culture and maintenance issues soon.

Like that lor.",,Ci9DQUlRQUNvZENodHljRjlvT2poR1pHWTVjRFpSUTNSUk9EQnVlRjl4YmpKdmRVRRAB
Anytime Fitness Rochester,Dinozo,5,Good machines and good environment. The toilets are well equipped and nice vanity items like wet tissues and hair dryers.,,Ci9DQUlRQUNvZENodHljRjlvT2pKMWFUUkZhRzlITURoVlZDMWZYM05aY0RKd04wRRAB
Anytime Fitness Rochester,Kien Kieu,4,It's ok. Relatively newer and cleaner. No chest-supported row or seated calf raise but most basic equipment is there.,,Ci9DQUlRQUNvZENodHljRjlvT25SNGFFVnVjWFJtVDJWWFkzcHBTbXhEWVVGV1NIYxAB
Anytime Fitness Rochester,Afeef Hussain,5,"Great gym with good vibes. Great machines
But only critique would be the lights blinding machines users.",,Ci9DQUlRQUNvZENodHljRjlvT2xwdGRUTmtlWEZzT1c5UldVSkJiMWh6YzFZd2NXYxAB
Anytime Fitness Rochester,Syakir Malek,5,"I love myself an aesthetic gym with good vibes around the area. Giving me Atas Vibes when i gym here on the weekends, i would recommend my family and friends here for sure!",,Ci9DQUlRQUNvZENodHljRjlvT2s1SFVYcHpkSEJRTTNFeFh6Unpka280Tm5KQ1JIYxAB
Anytime Fitness Rochester,Siqiang Yang,5,Great environment and 2 stories of space and equipment.,,Ci9DQUlRQUNvZENodHljRjlvT214VGVrd3lVVk5CVTBKa05YVTFhMkptU21oMlYxRRAB
Anytime Fitness Rochester,Daniel Chua,5,Lovely and Cosy Gym. Friendly Staff at the counter. Toilets available on both levels makes it so accessible 😊 …,,Ci9DQUlRQUNvZENodHljRjlvT2tOQ05WZzNUMHhYZEcxRVNVdEplVzlVUTJ0UlVFRRAB
Anytime Fitness Rochester,J,5,"Very cozy gym! Also, kudos to this young chinese staff with specs who was really polite 👏 …",,Ci9DQUlRQUNvZENodHljRjlvT2tkbFJXMXVWRkJqTW1sNldUUkNlR055UzNKRFRWRRAB
Anytime Fitness Rochester,290deep,5,"Music in the gym is on point! Nice cosy gym, will return again! 🤩 …",,Ci9DQUlRQUNvZENodHljRjlvT2pGUlgzY3pOV2c0WVVGbk1YZGtjMUpIYzBSdVEwRRAB
Anytime Fitness Rochester,Melvyn Loey,5,The machines are spanking new and facilities very comfortable. The staff are also friendly! Overall very satisfied!,,Ci9DQUlRQUNvZENodHljRjlvT2pSSmQzbGFVSFJoTUVvMU5scEthRVJmWkRsblMyYxAB
