outlet,author,rating,text,date_posted,review_id
Anytime Fitness SKH Campus,Vignesh Ganesan,5,"I’ve been a regular at this gym for a while now, and I couldn’t be happier with my experience. The facilities are clean, well-maintained, and equipped with everything you need for a great workout. The overall atmosphere is friendly and motivating, which makes it a place I genuinely look forward to coming to.

A special mention to my personal trainer, Georgina—she’s been absolutely fantastic! She takes the time to understand my goals, health needs, and fitness levels, and customizes each workout to suit me perfectly. Her encouragement, patience, and expertise keep me motivated throughout every session. Thanks to her guidance, I feel stronger, healthier, and more confident each day.",,Ci9DQUlRQUNvZENodHljRjlvT20xdVVHb3RkVzVFVDFReFgxSlNlVWQwZVVWamMzYxAB
Anytime Fitness SKH Campus,Min Toh,5,"I was quite apprehensive to join the gym initially as I'm a total newbie to fitness. But the decision to join and train with Georgina has been one of the best decisions that I've made for my health. Georgina is very patient and very knowledgeable. Under her guidance, I gained much progress in my fitness, health and confidence. She takes time to explain and teach me the correct forms and what to look out for and will adjust to my level. She is friendly, firm and encouraging. Due to her coaching, I was encouraged to keep strength training as part of my routine.
The gym is clean, well maintained and I always feel comfortable here. I also find the gym at SKH very well equipped compared to some other AF that I went to.",,Ci9DQUlRQUNvZENodHljRjlvT2pJMmFFcFBOMEpaZVV0alFsSTRSRXBpZUhodWFuYxAB
Anytime Fitness SKH Campus,Adilah,5,"Had the privilege of training with Shahrul at AF SKH, and I’m beyond grateful for his guidance and motivation throughout my fitness journey. Thank you, Shahrul, for always pushing me (even when I complained 😅) and for sharing so much of your knowledge and experience. You’ve taught me not just how to train better, but how to stay consistent, disciplined, and intentional.

It’s been such a rewarding journey, and I’ve grown stronger both physically and mentally thanks to your patience and encouragement. Really couldn’t have asked for a better trainer to start this journey with. 💪🏼",,Ci9DQUlRQUNvZENodHljRjlvT21GaVVXMDVNemhoZGpWWU5ERkdjMkZDTFdSRVpuYxAB
Anytime Fitness SKH Campus,Mark,5,"Been here for over a year. Honestly one of the better AF gyms in SG. Very well maintained, and the staff team care a lot about running the gym. Very responsive to enquiries and even decorates the gym with the festive seasons.

Downsides: Can get very crowded sometimes (Sengkang issue), and the aircon might be too weak for some, especially when there are a lot of people in the gym",,Ci9DQUlRQUNvZENodHljRjlvT2tKcWRqRmtUUzA1U0hWRmQwNURTV0Y2TUMxcVJsRRAB
Anytime Fitness SKH Campus,Henri,5,"This is by far the best Anytime Fitness I’ve visited in Singapore. The facilities are fully equipped, cleanliness is consistently maintained, and most importantly, the staff are cheerful, warm, and welcoming. They go above and beyond to ensure members feel at home. It’s truly a fantastic community fostered by both the staff and fellow members.",,ChZDSUhNMG9nS0VJQ0FnSUNfbnNLQ0VnEAE
Anytime Fitness SKH Campus,dasun maduwantha,5,"I’ve had a great experience at Anytime Fitness. The gym is always kept very clean and well-maintained, which makes workouts much more enjoyable. The staff are friendly, professional, and always ready to help when needed. It’s a welcoming environment that makes you feel comfortable every time you visit.",,Ci9DQUlRQUNvZENodHljRjlvT2pnMk5EQndVMnRvTkVsTFRXdHVSRU5MZFhsaVVsRRAB
Anytime Fitness SKH Campus,Samara “MARA” M,1,First time visiting this branch and chased out for improper shoes??? It was covered leather slides. Never been an issue in other branches. Staff member did not even introduce herself and straight up told me to leave after I warmed up. Did not offer alternatives. What is the point of being so strict we are all adults? So ridiculous.,,Ci9DQUlRQUNvZENodHljRjlvT25vdFFWVnFUWHBUYTFkR2NqVkJVRE00U2xKcVRHYxAB
Anytime Fitness SKH Campus,Pamela Lalu,5,"I’ve been training at this gym for a while now, and I couldn’t be happier with the experience. The environment is always welcoming, and the staff are incredibly friendly. Special shoutout to coach Valerie—super approachable, supportive, and genuinely passionate about helping me reach my fitness goals. Whether you’re a beginner or experienced, you’ll definitely feel comfortable and motivated here. Highly recommend!",,ChZDSUhNMG9nS0VNM0ZsZDJwNThDeE5BEAE
Anytime Fitness SKH Campus,DD,4,"Been coming to this gym for almost a year even though it’s not my main one, just for a change of environment sometimes. Staff and manager are really friendly which is great. Only thing is the music- it’s mostly old school songs and doesn’t really hype people up to train. Would be awesome if the playlist could be more upbeat. Thanks!",,Ci9DQUlRQUNvZENodHljRjlvT2xGWmEzWlRVVTlhVFMxRWJrZG9XR2xyU0VGSFJWRRAB
Anytime Fitness SKH Campus,Helen CL,5,"I signed up for personal training at Anytime Fitness SKH to improve my overall health, and it has been a great experience. The staff are very friendly and helpful. I highly recommend my coach, Shahrul — he is attentive, professional, and meticulous about correcting my posture in every detail.

He makes the most of our rest time by checking in on my nutrition and generously sharing his knowledge. Through our sessions, I’ve not only gained physical strength but also developed a deeper understanding of how our body and muscles work.

Training with Coach Shahrul has been consistently pleasant and rewarding — I always look forward to our sessions.",,Ci9DQUlRQUNvZENodHljRjlvT2xZd2VrSlpVbFIxTXpkSGFrWjNaVGh1WkhWWFNtYxAB
