outlet,author,rating,text,date_posted,review_id
Anytime Fitness Stevens,janwar soeheri,4,Gym is well equipped for your workout. They have a few machines which are not available in other AF I visited. Like the open space and pool to relax after workout. Will visit more often if around the area.,,Ci9DQUlRQUNvZENodHljRjlvT2xGcVR6QXRRakpRY1hZMFNVa3daVlJHYjB0Q1dVRRAB
Anytime Fitness Stevens,david churchill,3,"The cardio room is quite dark and there is no ez bar at the gym.
Most gym equipment is nice.",,Ci9DQUlRQUNvZENodHljRjlvT2t4SFdGVndkV2MyVVdjNWR6SnJPRUoyVm5aQ1pWRRAB
Anytime Fitness Stevens,Priya Sathiyan,5,"Well maintained and a wide variety of equipment, friendly staff and easy access to Stevens MRT and Cold Storage next door! Been coming since last November and enjoy the music choices and lighting :)",,ChZDSUhNMG9nS0VJQ0FnSUNOX2J5WGR3EAE
Anytime Fitness Stevens,Huimin,5,"I joined Anytime Fitness Stevens in Oct 2024 towards the end of a personal training program elsewhere, and looking for another gym to sustain my fitness journey on my own.  Been with AF Stevens for about 5 months. I chose this as my home gym as it is very near MRT like maybe a few mins walk away and is on my route to office. AF Stevens is pretty well equipped, usually well maintained with 4 squat racks, hack squat machine, hip thrust machine, smith machine, back extension, pec fly machine, leg extension, hip abductor machine, T-bar, seated rows, lat pull down, at least 4 benches and many more, and also a separate room beside for cardio machines like treadmills. The gym is well spaced and not so crowded at least during the time I usually go. What I like most is the gym provides lockers (u use your own padlock but that is good enough) and has shower facilities which some other AF gyms don’t have which is important to me as I don’t live exactly near the gym.

They also provide sanitizer sprays and towels for us to wipe the machines which some other AF gyms don’t have.  It is well ventilated air conditioned with fans rotating and blowing.

I am shifting house in a few months time and the AF gym which is in my new neighbourhood does not have locker and shower facilities…

I think I will miss AF Stevens already…
Keep it up AF Stevens team!

Thanks.",,ChZDSUhNMG9nS0VJQ0FnTUNRMzVxQVN3EAE
Anytime Fitness Stevens,szehow ng,1,"I’ve been frequenting AF Stevens branch for over 3 years now. Throughout my time here, I can say that this is a good gym with nice equipment and a great owner.

Unfortunately, a highly unpleasant experience with one of their staff (I suspect I know which one) has led me to the decision to stop frequenting this branch.

The incident involved a fine (of which I received no warning of). When discussing the matter, the staff member, among other things, threatened to block access to my FOB and refused to allow me to talk directly to the boss. The issue does not lie with the fine itself - I am open to paying it. The issue lies in the manner and unprofessionalism in which this particular staff member dealt with the issue. It is poor business sense and no way to treat a loyal customer of 3+ years. My requests of speaking directly with the boss were reasonable and appropriate.

As a result of all this, I’ll be looking to change my membership to a more convenient location near my workplace at the earliest opportunity.

It’s unfortunate that this singular experience with this particular staff member has ruined an otherwise pleasant 3+ years at AF Stevens. I’d recommend the owner to take corrective action against the staff in question, so as to avoid similar incidents happening to other members in the future. It’s particularly disappointing and unfortunate, as I have actually talked to the owner on multiple occasions, and he is a very nice uncle.",,ChdDSUhNMG9nS0VJQ0FnSURYNUxEMzlnRRAB
Anytime Fitness Stevens,Chris Koh,5,"New equipment and clean.
Awesome place.

1hr free parking at the apartment carpark is a bit short though. Would rather a 1.5hr or a 2hr free parking for gym goers.",,ChdDSUhNMG9nS0VJQ0FnSUNoMGFhcnF3RRAB
Anytime Fitness Stevens,Khim Siang Kua,5,Nice and clean gym with all the necessary equipments! Very friendly and helpful staff and gym members! The selection of music is power too! 🤘🏼 Overall a gym with very positive vibes! 💪🏼 Oh! And they sell really delicious and wallet friendly protein powders! Go check it out! 😉 …,,ChZDSUhNMG9nS0VJQ0FnSUNOay1PeGJnEAE
Anytime Fitness Stevens,Dan O,5,"Definitely one of the best gyms I’ve been too! Not only are the staff super nice & friendly, but the committee of gym goers are too. In terms of equipments and space, it is more than enough for an average guy/girl looking to get a workout in",,ChZDSUhNMG9nS0VJQ0FnSUNsdGJ6YkJREAE
Anytime Fitness Stevens,Rishi Anand,5,"I’ve been a member for more than 3 years and really enjoy my workouts here. The gym now has a separate cardio section leaving enough space even when it gets busy.
Ian is a fantastic trainer and after trying a few other types of workouts I can vouch for the results one can get training here.
Highly recommend the place to anyone in the area. The proximity to Steven’s mrt is another added advantage.",,ChZDSUhNMG9nS0VJQ0FnSUNOdmRhM0JBEAE
Anytime Fitness Stevens,Chili Red Arowana,3,"Small outlet, the cardio room is diff from the weight lifting room… it’s quite dark not enough lighting in the cardio room… hence 3 star, but overall feels ok.",,ChZDSUhNMG9nS0VJQ0FnSUN2bEptUUVnEAE
Anytime Fitness Stevens,Marcus Lim,5,"This is a friendly neighborhood gym.
The staff here are close friends with many of the members.
Take Mr Venturi Wong as an example. He is friendly to all gym members and constantly chit chats with all. I have encountered rude and unreasonable staff from other anytime fitness gyms, and I will never go back there.
If you want a friendly gym with a relatively wide range of equipment. This is the place to go to.",,ChdDSUhNMG9nS0VJQ0FnSUN1MTdIOGd3RRAB
Anytime Fitness Stevens,Kelvin Tan,5,This is a great af. Super clean and well maintained equipment. From the outside it may look small but it's surprisingly roomy on the inside. I liked the selection of machines as I saw they had a hack squat and incline chest support row machine as well which aren't so common in the other AFs I've been to.,,ChZDSUhNMG9nS0VJQ0FnSUNwMVlxcGZ3EAE
Anytime Fitness Stevens,nusha dakshyni,5,"equipment is quite new, facilities are clean & spacious. treadmill & functional area are in a separate room. staff is friendly. it's like 100m from stevens MRT, really nice space!",,ChdDSUhNMG9nS0VJQ0FnSURKejZtT3FRRRAB
Anytime Fitness Stevens,Danial Oliver,5,"Smaller than most gyms, but that's gives it a home-y feel. Also they give out towels for workouts/showers, while many other gyms just ask you to buy their branded one when you forgot yours. Also the staff are really really friendly 😊 …",,ChZDSUhNMG9nS0VJQ0FnSUNjd1kzckJREAE
Anytime Fitness Stevens,brendan kwan,5,"Excellent customer service, Staff members are extremely accommodative when customers respond in a polite manner. Clean and well maintained",,ChdDSUhNMG9nS0VJQ0FnSUROa1pXVGp3RRAB
Anytime Fitness Stevens,Marc Nerva (Cramolio),5,"Excellent gym, great equipment, nice owner and an awesome in-house trainer! This team has definitely changed my life. I'd be fatter and my blood pressure would be worse without them.",,ChZDSUhNMG9nS0VJQ0FnSUNOdmNyd0F3EAE
Anytime Fitness Stevens,Jeremy Lim,5,Excellent facilities with multiple squat racks.,,ChZDSUhNMG9nS0VJQ0FnSUMtX0ptbkV3EAE
Anytime Fitness Stevens,Adam Y,1,"The Anytime Fitness Steven's franchisee isn't a very honest business owner. I was informed that I would be precharged for membership during P2HA which gym use was prohibited. Then after their attempt to say it's a misunderstanding, I proceeded to inform them that I'd be terminating my membership.

I have been trying to get a confirmation on the cancellation after multiple attempts and my membership is still active.

Poor communication, poor business ethics and bad service.",,ChZDSUhNMG9nS0VJQ0FnSUM2X052UkF3EAE
Anytime Fitness Stevens,Roy Chandran,5,"Awesome staff venturi is always chill and friendly
Still come to steven even though there are other closer gym . The ppl there are also friendly.",,ChdDSUhNMG9nS0VJQ0FnSURObGZQWW1nRRAB
Anytime Fitness Stevens,Anjali Saroea,5,"I've been going to AF Stevens for a couple of years now and it's a great gym... clean, new equipment and good management.",,ChZDSUhNMG9nS0VJQ0FnSUNObjkzQlFREAE
Anytime Fitness Stevens,Keira Ducusin ang,5,No doubt the staff and PT are very helpful and friendly. The equipments are well maintained and it’s very convenient with MRT nearby and things to eat just beside the gym!👍🏼 …,,ChZDSUhNMG9nS0VJQ0FnSUROd2IyT0NnEAE
Anytime Fitness Stevens,Sky Lam,5,"Clean gym, friendly and helpful staff!! New machines and conducive environment to train in as well!",,ChdDSUhNMG9nS0VJQ0FnSUNOdlkzWmpBRRAB
Anytime Fitness Stevens,Ian Tan,5,I love Vergil and Venturi,,ChZDSUhNMG9nS0VPclJzcWVGeHRTQ0tnEAE
Anytime Fitness Stevens,Jeremiah Sullivan,5,I love this gym so much. Should add more machines and take over that glasses shop on the side!,,ChdDSUhNMG9nS0VJQ0FnSUNONGJ2SHVBRRAB
Anytime Fitness Stevens,KO,3,Its cheap and walking distance but its small messy crowded and sometimes not very clean,,ChdDSUhNMG9nS0VJQ0FnSURuX3ZXT3p3RRAB
Anytime Fitness Stevens,David Tan,5,Ven is a 10/10 staff. Would highly recommend dropping by. Amazing atmosphere.,,ChZDSUhNMG9nS0VJQ0FnSUROMGRLMlNnEAE
Anytime Fitness Stevens,Suhail Ahmed,5,"One of the finest anytime fitness center in SG, best machinery and great vibes",,ChdDSUhNMG9nS0VJQ0FnSUN4eV9TMm93RRAB
Anytime Fitness Stevens,Anan,4,"Great gym for a quickie. If u coming with groups, this place might not be a suitable gym to go",,ChdDSUhNMG9nS0VJQ0FnSUQ4c3UzWTF3RRAB
Anytime Fitness Stevens,ganengseng official,5,best anytime fitness in singapore by far with a homely vibe,,ChZDSUhNMG9nS0VJQ0FnSUNObTY2S0dBEAE
Anytime Fitness Stevens,Harsh Saxena,4,Great place and nice owners - gym is brand new,,ChZDSUhNMG9nS0VJQ0FnSUQwbE8zbGZBEAE
Anytime Fitness Stevens,Saurav Das,4,It has all the important equipment.,,ChZDSUhNMG9nS0VJQ0FnSURQeVBhNVhnEAE
Anytime Fitness Stevens,Chris Ng,5,Cozy yet well-equipped. A place where the manager actually remembers faces.,,ChdDSUhNMG9nS0VJQ0FnSUNlMGUzR3R3RRAB
Anytime Fitness Stevens,Edica Razak,4,Small but clean & great environment to work out.,,ChZDSUhNMG9nS0VJQ0FnSURpNnBDV1BBEAE
Anytime Fitness Stevens,Miguel Francisco Niziolek,5,Friendly staff and great place to work out!,,ChdDSUhNMG9nS0VJQ0FnSUNZLWFTTG1RRRAB
Anytime Fitness Stevens,Andrew Ng,3,There is no toilet for relieving myself :(,,ChdDSUhNMG9nS0VJQ0FnSUQ2eXFpdnFRRRAB
Anytime Fitness Stevens,Padarn Wilson,5,"Clean, well equiped. What else?",,ChZDSUhNMG9nS0VJQ0FnSURpM0pyaWFnEAE
Anytime Fitness Stevens,phong nguyễn,5,Ok,,ChZDSUhNMG9nS0VJQ0FnSUNXNHJ6eUVBEAE
Anytime Fitness Stevens,Chaik Ming Tham,3,Good,,ChZDSUhNMG9nS0VJQ0FnSUNPaC1mMWZREAE
Anytime Fitness Stevens,Selah V,5,Better than Bukit Timah central imo,,ChdDSUhNMG9nS0VJQ0FnSURyLUtpazVRRRAB
Anytime Fitness Stevens,Abdur Rahman,5,,,Ci9DQUlRQUNvZENodHljRjlvT25OT1JrSkhTMkY1VnpCSlVuUkNWM3BLVkRJMVkzYxAB
Anytime Fitness Stevens,KS T,5,,,ChZDSUhNMG9nS0VJQ0FnSUM4bnV1MklREAE
Anytime Fitness Stevens,Matthew Siew,1,,,ChdDSUhNMG9nS0VJQ0FnTUNveGRUWTdBRRAB
Anytime Fitness Stevens,Ruth Pang,4,,,ChZDSUhNMG9nS0VJQ0FnTUN3XzUtSVl3EAE
Anytime Fitness Stevens,Dodi Al Fayed,5,,,ChZDSUhNMG9nS0VJQ0FnSURubnZ1cFdBEAE
Anytime Fitness Stevens,Vijay Ragavan,5,,,ChZDSUhNMG9nS0VJQ0FnSUN6M0xMcEVREAE
Anytime Fitness Stevens,Liko Kheh,5,,,ChZDSUhNMG9nS0VJQ0FnSURqdWNfSkZnEAE
