outlet,author,rating,text,date_posted,review_id
Anytime Fitness Tampines,Zeke,5,Cool place! Fatihi gave a good overview of the place for me and another staff (forgot to catch her name) gave me a real warm tour of the location! didn't have time to try out much due to general anxiety from crowd but looks p decently well equipped!,,Ci9DQUlRQUNvZENodHljRjlvT2s1UVNYZDRUVzlMWkUwd2VISkpZVlZVTWtRNFdtYxAB
Anytime Fitness Tampines,Jayvinn Wong,5,"Awesome gym! Spacious and clean, with a wide range of weight stack and plate loaded machines. Wished I was an Eastie so I can frequent this gym more :"")

Notable equipment:
- 2 x half racks
- 3 x full racks with attached platforms
- Plate loaded leg press
- Glute drive machine
- V squat machine
- T bar row
- Lateral raise machine
- Many pulldown machines (front pulldown, isolateral wide pulldown, regular pulldown, diverging lat pulldown)
- Many interesting handle variations for the cables",,Ci9DQUlRQUNvZENodHljRjlvT2xwSE9FSkNhVmRaTm1Jd2NITkJSa1p0WjBSdVEwRRAB
Anytime Fitness Tampines,Hasif Harun,5,"Finally got my first gym membership. It was a great experience with the staff that signed me up, Shahanah. It was fast, smooth and professional. Everything was explained to me directly and clearly, would highly recommend AF TAMPINES.",,Ci9DQUlRQUNvZENodHljRjlvT2pOSU5tcHFWblJJYW5aRmJFODJPRGcwZGpGSVJVRRAB
Anytime Fitness Tampines,Justin,5,"the one true AF deserving of the tampines title. from L1 it looks really unassuming and seeing that it has been opened for quite awhile, one would think that the equipment would be rusty and some equipment faulty. however, stepping into this AF totally blew my mind, 3 rogue power bars + 3 deadlift platforms + 2 squat racks + 1 smith machine impressed me and made me justify the reason why I pay for premium fee for AF. i would rate the gym 4.5/5 stars.

the 0.5 stars room for improvement would be ensure that all equipments are working (only the stairmaster was not working when i visited). an important point to note would be that members are not allowed take off their shirts in the locker area as it is a shared space and sadly there would be no place to take your post-workout pump :( the group classes area is also criminally underutilized even though the mirrors there would be perfect for practicing bodybuilding poses! and this point can be subjectively viewed as either a positive or negative",,Ci9DQUlRQUNvZENodHljRjlvT2xReWRtVnBhMEZ3VlVjMFNtNHdSbEJRVEd4RVMyYxAB
Anytime Fitness Tampines,Yong Ji Tan,5,"Staff is friendly, knowledgeable and cheerful. Overall gym is very clean. Equipment is well maintained. Thumbs up.",,Ci9DQUlRQUNvZENodHljRjlvT201SlpGVXhPVkEzU2tkck1IaDNOR2MwU2xaRFRtYxAB
Anytime Fitness Tampines,Meh Meh,5,"Being a first time gym user, Alva brought me around the gym for a tour. She was very patient helping me with some questions about the machines as I am a total beginner. She was very patient with my questions about yoga classes and HIIT lessons. She also helped me with the sign up process and I had queries in mind such as towels, lockers. She also let me know the difference between key fob and digital pass. She explained the rebate system and how the points system works.",,Ci9DQUlRQUNvZENodHljRjlvT2xVM2VWb3ROVXRqVlU5UWIyd3pjRXBGV0ZJMmJHYxAB
Anytime Fitness Tampines,Nicholas ho Shijie,5,"The atmosphere is welcoming and motivating, and the staff are friendly and helpful. Trainers are knowledgeable and always available to offer support.",,Ci9DQUlRQUNvZENodHljRjlvT25wRmEwdGlTRTAwVERkSU1XeGhXVEo2ZVhWa2RWRRAB
Anytime Fitness Tampines,Sukvin Sandhu,5,"Alva was super helpful in signing me up at Anytime Fitness. She made the whole process smooth, explained everything clearly, and was really friendly throughout. Great experience – thanks, Alva!",,Ci9DQUlRQUNvZENodHljRjlvT2s1bk5GSnlZVkF5T0dzelQyMWFSRmRQU21oWUxWRRAB
Anytime Fitness Tampines,JayJay55,3,Good machines but the lights are blinding. After working out for a while you start to feel dizzy. You kinda need a hat while working out as when you are doing exercises while looking up it’s unbearable. Maybe less clear lights would be better and for the gym aesthetics too,,Ci9DQUlRQUNvZENodHljRjlvT2pRdFZtMUJTVUZWTmtJMkxVUmplbmt5Y21wblZFRRAB
Anytime Fitness Tampines,jolize,5,Very transparent and friendly manager that settled the membership with me smoothly :)look forward to gymming here,,ChZDSUhNMG9nS0VNLXdocWllNUlyN1N3EAE
Anytime Fitness Tampines,Jun Rui,5,Came after a tiring work day today and i was greeted with a kind smile from the staff at the desk which i felt was a really nice gesture as you don't see that often in other af gyms in sg. The gym is extremely spacious and have lots of equipments too! Definitely got in a great workout.,,ChdDSUhNMG9nS0VKN1B6NWZvOTZlbDBnRRAB
Anytime Fitness Tampines,Mustafa Mohd,5,The hidden gym is located on the 3rd floor and the amount of space equipment will surprise you. The staff here are friendly and knowledgeable making your experience enjoyable.,,Ci9DQUlRQUNvZENodHljRjlvT2pCRVRHMU1iVXRxY0ZweWFIUkZXR3R3Ums0MVduYxAB
Anytime Fitness Tampines,Gary Ang,5,"Finding the gym for first timing can be a little bit challenging, due to the secret lift by the side 😂 But the gym itself is massive! It has everything I need for working out, T bar rows are not in every gym and they had it, and also hip thrust. Two of my favorites equipment there. Staff there are friendly and helpful whenever you need something.",,ChdDSUhNMG9nS0VJQ0FnSURMaV9Qb3hRRRAB
Anytime Fitness Tampines,megan tang,5,Ithnin is the best staff ever he puts his members above himself 🥰🥰🥰🥰 if u want a good gym environment this is perfect!!!!! …,,Ci9DQUlRQUNvZENodHljRjlvT2xSbk1saGxlR1JoWWpWaWQyVjJjblpqWTBWNmJuYxAB
Anytime Fitness Tampines,Leong LH,4,"Very spacious and clean gym. Plenty of squat racks and platforms. Not too crowded during weekdays morning. The only problem I have is the chalk usage. This outlet doesn’t allow chalk, even liquid chalk? So not recommended for those who need to deadlift heavy without using straps. Otherwise this is a very nice gym to workout.",,ChZDSUhNMG9nS0VJQ0FnSUNqaUp1S1NnEAE
Anytime Fitness Tampines,Clayton W,5,Proper explanation of the July promo by the team. Space was clean and spacious too. Team members are friendly as well.,,Ci9DQUlRQUNvZENodHljRjlvT2s5Rk0ySndhRW90VFc5TloyaHdNbHB3Ym5oMU5YYxAB
Anytime Fitness Tampines,nur fitria,5,Came down to chat with Fatihi for my interest in signing up for a gym membership. I am excited to start my gym journey with anytime fitness. Place is very clean with friendly staff!,,ChdDSUhNMG9nS0VJQ0FnTUNZcVpySmdRRRAB
