outlet,author,rating,text,date_posted,review_id
Anytime Fitness Tanjong Pagar,jiayi,5,"I attended the HIIT class session with Indra at AF International Plaza and had such a great experience! The workout was well-structured, energetic, and challenging in the best way. The trainer was very motivating and made sure everyone was engaged, while also providing modifications for different fitness levels.

The atmosphere was positive and welcoming, and the facilities were clean and well-maintained. It’s a great spot to push yourself, burn calories, and leave feeling accomplished. I’ll definitely be coming back for more sessions!",,Ci9DQUlRQUNvZENodHljRjlvT2tSNldUWlViVUZPUjAxTFgwVnFPVVJFVFhkWmIzYxAB
Anytime Fitness Tanjong Pagar,Ally Ong,5,"I’ve been visiting this gym for a while now, and it’s easily become my happy place. The staff are warm and welcoming, the space is spotless, and the layout is well organized, weights are always perfectly reracked like some behind-the-scenes magic is happening. The equipment is well-maintained it’s spoiled me for other gyms.

Being right in the heart of the CBD, it does get busy during peak hours - think “after-work drinks” level of packed. If that’s not your scene, just tweak your workout time and you’ll have a much smoother experience. The gym is in an older building, which makes its location perfect but also means a little consideration goes a long way: don’t slam the weights (nobody needs a surprise earthquake drill), and be ready to share machines when it’s busy.

I train with Mansor, and honestly, it’s one of the best decisions I’ve ever made. He really knows his stuff and has a sharp eye for safety. Mansor has this rare mix of pushing you to your limits while keeping you grounded, so you’re not just building a Greek god physique, but also the mental toughness to take on the world (or at least your corporate inbox). He might look a little intimidating at first because he enforces the rules (rerack your weights, don’t slam, don’t do anything dangerous), but really, he’s one of the friendliest people you’ll meet as long as you’re not the person trying to turn the gym into a demolition site.

And if you’re curious, check out the PT packages. They’re not just for lifting, you can use them for stretching sessions, or even kickboxing if you need to release some steam after a rough day at the office.

All in all, this gym is a gem. Show up, be respectful, rerack your weights, and don’t be that person, don’t hog machine. If everyone does their part, we’ll all keep enjoying this convenient, vibrant spot in the CBD, a place where you can laugh, sweat, and recharge, together.",,Ci9DQUlRQUNvZENodHljRjlvT2psNWFrcG5TVVZsUVRsNVlXSlFjME50ZVhSeFZGRRAB
Anytime Fitness Tanjong Pagar,Ken Jack,1,"The gym itself is fine, but the personal trainers tend to have a very bad attitude, especially the one with glasses. I have had an extremely unpleasant experience with the same guy two times already. He has been acting like he owns the place and taken over a machine I was using. The way he talked to me was so aggressive that I felt uncomfortable being around. I hope in some way they will have the trainer learn how to speak with the gym users in nicer ways (he seems to be a nice guy towards his “customers”) but if the situation persists, I guess I will have to report it to the HQ of Anytime Fitness.",,Ci9DQUlRQUNvZENodHljRjlvT25GQ1ZXUXRNazFCWmtoTGVXeHlkMlpaWjNkM1FuYxAB
Anytime Fitness Tanjong Pagar,Jackson Greenwood,1,"Hands down the worst gym ever. I decided to give this gym a try as my current gym was renovating. From the moment I step inside the gym, I started getting sized up by the male trainers, they were predominantly of the malay ethnicity. My colleagues that uses this gym sometimes also said the trainers are quite unprofessional and always chat up their lady friends should they join them in the gym. The gym have a smell of undried towels near the free weights area too. Would give 0 stars if possible. Worst gym In the world!",,Ci9DQUlRQUNvZENodHljRjlvT2sxbGVWRjZTbVZEUW1kbmMxVmpkelJ4YlVwb2FrRRAB
Anytime Fitness Tanjong Pagar,Hannah Teo,5,"Hands down - my favorite AF outlet ever. The spacing of the equipment is great, as the gym does not try to pack a bunch of equipment into a tight space. But more importantly, vibes are good here - largely in part to the trainers, who are the friendliest folks you'd ever meet!

I recently had a morning workout here - and three of them noticed that I was displaying symptoms of low blood sugar. So they approached to check up on me, gave me some dates from their own pockets, and gave me tips on what I can do the next time this happens.

Beyond this incident, they're always all smiles - and also very willing to help you with your form etc., even if they aren't attached to you as your personal trainer.

So happy to have found this gym :)",,Ci9DQUlRQUNvZENodHljRjlvT2xJeWVucHNUM290WTJGblIxSnViMTkxZFdGaU0xRRAB
Anytime Fitness Tanjong Pagar,Regina T,5,"This is honestly one of my favourite AF outlets! It’s conveniently located, well equipped yet spacious, and very well maintained too.

Above all, the vibes are great! Staff and trainers here are so friendly, which makes it welcoming even if it’s your first time at the gym - so would highly recommend coming here if you’re a little shy!",,Ci9DQUlRQUNvZENodHljRjlvT21aaVVWUkdUMTlRUkdVdGJUWjBRakZPTkdGd1owRRAB
Anytime Fitness Tanjong Pagar,Karin Ng,5,"Spend most of my sessions here, love the location and wide variety of equipments! Trainers and staffs are friendly as well & really love being very comfortable in this gym! Equipments are sufficient and widely spread across. Love the space of the gym too :) Shower and toilet is well maintained and clean too.",,ChZDSUhNMG9nS0VPM2hqYmF1NzRmaFJnEAE
Anytime Fitness Tanjong Pagar,Ryan Wong,5,"There are many good gyms across Singapore, but to find a great gym is always a bonus. Anytime Fitness Tanjong Pagar (located within International Plaza) is an example of a great gym: the spacing between equipment is good, the equipment are all generally well-maintained, the staff and fellow gym goers are polite to each other, and I think manager Azri with his team of Personal Trainers do a good job in creating a positive and inclusive environment where members and first timers feel comfortable and safe training at their own pace.

I personally train with Muhammad and he does a phenomenal job of not just training you physically, but he also takes the time and effort to check on your personal wellbeing as well, such as how your food intake is going, and how your stress levels are. There are many good Personal Trainers out there, but a great one like Muhammad is always hard to find.

5 stars for Anytime Fitness Tanjong Pagar, and definitely 5 stars for PT Muhammad!",,Ci9DQUlRQUNvZENodHljRjlvT25GVE5sY3dZMVJoV0ZaZldYaExaMnhtYkVoSVJYYxAB
Anytime Fitness Tanjong Pagar,Tan Jun Kang,5,"Anytime Fitness International Plaza is an excellent gym that is always clean, well maintained, and welcoming. The environment feels friendly and motivating — trainers and members alike treat each other more like friends than strangers.
I have been training with Mansor, and the experience has been transformative. He has helped me improve my physical fitness significantly, and I’ve also observed the impressive results he has achieved with his other clients. His approach is both professional and encouraging, making every session effective and enjoyable.
Highly recommended for anyone looking for a supportive and well-kept gym in the CBD!",,Ci9DQUlRQUNvZENodHljRjlvT2t4ak16UndTSHBuYkVvMFFUVmtkMkpoWTJwaGFVRRAB
Anytime Fitness Tanjong Pagar,Terry Samuels,1,"A gym with a very “California Fitness” vibe. The instructors seem more interested in engaging with the ladies than providing professional guidance. While sitting near a machine, I overheard an instructor mocking another member to his client — ironically, the person he was mocking was lifting impressively and doing a workout the instructor himself probably couldn’t manage. Not the kind of Anytime Fitness I’d return to, especially when instructors are busy sizing up guys and acting cheeky only with the girls. Don’t do it so obviously, or at least don’t make comments that could be heard by members.",,Ci9DQUlRQUNvZENodHljRjlvT2pKeVV6STJNMWxQU0ZGdlJFOTFNa2RxV1d4ekxVRRAB
