outlet,author,rating,text,date_posted,review_id
Anytime Fitness Tekka Place,Alexander Aaltonen,5,"This has gotta be one of my recent favorite AF branches! It offers a wide range of equipment, the standard ones as well as some rare ones too. The space is not too big, but they've used it efficiently to fit in machines, free weights and dl/squat platforms. So, all around a very functional gym! Also love their showering and changing room facilities, super clean and they provide the essential amenities!

Definitely can recommend this gym and would come back here for sure! 🦾🦿",,Ci9DQUlRQUNvZENodHljRjlvT25WQmRXZzRjVnBqWmxGcFNsSmtRbFF3TVZZd1ZYYxAB
Anytime Fitness Tekka Place,fiko febriyan,5,"An excellent gym with well-maintained facilities, including clean equipment and restrooms. The quality of the equipment is outstanding, and Lucas, together with his amazing team, goes the extra mile by thoughtfully providing quick pre-workout snacks. Truly a great experience overall!",,Ci9DQUlRQUNvZENodHljRjlvT2toMGFXcHNTWGR3Y0ZCUFRGVk9OQzB4V201c1VuYxAB
Anytime Fitness Tekka Place,JoJo Lee,5,"Nice and clean place with advanced equipment and machines. The staff are super friendly and welcoming, which makes training here really enjoyable. I also love that they have a bread station where you can recharge before or after your workout, such a thoughtful touch! Highly recommend this place 👍 …",,Ci9DQUlRQUNvZENodHljRjlvT2taeFFuRlpOVE5QZFRNMFpqaE9UR2RYYVhBMk0zYxAB
Anytime Fitness Tekka Place,Haroh Garcia,5,"I recently relocated my home gym to this gym, despite living quite far from it. This gym is new, clean, and equipped with the essential machines for a comprehensive daily workout routine. Unlike the nearby AF branches, it doesn’t get too overcrowded. Additionally, the gym offers complimentary snacks like bread with spreads, which I truly appreciate. One of the standout features is the free Evolt body composition machine, which is available to use anytime, unlike most AF branches where they charge for each scan. Furthermore, this branch boasts the best staff! They are professional and friendly, unlike many other AF branches where the staff consists mainly of part-time staff. I highly recommend this gym to many of my friends, and it never disappoints!",,Ci9DQUlRQUNvZENodHljRjlvT2t4TlVWSlhiV3R6TlhodVdXMTVTVk5sVUhOcGIxRRAB
Anytime Fitness Tekka Place,Q SY,5,Very well equipped gym in Tekka. Very friendly environment and staff - they definitely treat their members well with all the welfare such as the bread station too. Recommended if you're in the vicinity!,,Ci9DQUlRQUNvZENodHljRjlvT210NVVWZEhjM0JYWkdGd1UxUnJhVmxyUW1admVsRRAB
Anytime Fitness Tekka Place,Yunus Hashim,5,"Anytime fitness Tekka is Gym at the heart of central Singapore @ Bugis. Ran by Dewi, Elly, Lucas and Ace! Well maintained equipments, nice vibes, accommodating and welcoming staff. Ace is ever present and always available for tutelage! Lucas, Dewi and Elly manages the gym like no other! Best decision I’ve made to be a member here.",,Ci9DQUlRQUNvZENodHljRjlvT2pSWlIxZExjbmw0U0VWVmExSmpORkpLYzBoNU5VRRAB
Anytime Fitness Tekka Place,Kenneth,5,"Staffs here, is very friendly and polite. Thank you Dewi and Ace! The gym is very clean. The equipment is also new. Come over and try AF Tekka Place! Great place to train.",,Ci9DQUlRQUNvZENodHljRjlvT205blFsZzJMWE0xYjJkdFprdG9UVXhEWDAxaFNXYxAB
Anytime Fitness Tekka Place,Muhammad Zulfadly Bin Abdul Manap,5,"One of the newest outlets in Singapore. The gym has plenty of equipment variations for all muscle groups. There's 3 squat racks + 2 deadlift platforms but it's a bit cramped. The same goes for the dumbbell area. They provided sweets and snacks (bread station) for pre-, intra-, and post-workout replenishment. The shower/changing area is clean and they even have hair dryers and toiletries. The only downside is that i don't live or work nearby but will definitely come here on weekends/Friday evenings.",,ChZDSUhNMG9nS0VNU2wtX0dBOTQ2OFZBEAE
Anytime Fitness Tekka Place,Kay,5,"Went to Tekka Place AF outlet today. The gym is quite spacious, very clean and tidy, and very well maintained.
— Easily accessible via Little India MRT, Rochor MRT and also walkable from Jalan Besar MRT
— Gym has good amount of dedicated squats and bench press racks, dedicated deadlift platform, various cardio machines and new gym equipment.
Some machines are very new and not common in other outlets.
— Male washroom is clean, provides shampoo, body wash and other amenities. Also, can you believe they provide free bread peanut butter and jam!
— Staff, (Lucas) is suuuuuuper friendly, knowledgeable and approachable ❤️, and helps you with doubts and techniques.",,Ci9DQUlRQUNvZENodHljRjlvT2xkU2QxcENUVEJ2YzNWTldHNXhla1ZzZHpKbU0xRRAB
Anytime Fitness Tekka Place,Lim Yong Quan,5,Love the thoughtful touch at this gym. The free Bread Station is perfect for a quick post-workout bite. Shows they care about members beyond just fitness. Nice variety of spreads too. Thank you!! 😊 …,,ChdDSUhNMG9nS0VQN0Q5cnF3M2FPYzFnRRAB
Anytime Fitness Tekka Place,Bella B,5,"I recently signed up for a membership at Anytime Fitness Tekka Place, and I must say, the entire experience has been incredible. From the moment I walked in, Dewi and Elly were so welcoming and helpful. They patiently walked me through the gym, answered all my questions, and genuinely motivated me to sign up on the spot. Their kindness and professionalism made the process seamless and enjoyable.
Lucas and Ace also deserve special mention. As a beginner in the gym, I was a little overwhelmed, but both Lucas and Ace were fantastic in providing me with invaluable knowledge on training and diet. They took the time to explain everything clearly and gave me the confidence I needed to get started. They’ve been incredibly supportive and encouraging, offering guidance whenever I needed it. Overall, I’m absolutely thrilled with the service and support I’ve received from the team. Joining Anytime Fitness Tekka Place has been a great decision, and I’m looking forward to my fitness journey with such a dedicated and knowledgeable team behind me! Highly recommend!",,ChZDSUhNMG9nS0VJQ0FnTURRNlpxd1dnEAE
Anytime Fitness Tekka Place,Sasi Priya,5,"Anytime Fitness Tekka Place is fantastic! Clean, well-equipped, and the staff are incredibly friendly and helpful. 24/7 access is a huge plus, and the atmosphere is motivating. Highly recommend for anyone looking for a convenient and effective workout space!",,ChZDSUhNMG9nS0VJQ0FnTUNvZ2Fib0Z3EAE
Anytime Fitness Tekka Place,Tako Boy,5,"I always look forward to come to gym as the people here are super friendly ! I even got to know the team members one by one ! Lucas was super welcoming, rayn ensured a smooth registration, Dewi was always checking if I’m hungry, and refilled the free bread station and elly helped with my check in when I left my keys at home !
Love this gym Xoxo!",,Ci9DQUlRQUNvZENodHljRjlvT2xGU2MwNUVYMFkyYTNGMmJGcGljMFJSVm1neE1GRRAB
Anytime Fitness Tekka Place,JY Tan,5,"I have visited several AF outlets in Singapore and I would say that tekka place AF has been the best so far. The service and smiles provided by Lucas and team are such a welcoming change from the other outlets. They also react promptly to request for assistance or feedback given. The outlet is also one of the newest, hence all the equipment are new, facilities are great. I like that there are separate toilets for male and female, with shower facilities too.

They provide bananas and bread if you need a quick energy fix.

Highly recommend!",,Ci9DQUlRQUNvZENodHljRjlvT25Cak9WVktSa2R6WTNZeVNUQkVlVU5ITkhoalFWRRAB
