outlet,author,rating,text,date_posted,review_id
Anytime Fitness The Concourse,Javier Alvira,5,"I recently switched from Virgin Active to Anytime Fitness (AF), and The Concourse location has really impressed me — especially considering I’m paying less than half now. While the space is compact, it’s spotless, well-equipped, and smartly laid out (doesn’t feel crowded, and there are windows all over), and it has everything from a squat rack and Smith machine to free weights, functional training machines, cardio gear and a spectacular new cables station which can accommodate up to 8 simultaneous trainers.

Beyond AF’s ultimate convenience proposition and this center’s effective arrangement, what has stood out most is the support from Hakim, the club manager. A few weeks into my training, after noticing I’d become a regular, he took the initiative to explain how to use the body composition monitor — something no one had ever walked me through before. He also personally helped resolve a billing issue I encountered during my membership transfer, handling it quickly and professionally.

By now, I’ve visited a few AF locations, and while this one is on the smaller side, it easily stands out for its cleanliness, thoughtful setup, and truly supportive management. A great example of how a smaller gym can still offer a high-quality experience.",,Ci9DQUlRQUNvZENodHljRjlvT2paU1R6RjZZVk5KWjFkVlpHZDVaRFJvTFZONmVXYxAB
Anytime Fitness The Concourse,Muhammad Zulfadly Bin Abdul Manap,4,"The pros:
- Quiet, especially on weekends. Good alternative to Bugis bracing.
- For a small location, decent equipment - cable, dumbbells, pin-loaded machines, 1 squat rack, smith machine and good varieties of cardio machines.
- convenient location , near haji lane, Kampong glam,  Golden Mile tower.

The cons:
- small changing room, only 1 shower stall. For toilets, you have to use the buildings public toilet.
- Can get stuffy in certain areas of the gym (mostly fans).
- not suitable for powerlifters like me - only 1 squat rack and no deadlift platform.
- no hip trust machine

Overall, it's a good branch if you're working nearby, or not fussy.",,Ci9DQUlRQUNvZENodHljRjlvT2xJNU5sQmtiRkJIWTFVMVpVNWhMUzEzVEhGVlMyYxAB
Anytime Fitness The Concourse,Adam Stephen,4,"Update May 2025: Got a new addition cable machine, thank you!!

On the positive side it's definitely a clean and well maintained gym.

Downside: After 10PM, no aircon. Only fan. It does get hot and humid 😭",,ChZDSUhNMG9nS0VJQ0FnTUNRdmR6aEF3EAE
Anytime Fitness The Concourse,I_Just_a Aiskajang,1,"Every time I come to this gym, there’s a strong smell of urine, and I never see the staff doing anything to address it. I really hope this can be improved. If the issue is resolved, I’d be happy to come back and update my rating.",,Ci9DQUlRQUNvZENodHljRjlvT21SVE16TXRjVWRDUzBOQ1FXbHJiRk54ZGxkVGJFRRAB
Anytime Fitness The Concourse,vsop schofield,5,"We are so happy this open up in Concourse!!
New equipments and cleaned ! Staff Hakim is very helpful and always ready to answer questions for us ! Usually very quite in the morning ! 👍
Thursday and Friday is snacks day which is a nice to have !
Thank you Hakim ! Looking forward to coming back end of August",,Ci9DQUlRQUNvZENodHljRjlvT2pSaFJEUnBNak14Um5GdGJIaENORlZyVVRsQldtYxAB
Anytime Fitness The Concourse,Maria Quek,5,"It's near the train station and where I work. Super convenient for me. So fresh and so clean, brand new equipments. I hope management upkeeps it. Then again memebers also need to care for the space and equipments provided. With the new additions of cable machines, I hope it will boost business for this branch.",,ChZDSUhNMG9nS0VKeXk4YzNXOFpPSUtBEAE
Anytime Fitness The Concourse,David Hudson,2,"Probably one of the worst AF fitness I've been to in the world.

Aircon didn't work well, smelled, both male toilet cubicles ""out of order"", and very limited selection of equipment. Go to AF Bugis.",,Ci9DQUlRQUNvZENodHljRjlvT21KdVUxWnpiRUpLZFhwbVFWOU9ZbGR0WkRKR1ZVRRAB
Anytime Fitness The Concourse,Ziq Jantan,2,At night the gym is very hot and humid. The smell from the toilet is strong. Need to really buck up and improve the standard,,Ci9DQUlRQUNvZENodHljRjlvT21oUE1sRnJUVnBwUTJzNFdrOU5VMU5zVUdsWWQzYxAB
Anytime Fitness The Concourse,Isaac Yeo,2,Fairly clean and quiet for exercising. Quite small compared to most other AF outlets. Biggest bummer is the lack of any cable machine whatsoever. It's quite a shocker for Anytime.,,ChdDSUhNMG9nS0VJQ0FnTUNBd2ZpZ3N3RRAB
Anytime Fitness The Concourse,Ken Ong,1,Very small gym. Think smaller than 3 room hdb flat. Gym doesn’t have cables and lacking many gym equipments,,ChZDSUhNMG9nS0VJQ0FnTUNncnV5VldREAE
Anytime Fitness The Concourse,sam lobo,5,"Perfect gym - not too busy, convenient, nice team, has everything",,ChdDSUhNMG9nS0VPcUdxTmI4eGZ5UXpnRRAB
Anytime Fitness The Concourse,M C,1,Staff is not the most welcoming or friendliest.,,Ci9DQUlRQUNvZENodHljRjlvT2tsNGRsRlphakpIVFhRNWREZE1Semh2TUhOYVNWRRAB
Anytime Fitness The Concourse,Andrew Chew,1,"Probably one of the smallest AF I’ve been to - only 1 squat rack available.

Head to the Bugis one stead.",,ChdDSUhNMG9nS0VJQ0FnSURfM2FxVDJ3RRAB
Anytime Fitness The Concourse,AT W,5,Hakim is very professional and helpful when it comes to clarifying our doubts,,ChdDSUhNMG9nS0VOMkR0WTdWX2EyLXZBRRAB
Anytime Fitness The Concourse,Xiaohong Zhang,5,"Living nearby, 3mins to walk to it! Very convenient for me.",,ChdDSUhNMG9nS0VJQ0FnTUNnN3M2YzRRRRAB
Anytime Fitness The Concourse,T L,1,disappointing as there’s no cable machine,,ChdDSUhNMG9nS0VJQ0FnTUNncnMzYW1BRRAB
Anytime Fitness The Concourse,Hafiz Mohd,1,The toilet smelly,,Ci9DQUlRQUNvZENodHljRjlvT25sTExUSmtiVnBSV1dKeGJGUk9OVzVZUlVFdFdtYxAB
Anytime Fitness The Concourse,TK moto,5,"Used to be a minimal equipment. However, recently has improved a lot by adding more machines. Staffs are really nice, always lovely.",,Ci9DQUlRQUNvZENodHljRjlvT2xRelRYSlJkbk5wYVZWNWFUWllWRWh1WmswM00wRRAB
Anytime Fitness The Concourse,Jasen Waffles,5,cozy and friendly staff! sarah always makes our visit feel warm and welcome!,,Ci9DQUlRQUNvZENodHljRjlvT210clR6WlNjV2R5U0ZJek5YRkpWR3R5U1VrMU1tYxAB
Anytime Fitness The Concourse,Melvin Lee,5,great place to workout!! and very friendly staff named Sarah that never misses to greet us!!,,Ci9DQUlRQUNvZENodHljRjlvT25sbldUWndXbVpOWlhCV1pXWmlTVmxhV21SSlMwRRAB
Anytime Fitness The Concourse,Jestin Galla,4,"Great spot close to my workplace — super convenient and time-saving.
Decent range of gym equipment, though it’d be even better with a dedicated deadlift platform.
And shout-out to Sarah — always greets with a warm, welcoming smile every time I enter or leave. Makes the place feel friendly!",,Ci9DQUlRQUNvZENodHljRjlvT25wRk5XRm5RVkZ1YUhVeE1rTTROa2xPY2xVNU9IYxAB
Anytime Fitness The Concourse,Irsyad Irsyad,5,"Just signed up for a membership after visiting this outlet. Was attended by Sarah and she explained the terms and conditions clearly and very friendly.

The outlet may not be the biggest but i appreciate how tidy the machines are placed and each machine has a sanitiser .The gym is also very neat and well maintained.

I highly recommend this outlet and I look forward to my next workout there!",,Ci9DQUlRQUNvZENodHljRjlvT2pjeU1uVlRibVp1VlhGWWN6aEdXbGxDWDBGemFHYxAB
Anytime Fitness The Concourse,Juraimi Roslan,5,,,Ci9DQUlRQUNvZENodHljRjlvT2tKT2EyeEpRV0ZaUjFWNWVGSnZaVXRCZVVacE5FRRAB
