outlet,author,rating,text,date_posted,review_id
Anytime Fitness Yew Tee Community Club,Jairaj Jeyabal,5,"Newly renovated community gym. Has everything to cater to everyone, beginners to class enthusiasts to advanced lifters. Easy access from the MRT & plenty of food options nearby",,ChdDSUhNMG9nS0VJQ0FnSUMzd3QtUGt3RRAB
Anytime Fitness Yew Tee Community Club,Windy Returco Lee,5,"marina is a very polite and nice lady who keeps the gym clean , spotless and tidy. it gives me more motivation to come to the gym as it is a very well maintained and clean place to workout. very amazing.",,Ci9DQUlRQUNvZENodHljRjlvT210cVRsVldiMVZwWDNoMGFUSXhibE5sTUd0S1VVRRAB
Anytime Fitness Yew Tee Community Club,Joshua Ong,1,"Beware of absurd credit card fees if your payment fails. Was charged $15.26 due to a failed payment on my card because it was expired.

1. Anytime Fitness & Ezypay (their merchant processor) stores the expiry date of cards on file - Even so they still attempt to bill customers KNOWLY that the card is expired so they can earn the money on the “failed payment fee”. I spoke to the Ezypay staff and they claim “they won’t know the card is expired until they try to bill the card.” Which is some BS reason. They HAVE the expiry date of card on file and they can easily setup email reminders for customers to update their payment method. Both AF & EzyPay have the CC expiry date on file and don’t bother to have automated emails to remind members to update the CC on file.

2. They claim is our responsibility to ensure the payment method is valid. Who in the right mind can recall all the cards and expiry dates? Do you recall the expiry date of the last item you bought from the grocery store? Obviously no.

3. I’ve been a paying member of AF for over 3 years. And they don’t give a damn and refuse to waive the failed payment fee which they knowingly charge. Beware of their unethical practices. Feel free to file a complaint with CASE..",,Ci9DQUlRQUNvZENodHljRjlvT2tOR2VrVkhibXcyVGtoSU5GRmhWVjlYZDFwbVZrRRAB
Anytime Fitness Yew Tee Community Club,Cheryl T,5,"Yew tee AF gym may be small, but it has all the necessary equipment for my workouts (Do hope there are more equipments variety though). It's clean, and the machines are well-maintained, although the air conditioning could use regular servicing.

The manager and staff are incredibly friendly, always greeting members with a smile and engaging in conversation, which creates a welcoming, home-like atmosphere. They're also very helpful, offering fitness advice and demonstrating how to use unfamiliar equipment. This support has made my gym experience much more enjoyable and has given me the confidence to try new exercises.

The other gym-goers are just as friendly, often helping me improve my form, teaching new exercises, and even training with me. This sense of community makes the gym experience fun, and I always look forward to going 😚.",,ChdDSUhNMG9nS0VJQ0FnSUNIenFlOWx3RRAB
Anytime Fitness Yew Tee Community Club,Yen Toh,1,"Visited anytime fitness a year ago. Equipment and weights are fairly enough. Just visited the gym again last week. Utterly disappointed. Weight all over the place. Missing free weight not replaced. Poorly arranged equipment station
Looks as if there is no manager running that gym.
I lived in Melbourne, and I have been with anytime fitness past 3 years for only one reason... that I can use anytime fitness gym facilities overseas. Having to see this kind of gym standard and maintenance, I am quite sure I will terminate my gym membership definitely after this.",,ChdDSUhNMG9nS0VJQ0FnSUR2c28yNy1nRRAB
Anytime Fitness Yew Tee Community Club,Momo Mazuki,5,It's such a nice place w little snacks !!  Love this gym in the neighbourhood. Enough equipments for training as well!,,ChdDSUhNMG9nS0VJQ0FnSURKNkstVXRnRRAB
Anytime Fitness Yew Tee Community Club,Rohini Ravindran,5,"I've been a member at Anytime Fitness Yew Tee for 3 years, and it's been an amazing fitness journey.

One of the standout features of Yew Tee Anytime Fitness is their exceptional management team. They are attentive, responsive, and truly care about the members' experience. Any concerns or suggestions are swiftly addressed, creating a sense of trust and transparency.

The gym's atmosphere is motivating and inclusive. It's not just a place to work out; it's a place where you can connect with like-minded individuals who share your passion for health and fitness. The camaraderie among members here is something I haven't experienced in other gyms.

Highly recommended!",,ChdDSUhNMG9nS0VJQ0FnSUNabnBYYjZ3RRAB
Anytime Fitness Yew Tee Community Club,Marina Phi,5,"Been gyming at this place for the last 3 years. I wouldn't have given a 5 stars rating if it weren't for the staff. They are the best. They really work hard to keep the members happy. Frankly, most of the equipments sucks. Aircon is faulty for so many bloody months but nothing has been done. So for the staffs! 5 Stars. CLUB 1 STAR.  If there's a 0. I would have given it.",,ChdDSUhNMG9nS0VJQ0FnSUNIaHJXTjV3RRAB
Anytime Fitness Yew Tee Community Club,Fernando C,4,"Decent gym. Its not big, but got all the things I need for a good training variation. Good air circulation as well (for me sometimes it is too cold inside even).

The only nitpick is that I hope there are more adjustable benches in front of the dumbell rack. Usually there's only one, and in some scenario that one bench is taken away somewhere else 🥲",,ChZDSUhNMG9nS0VJQ0FnSUM3cjZiemRBEAE
Anytime Fitness Yew Tee Community Club,Rahul Sajan,5,5 min walk from Yew Tee MRT so it is pretty accessible. I went there at about 3 in the afternoon on a weekday and it wasn’t as crowded compared to other AF nearby. Much smaller compared to other AF but definitely offers more than enough equipment to use. 👍🏼 …,,ChZDSUhNMG9nS0VJQ0FnSUR2X2V2dU1BEAE
Anytime Fitness Yew Tee Community Club,haziq Izz irfan,5,Loved the new renovated gym it’s such a vibe. The members and staff there are very friendly. Equipment wise they have what i need for my workout. Will gym here more often💪🏽 …,,ChZDSUhNMG9nS0VJQ0FnSUMzaFlHOGFnEAE
Anytime Fitness Yew Tee Community Club,Lee Junying,5,The gym is small but efficient. The staff management are quite prompt and understanding. They are always there to offer the best packages available. A very homely gym vibes and always have a great workout whike working out there ! The community here is tight 👍🏽 …,,ChZDSUhNMG9nS0VJQ0FnSUR0OFpyc1NnEAE
Anytime Fitness Yew Tee Community Club,Zulhilmi Sabariman,5,"Cozy gym located near the MRT station. Friendly crowd and staff, who are always welcoming and not intimidating.",,ChdDSUhNMG9nS0VJQ0FnSUMyaHJTQWx3RRAB
Anytime Fitness Yew Tee Community Club,April Lee,5,"Wonderful gym with plenty of great equipments that will help you achieve your fitness goals!!
The staff are real friendly and always have on a bright smile! They always go out of their way to give me advices on how to improve my form/ teaching new exercises 😊
Also, it doesn’t feel uncomfortable working out alone - other members are as helpful and open to conversations",,ChdDSUhNMG9nS0VJQ0FnSUN1OXJhZWpBRRAB
Anytime Fitness Yew Tee Community Club,Muhd Syarif,5,"A nice gym with an amazing crew, really enjoy talking to the staff and going through the classes provided. The community really pushes me to achieve my goals. AF YEW TEE FOREVER!!",,ChZDSUhNMG9nS0VJQ0FnSURfaUlHekVREAE
