outlet,author,rating,text,date_posted,review_id
Anytime Fitness Yishun East,Claudia,5,"Equipment is very clean! Quite surprising for gyms to maintain a high standard of cleanliness. Staff are very friendly and patient in answering memberships queries. Have made a few good friends from the gym. Very wholesome and small community. Quite impressed with the quality and hygiene of the equipment. Even has a toiletry system with pads, deodorant and hair dryer. Thanks Karan, Rayyan, Jin Hao, Aaron, Fiqqo, Norriana, Cliff.",,Ci9DQUlRQUNvZENodHljRjlvT2psMlkzZGlUMmN4V2pkRmNtWkpVMlptU0d4RFJVRRAB
Anytime Fitness Yishun East,Muhammad Zulfadly Bin Abdul Manap,4,"It's a newer branch in Yishun. Smaller compared to Wisteria and North point. There are 2 squat racks, but the rest are lacking. Could use a bit more machines for back and legs. There are no lifting platforms. Cardio machines also lacked variety.",,ChZDSUhNMG9nS0VJX1Z3NWkzZ2JpR0tnEAE
Anytime Fitness Yishun East,K3NDRICKHOO,5,Great place and nice vibe. Equipments are good and new. Staffs are friendly too! Well recommended🙌 …,,Ci9DQUlRQUNvZENodHljRjlvT2tOYVZHMHllR0owTVdneE9IUnROa3B6U1ZCTFFVRRAB
Anytime Fitness Yishun East,Aidil Azman,5,Very happy with the opening of this new AF branch near my place. The facilities are well maintained and neatly arranged. Not to mention the staffs are friendly and helpful too!,,Ci9DQUlRQUNvZENodHljRjlvT2tFeGRYbDVUbmh6ZDAxdFptd3lSM04yTm1kamVHYxAB
Anytime Fitness Yishun East,Amber lim,5,"equipments are brand new as it is a newly open AF in Yishun , PLEASE BRING IN MORE EQUIPMENTS it’s been months just for y’all to add alittle more equipments bring in more man , the vibe and atmosphere here is better 😛😛 check this gym out yeah …",,Ci9DQUlRQUNvZENodHljRjlvT2tRdFdIQk1TV3h4WVZoRWMyUXlhbkIyU25oeWRWRRAB
Anytime Fitness Yishun East,Jas JL,1,"Was happy with the opening of this new AF branch near my place. Clean workout area with  LifeFitness equipments. However as I gathered more information from my friends who signed up at other branch, this branch seems to be the only one charging freezing fee of $8 for each freeze when one go on holiday.",,ChZDSUhNMG9nS0VLUGpnZVBKNDlQTmJ3EAE
Anytime Fitness Yishun East,nazri ha,5,"The gym is spacious and always smells good.All the equipment is the newest version that i have ever experienced.And the staff is super friendly,Would recommend this gym to my friends",,Ci9DQUlRQUNvZENodHljRjlvT2tkNFoyVjBPRUZ3V1RoeFUyUk1lVTlTYUVvd1kzYxAB
Anytime Fitness Yishun East,Ashton Koh,5,"Gym is well maintained and machines are still in good condition, staff here are really friendly too!",,Ci9DQUlRQUNvZENodHljRjlvT2tSUVlqazFPRWg1ZG5GVlRuVTRPVXB1UjBSSVVVRRAB
Anytime Fitness Yishun East,Andrew Loke,5,"Well equipped, clean and properly maintained gym. Staff members are friendly and engaging, worth a visit when you are in the area and also recommended to join to kick-start an active lifestyle.",,ChZDSUhNMG9nS0VKWFM5OExpNk1UNVRnEAE
Anytime Fitness Yishun East,Kameshwari Rajakrishnan,5,"Cosy little neighbourhood gym with friendly staff. Has beginner-friendly HITT session for members too!  great for quick workouts after work😁 If you’re looking to get in shape or just relieve some stress lifting weights or cardio, yishun east is great …",,ChdDSUhNMG9nS0VJQ0FnTUR3ck1DRXdBRRAB
Anytime Fitness Yishun East,Kaldxn,5,"The gym is very well equipped despite it’s small size, having a wide range of equipment! It is well maintained, clean and smells good. Staff were friendly as well, providing a welcoming environment. Highly recommended!",,Ci9DQUlRQUNvZENodHljRjlvT2twclYyTlRMWEZNZEVkUWQxSTVjRmxCV2padFIwRRAB
Anytime Fitness Yishun East,Dafina Ayuni,4,"I truly appreciate the effort your team puts into maintaining a clean and well-equipped gym environment.

I would like to kindly suggest considering the addition of a barbell pad, which would be especially helpful for exercises such as hip thrusts and squats. It would greatly enhance member comfort and support safe lifting practices.

Thank you for taking the time to consider this suggestion, and thank you again for all the work you do for the gym community.",,Ci9DQUlRQUNvZENodHljRjlvT210S2NYQklNalZYYm14emRXOHdXVkl0TUZnMmNXYxAB
Anytime Fitness Yishun East,Rey Nald,5,Friendly staff! Good music! Good environment to workout! If you looking for a solid neighbourhood gym! Say no more! Head over to this gym at Yishun east!,,Ci9DQUlRQUNvZENodHljRjlvT25CeWFXWlVjRlJTTkd0Rk9HNUVTWFowY0ZGMk5XYxAB
Anytime Fitness Yishun East,JiaXian Lee,4,relatively new gym in the hood! happy that the space is clean but maybe can consider bringing more machine or more space for other works,,Ci9DQUlRQUNvZENodHljRjlvT25CWmVURktiV1J2YURjdExVaFJWblpCWVVsUGFGRRAB
Anytime Fitness Yishun East,Arifin Qusyairi,5,"Very functional, has most of the equipments that i need and not too crowded at times which is equivalent to a good workout sesh",,Ci9DQUlRQUNvZENodHljRjlvT2pSSVNYVk9Yekp3VEVRd2EyRTRZMXB1TVdGWFlVRRAB
Anytime Fitness Yishun East,Gregory Lim,5,"Started my gym membership this month. Staff are helpful, gyms not overcrowded and I frequent the treadmills which are pretty well maintained",,Ci9DQUlRQUNvZENodHljRjlvT2tGd1lXbEtjemhvUVVSVmJUTnBURE52TkdKT2NXYxAB
Anytime Fitness Yishun East,Shar.Lene.Saggie.,4,"The gym is clean, comfortable, and well-maintained. I tried the treadmill and pec fly machine — both were in excellent condition and very easy to use. Overall, a great environment with good equipment for working out!",,Ci9DQUlRQUNvZENodHljRjlvT2paT2VYSnhlVXBhU21OcGEyRjZUWE42ZUdOVFZXYxAB
Anytime Fitness Yishun East,Alfian Sahidoen,5,"Nice,clean,friendly staff and good enviroment i just wish it could be bigger coz quite a large of ppl coming to this gym afterall its good for the gym too for getting support….",,Ci9DQUlRQUNvZENodHljRjlvT2poMlVIZG9ZWEZLVm5sMmNVNW9jMEUzTkdVeWRHYxAB
Anytime Fitness Yishun East,Bernadette Ho,5,"pretty good spread of equipments despite the size of the gym! clean space, good music, chill vibes 😮‍💨 …",,Ci9DQUlRQUNvZENodHljRjlvT2swM1VXeHBXVzlYZFhBeU1WOTBOV1ZNVmxBMFYyYxAB
Anytime Fitness Yishun East,Fierce Geek,5,"Nice and quiet gym (don't seem to be crowded). Staff seems to be friendly as well.

Though a little small, but seems to good no of equipment! Hope to visit again",,Ci9DQUlRQUNvZENodHljRjlvT2xOVVZEUlpVMjEwVEhVNVEwNWZkalZXVTBkRlZsRRAB
Anytime Fitness Yishun East,Harrisooo,5,"Anytime Fitness Yishun East may be compact, but it punches way above its size! Super well-equipped with everything you need for a solid workout. It’s clean, convenient, and never too crowded. Perfect spot for no-excuse training! 💪🔥 …",,Ci9DQUlRQUNvZENodHljRjlvT21FMmRtaGthamhwYVZWNFR6SjFaV0pKWkRWbVdXYxAB
Anytime Fitness Yishun East,Hanz Tan,5,"Amazing gym, clean and good facilities, staff very helpful and prompt with hygiene. Will come again",,Ci9DQUlRQUNvZENodHljRjlvT2xkTWFsWnlVMUEzYkhoYVRqZGhjVVpET0VsNFpVRRAB
Anytime Fitness Yishun East,Fatin Fatihah,4,"a cozy, compact outlet that has most of the equipments you would need. could get pretty crowded when there's a lot of people due to lack of empty spaces but machines are strategically placed to allow for walking room throughout the gym.",,Ci9DQUlRQUNvZENodHljRjlvT2s1WVkwSkVka2RwZDJOVWJVMWFlRm93TFdkMFRrRRAB
Anytime Fitness Yishun East,Shahib Sallehudin,5,Place is small and cozy. Equipments are clean and well maintained. Staffs are friendly and approachable. It would be great to have more equipments but understandable due to the lack of space.,,Ci9DQUlRQUNvZENodHljRjlvT2tadFYyMUJhWFE0VFdGalVGUkpYMjVGTVUxVFJWRRAB
Anytime Fitness Yishun East,Ellicia Ang,5,"Great gym—clean facilities, friendly staff, and a good variety of equipment. Never too crowded and always a positive vibe. Highly recommend!",,Ci9DQUlRQUNvZENodHljRjlvT2tsMWEwMW9VbE51VUVWYVpuSkVjamxIZEVRM2VXYxAB
Anytime Fitness Yishun East,Hafiz Zan (Fizzeh),5,"Clean, well-maintained gym with a great scent that makes the space feel fresh. Equipment is in top condition and the staff are friendly. Great place to work out!",,Ci9DQUlRQUNvZENodHljRjlvT2tvelMycEZhbUZmTlVsdFlrSnBka2w1TlZGM2RIYxAB
Anytime Fitness Yishun East,Jainiesha Rai,5,Very happy and comfortable to be in this gym. There were more equipments added recently which I’m very satisfied with as I do not need to travel to another gym to use the equipments. Staff are friendly and will lend a helping hand when needed.,,ChZDSUhNMG9nS0VNdVV5dnoyd2M3dVFBEAE
