outlet,author,rating,text,date_posted
Anytime Fitness ACE The Place CC,Liana A,5,"I’ve been training at AF Woodlands branch for 7 months. I sign up for PT session with Sanjeev for more encouragement and guidance. I am grateful with his support, patience and vast knowledge towards my gym journey. Every detail in conducting the session make me stronger. I am really satisfied with the improvement and results. I’ve been gaining muscles and losing visceral fat. The staffs, members and environment are very friendly and helpful.",Date not found
Anytime Fitness ACE The Place CC,Semin Paul,5,"I absolutely love being part of this Anytime Gym club! The community here is supportive and motivating, making every workout enjoyable. The gym is well-equipped with modern machines and free weights, ensuring all fitness needs are met. The staff are extremely friendly, approachable, and always ready to assist with guidance or encouragement. Their training sessions are well-structured, engaging, and suitable for all levels, which really helps in staying consistent and achieving goals. The positive atmosphere, combined with the professionalism of the trainers, makes this gym stand out. I genuinely feel healthier and more confident since joining. Highly recommended!",Date not found
Anytime Fitness ACE The Place CC,X Y,5,"I’ve had a fantastic experience at this gym. The facilities might be abit old  but they are well-maintained, and equipped with everything you need for a solid workout. The atmosphere is welcoming and motivating, with members and staff always being encouraging. I especially want to highlight the support I received from Sanjeev and Coach Chan, they provided me with very useful information and guidance that helped me improve.",Date not found
Anytime Fitness ACE The Place CC,Ezrayah Wong,4,"Been at this gym for over a year now and it has served me well with it's convenient locations and being opened 24/7. Most of its available equipment are kept pretty clean and serviceable.
The toilet in the gym is always clean but has a strange smell stuck to it.
Staff are friendly and are always ready to help you during manned hours.
Hopefully they upgrade to a bigger space in the same building as the gym is getting more crowded because of the new houses built neaby",Date not found
Anytime Fitness ACE The Place CC,Kai Feng,5,"Very friendly and professional staff . The facility is always clean, well-maintained, and fully equipped with everything I’m need.the trainer sanjee is incredibly knowledgeable,friendly and genuinely invested in helping me to reach my goal. I’m seen progress in my fitness since joining, and I actually look forward to working now. Highly recommend to anyone looking for healthy and shape .",Date not found
Anytime Fitness ACE The Place CC,Thong Kaiyi,5,"Thanks Instagram that recommended Ace The Place Anytime Fitness
Thanks Sanjeev the Coach for good guidance and patience.
Thanks girl that helped me up for giving a good opportunity to let me train up myself at this platform with the equipment.
Every members are working hard to exercise for good health and tone up muscle.
Environment is good. We can just focus our target.",Date not found
Anytime Fitness ACE The Place CC,Fiann Yong,5,"We just visited this gym for the first time, and we had an amazing experience! The coach in charge was extremely patient and meticulous, even conducting some body assessments for us. We’re definitely giving this place a five-star rating!",Date not found
Anytime Fitness ACE The Place CC,Lidyana,1,"I enjoy working out at Ace The Place Anytime Fitness as it’s conveniently located near my home. However, I’ve noticed that some of the machines, like the elliptical trainer, have not been maintained. I reported the issue a few months ago, but unfortunately, 2 days ago when i wanted to use it, the elliptical machine is still not functioning. I hope this feedback reaches the appropriate team and that machine maintenance can be prioritized moving forward.",Date not found
Anytime Fitness ACE The Place CC,Verton Lim,5,"Excellent coach and great team! coach Sanjeev provides clear guidance and motivation, while the staff especially Beu are polite and friendly .  Always a pleasant experience at the gym.",Date not found
Anytime Fitness ACE The Place CC,The Duck Side,5,the place is clean and equipment well maintain. But in future the new condos and new HDB will be ready and more will use ace the place AF. Please make it bigger and better toilet and better and more equipment,Date not found
Anytime Fitness ACE The Place CC,Marcus Su,5,"Coach Vin and coach Sanjeev both did a thorough consultation with me , and properly ask me on my goals and my motivation, and also ask me on the workouts I do to make sure that the workouts I am doing is leading me correctly to my goals and make sure is align. This has really made me to be better open to more workouts .",Date not found
