outlet,author,rating,text,date_posted
Anytime Fitness Northpoint City,Kameshwari Rajakrishnan,3,"i actually like this gym .   while the area is large ( great for mat workouts !)  the cardio machines, cable machines, and free weights are in varying states of much needed maintenance, with rust on some machines, and the flooring at free weights area so well-loved and well-used, there are dips and uneven surfaces.But most equipment remain useable with gloves  and standing near a fan helps with ventilation. friendly suggestion: do ensure your jabs for tetanus are up to date.",Date not found
Anytime Fitness Northpoint City,Desmond,2,"New-ish AF member, and while this Northpoint branch has its location perks, like many have said, the equipment status and ventilation are not as ideal. And while visiting it tonight, noticed the only water dispenser is also out of service. Its a gym and people need their hydration, and even that can also be out of service. And I had to make a detour to get some water from nearby Cheers before starting exercise. Very jialat.",Date not found
Anytime Fitness Northpoint City,Liyana Ali,1,"It has been over three weeks, and no service has been carried out for the treadmills. As of now, five treadmills are still marked as “pending” or “under maintenance.” This long delay is disappointing and inconvenient for members who depend on them for their workouts. Regular maintenance and prompt service should be a basic standard, especially for paying members. Please improve.",Date not found
Anytime Fitness Northpoint City,Shiyam Johar,1,"I have been visiting this gym on weekends over the past 2 years. Although I do not write reviews often, thought of sharing an overall view based on my experience.

Location: extremely good - whether you are using public transportation or driving. I will surely get parking even during the peak hours. Very good foot traffic.

Space: quite a large space and not crowded even during peak times.

Equipment: hardly maintained. There are 3-4  treadmills (out of 8) not working for over 6 months. No efforts made to maintain other equipment too. Old dumbells and machines.

Comfort: recently it seems that there are a big issue with the cooling system. The gym is extremely hot and suffocating. I can see some members fanning themselves or moving close to ceiling fans to cool themselves.

Bathrooms: honestly disgusting to see that the cleaning lady often splashes buckets of water on the floor. Other than that, its ok.

Staff: hardly see any staff in the gym. Whoever is there, remains in the office space. Not proactive or seeking any improvement as I see.

Conclusion: fantastic location but Management must change and a face-lift is urgently required",Date not found
Anytime Fitness Northpoint City,okay can,1,"Been a while since I came here, but I remember when I was waiting outside the main office, the short muscular Chinese staff came up to us all aggressive like he wanted to fight, for no reason. All the staff in addition had 0 customer service capabilities, especially this guy. Does not help that if I remember correctly, I was near some newbies that wanted to sign up.

This, on top of the shitty maintenance (with machines always down despite charging so much money), convinced me to drop my membership with AF.

One more thing to note is the poor use of space. So much space for so many things barely anybody uses, but so limited hugh demand equipment like chest fly machine. If it would be so crowded, why even use AF? ActiveSG Canberra is much cheaper and has a better equipment layout.",Date not found
Anytime Fitness Northpoint City,Chai Chong Jia Chiun,1,Super rusty equipment 🙂‍↕️ pay so much but the machine is not maintained. Super disappointed …,Date not found
Anytime Fitness Northpoint City,V L,1,"A gym been there once and never want to go back. Poorly maintained. For the locker , you need to pay if you want to lock. I have laptop and iPad inside bag, in order to secure it , I have to first change some coins , then the locker didn’t work properly after I put the coin in.. I have to find the staff to get my coin out back and force for 3 times before I can lock it.  I have been to many AF outlet in Singapore. This is the only one who trying to earn you additional money if you need to secure your bag for the training .  What a pity that such a good location wasted on such an outlet.",Date not found
Anytime Fitness Northpoint City,Mr Nice,2,"Honest review, the place is huge and equipment are sufficient enough where you need not wait to do complete sets. Downside for me in deducting 3 stars, the freeweights area is very rundown and the dumbells are rusty. The padding on the floor over there uneven, to the point of hazardous. Please help to maintain the flooring before someone gets hurt. The other areas, crossfit area, machines, cardio machines, freerack barbell area of 4 i believe, are sufficient but its all worned out. The air conditioning is pretty weak. I can actually get drenched at the freeweights area. Management, you need to ensure the basic maintainance is done cause you will lose more members. Great location, poor maintainance.",Date not found
Anytime Fitness Northpoint City,Daron Lee,1,"one of the worst AF. despite being one of the largest branches, it is a waste of space and resources. The gym feels like it hasn't been maintained for 20 years. The management is probably just collecting money from the Yishun crowd while waiting for someone to buy over.",Date not found
Anytime Fitness Northpoint City,Hung Hao,4,"As anytime fitness outlets pop up across Singapore like I’m sure many are curious to compare how different outlets are like- and I have done exactly that in my little review over here.

First of all, excellent facilities- I counted a grand total of 6 squat racks. Half had the powerlifting platform.

There’s also 6/7 treadmills. 2 stair masters, 4 ellipticals. A solid number to fulfill the cardio needs of a large gym like this.

Oh! I was also surprised at the large space provided for changing needs. 6-7 bathrooms (fully equipped with a shower and a toilet and basin). It’s good for those who want to be squeaky clean.

Dumbbells are also aplenty. They use a older kind of dumbbell which is more elongated in shape (rather than being compact)- I can’t explain it but it makes sense trust me. Works just as well but not as lovely as the newer dumbbells.

Esoteric machines like for accessory movements are also available. Tricep push downs/bicep curls machine are here. 😆😆.

Huge space for functional fitness- think kettlebells, pull ups, yada yada. All the space in the world for your farmers carry.",Date not found
