outlet,author,rating,text,date_posted
Anytime Fitness NEX,Wong Yi Hao,1,"Super run down, many members but management not doing bare minimum to keep the place in order. Don’t even provide resistance bands, don’t allow members to eat at the rest area.
Dumbbell area super disheveled, ground is uneven. Feedback more than 2 years ago but gym manager says ‘upper management’ has yet to approve the renovation.
Equipment is always rusty and dusty as well.
Do NOT sign with this gym.",Date not found
Anytime Fitness NEX,Ernz Lim,1,"Super duper crowded during peak hour, everything is being used, machines and equipment are the most rundown I’ve ever seen at any AF gym. The weights are all without numberings and they can’t bare to replace them and resort to using a piece of paper to write the numbers on it.",Date not found
Anytime Fitness NEX,Aileen Vitug,1,"Anytime Fitness NEX has been one of the most disappointing gym experiences I've ever had. Despite the 24/7 access being advertised as a major perk, the facility is often overcrowded, there's a queue in using the equipment during peak hours, making it nearly impossible to get a decent workout. Equipment is frequently out of order, and the machines that do work are either outdated or poorly maintained. Cleanliness is another major issue – sweat-streaked benches, dirty floors  are regular occurrences.

The staff seems indifferent at best; they're hardly ever available for help and, when they are, they’re not very welcoming. I signed up and their staff, Grace, promised my partner 1 free month of membership for referring me. She assured us this even if we didn't ask for it but at the end she denied ever saying it, because we didn't have any proof, so we cannot also trust the staff keeping their word. I regret having signed up in this gym, I don't like being lied to.

Anytime Fitness NEX feels like a rip-off and far from the good experience they claim to provide. I’d recommend looking elsewhere if you’re serious about your fitness. Before making a mistake of signing up on this branch.",Date not found
Anytime Fitness NEX,Roger Thomas Tan,5,Great place at NEX! Spacious with lots of machines to use! Other users are friendly and willing to share machines! Machines are new and in great working conditions! Lots of space to move about and doesn’t have the over crowded feel! Staffs are friendly! Changing is clean and spacious! Easily accessible with ample parking spaces at the mall!,Date not found
Anytime Fitness NEX,Ai B,3,"The only time this isn’t crowded is when you go super early or super late.
Also, lots of people who thinks they own the machine by staying there, chitchatting for a long time. I have moved to another outlet since then",Date not found
Anytime Fitness NEX,Derrick Tay,1,Equipment is old and its time to upgrade. Some handles on the equipment are already super worn off and makes me doubt about the safety performance. Surprise to see such worn out equipment!,Date not found
Anytime Fitness NEX,Alan Ang,1,"Just recently signed up with AF and went to quite a few branches for the past months. By far, the branch at Serangoon Nex is in the worst condition. They even need to use markers to indicate the weight of the dumbells. Extremely overcrowded most peak hours but that's understandable. That being said, it is well equipped for an all round workout. I would suggest the franchisee to make an effort to replace all the dumbells and update some of the equipments. IT DOESN'T COST MUCH! No photos, not worth taking any.",Date not found
Anytime Fitness NEX,Beverly,1,"Rusty broken dumbbells, old faulty machines, uneven flooring. Hasn’t changed for the 3+ years I’ve been signed here. Unbelievable that the gym owner still hasn’t bothered with any renovations!",Date not found
Anytime Fitness NEX,zulfadli rashid,2,"AF NEX used to be a good gym man. Now it's like an old race horse wanting to be put down.

Ive been a member since dunno how many years. The club urgently needs a makeover, new equipment, renovated toilets (with new everything).

These days, seems like management don't care about the facilities. What happened guys? I keep on seeing young ones training with crocs and not reracking their weights and nobody cares!

Maybe im just an old grumpy uncle, but come on lah, refresh this gym! Your long time members deserve it!",Date not found
Anytime Fitness NEX,Dave Cheok,2,"So my home gym was transferred to AF Nex.
The pro about this gym is just location which is inside a mall.
The con's
1.Machine and and environment seems quite outdated as compared to other AF
2. Their staff hours is not accurate, on the sign says 11am but upon messaging them they infd it's 12pm?!
3. If you need to amend your account or anything, they do not accept over phone or email. You need to come down physically. Other AF would accept payments or amendments of your account via phone or email .",Date not found
Anytime Fitness NEX,chris tan,1,"Try coming and experience for yourself - equipments are REALLY old and rundown/rusty. Dumbbell rubbers are torn, handles “bandaged” by tapes. Really a v bad experience, the management really ought to do some maintenance of the equipments…",Date not found
Anytime Fitness NEX,Gary Ang,5,"Gym is on the top floor on the mall! MRT is just all the way down, there's also carpark right beside the mall. Space of the gym is huge. Dumbbell are rusty from the sunlight, some smaller dumbbell are wrecked. But majority of the machines and barbell are in good condition. Lighting and music are decent.",Date not found
Anytime Fitness NEX,Nic Neo,1,Poorly maintained dumbbells. Have been a long-time customer but the standard has gone down dramatically in this last year.,Date not found
Anytime Fitness NEX,jj jj,1,"Poorly maintained equipment and facility. Machines are broken for weeks and months while dumbbells are old and chipped off, and dumbbells with rubber grips in the middle also have the rubber partially torn off and not replaced.
For $115 a month, we would expect more effort from the management to maintain the facilities and equipment.",Date not found
Anytime Fitness NEX,anders ong,1,Condition of this gym is an absolute joke. All the dumbbells are rusty and disintegrating lol… in need of a renovation,Date not found
Anytime Fitness NEX,Rishanth kumar,1,"In this place you are only welcomed while joining the gym, Paying the fees, signing the contract. After that they don't give a shit about you.......... even worse they automatically renew the contract once it's over and you won't be notified in any forms of communication and once you try to cancel that they will show the previous signed contract that shows they do whatever they want do with you and threaten you sending an email that they can take legal action against you if you are not going to pay the fees. These people are focused only for your ..............................MONEY, MONEY MONEY.................",Date not found
Anytime Fitness NEX,BBS -,1,"Poor maintenance, the equipment are so old and rusty. The dumbbell is ripped off and can't see the weight marking. The staff don't bother to at least put on something for the marking. The owner of this branch should change man. Seriously not worth it paying for them. Poor management.",Date not found
Anytime Fitness NEX,Irene Tay,1,"On 3 May 2022 - I'm a single mother who is an active gym membership of Anytime Fitness. I'm so disappointed that Anytime Fitness at Serangoon Nex chase us out of the gym because they do not allow me to bring along my 8yrs old daughter who only sit quietly at the resting area. Apparently, Anytime fitness at Nex outlet do not welcome ""Active parents"", the management should remove this piece of drawing on the pillar that states "" Celebrate Active Parents"". Since the outlet management and staff do not practice what they pitch.",Date not found
Anytime Fitness NEX,Kai Yi .O,1,"The worst toilet among all the Anytime Fitness locations I’ve visited. Despite submitting multiple feedback, no improvements have been made. It’s difficult to find cloths and sanitiser to clean the equipment and benches after use. Even when you do manage to find a cloth, it’s damn dirty",Date not found
Anytime Fitness NEX,Haroh Garcia,2,"Filthy, poorly maintained equipment, and it smells. This franchise should be ashamed of the poor quality this branch provides.",Date not found
Anytime Fitness NEX,richard tan,1,"Extremely poor maintain gym. I just went there last week.Dumbells are damaged with no clear indication of dumbell weights. All dumbell weights are rusted so bad that they use black tape to cover up. Most machines are rusty. The gym is very run down., Rusted dumbells and rusty machines definately a user safety risk hazard. Seem like AF could not be bothered to care about equipment maintainance and safety. Simply a zero standard gym. Wonder outlet manager even know how to work or not. This outlet a disgrace to AF.",Date not found
Anytime Fitness NEX,Lee Chrispher,3,"Spacious and equipments can be used without much time waiting as compare to peak timing (5-7 pm)

However, the weights seems very much wear off and broken till the weights has to be hand written and unorganized.

Generally still good to have a gym located in a mall along NEL",Date not found
Anytime Fitness NEX,Josh Loke,1,"Lousy gym. Dumbbells and mats are old and rusty, yet the gym owner refuses to replace them",Date not found
