outlet,author,rating,text,date_posted
Anytime Fitness Upper Cross Street,Lester Teo,5,"AF Upper Cross St recently completed renovations and need to do justice to the previous poor reviews. Updated gym flooring, machines, free weights, no suspicious smells, spacious training area on L2, but most impressed at the spanking new showers with wet/dry areas and vanity section. Well done by the management! But my favourite outlet is still AF Orchard cause of the Dyson hairdryer.",Date not found
Anytime Fitness Upper Cross Street,Daniel47829,5,Hakem is a great Manager at this Anytime location. He cares about his clients and he is very patient and polite. The gym is small but offers all what it needs for strength and endurance sessions.,Date not found
Anytime Fitness Upper Cross Street,Alexander Yip,1,"Would be a 0 star if not because of the minimum, but hey! If you guys considering of sign up for gym, dont sign up anytime fitness because the staff will not be responsible to help you, they will push to each other and eventually become the member's fault. So its basically like I paid money to get poor service. What a great experience!",Date not found
Anytime Fitness Upper Cross Street,Theodore Levitt,2,"Well equipped gym. Convenient location. Staff are mostly friendly. Crowd is fair and decent.

Equipments are not well maintained. Ceilings are leaking. Overall maintenance is poor. Toilets smell bad and facilities are breaking down.

Can be improved with some minor touch up. Hope the gym owner can look into it.",Date not found
Anytime Fitness Upper Cross Street,Degen Hill,5,"Gym has everything you need. Odd pricing structure. 148 for a month, plus 135 for signup fee, plus 70 for key card. I paid 70 per week, with 50 for key deposit. Has 2 stories, and wasn’t too busy at 9am. Cardio, free weights, cable machines, and nice squat rack.",Date not found
Anytime Fitness Upper Cross Street,Vin,5,"The gym is a short 5-minute walk away from Chinatown MRT.

The gym spans two floors. The first floor houses most of the equipment, and the second is largely a CrossFit area with 7 individual shower rooms (3 male, 2 female and 2 unisex). From the well-worn interior, it's apparent that the outlet is old.

Unlike most other Anytime Fitness outlets, the music selection here is tasteful and should satisfy the average gym patron. There are also lockers that are free to use.

My only gripe about this outlet is that the shower room doesn't have a stool of sorts so that patrons can put their belongings while showering. We'd have to hang out bags from hooks behind the door.",Date not found
Anytime Fitness Upper Cross Street,Zavier Teo,1,"Terrible management, will force a predatory 15% upcharge of monthly fees if there are any issues with their payment provider. Seems like they enjoy gouging their loyal customers for their own financial benefit.

Equipments here are barely maintained, most seats show signs of wear and falling apart equipment is the norm here.

Have seen plenty of cockroaches roaming around the gym.

Recently ""upgraded"" but no upkeep is done, toilets are filthy, smelly and disgusting. Sink area is constantly covered in hair. Toilet seats covered in urine. No ventilation in the cubicles as well.",Date not found
Anytime Fitness Upper Cross Street,write,1,"I have called several times to change payment details and yet to receive any responses, now I am charged with $15 for late payment fee when the staff dont bother to help me before the deduction date.

Yet this gym have the face to report me to Singapore Commercial Credit Bureau, they banned my account and still expect me to pay them for 4 months of membership when Im not even using it.

Guys, pls dont listen to whatever the staff said from anytime fitness, they are SCAMMER!",Date not found
Anytime Fitness Upper Cross Street,فيصل السلمي,1,"What a rude guy, Hakim is disrespectful person
I went to know the daypass but he act aggressively.

Not recommended for people come to do meetings in SG",Date not found
Anytime Fitness Upper Cross Street,Genta,5,"Anytime Fitness Upper Cross Street beckons fitness enthusiasts with its state-of-the-art facilities and round-the-clock access, catering to busy schedules and health-conscious travelers alike. Stepping into the gym, I found myself immersed in a world of fitness and wellness, surrounded by top-of-the-line equipment and dedicated trainers ready to assist with personalized workouts. Whether I was squeezing in a late-night session or starting my day with an energizing workout, Anytime Fitness Upper Cross Street provided the perfect environment for achieving my fitness goals.",Date not found
Anytime Fitness Upper Cross Street,Thai Nguyen,5,"Headcoach Anthony assisted us, he was very friendly 🙏🏻. The machines here are all Hammer Strength and Lifefitness, the gym is clean, comfortable and a great place to work out. …",Date not found
Anytime Fitness Upper Cross Street,Carolina Perez,1,"In a total pity that a chain with so much prestige as Anytime fitness has this branch so terribly disgusting I had already had bad reviews about this branch but do not take it seriously today I decided since it is close to work but it was a terrible disappointment it is the first and last time that I stop in that branch it is very extremely dirty neglected when I go up to shower the shower area is disgusting cockroaches, hair everywhere smells like horrible humidity I asked the person who cleans to help me clean the shower since I would bathe there later and with a terrible attitude he refused and told me that my things would get wet and dirty in the same way what kind of staff and attitude is that I would not return to that place even if they paid me",Date not found
Anytime Fitness Upper Cross Street,J L,2,"Just an okay gym convenient for post-work hours gym sessions. 2nd floor is poorly utilised with racks but no proper padding and enough plates which could have been used for more types of lifting other than squats. So most people are just on the 2nd floor for random core workouts.
Biggest flaw of the gym is the lack of enforcement by staff to tell people to put back their weights. Lots of ignorant and inconsiderate gym goers here but well what can you do; it’s either this or Cecil st gym. Would go somewhere if I could",Date not found
Anytime Fitness Upper Cross Street,Alex D,1,"I won’t dwell on the negative reviews about the moldy toilets since that’s been covered enough already.

As a long-time member visiting this branch for the first time, I actually had to stop my workout halfway through and head to another branch just to finish it. The way this gym is set up is really strange compared to others.

Like many have said, the second floor is empty, and all the foot traffic is on the first floor. Yet the only water dispenser is on the second floor.

There are three power racks but only one bench available.

In the dumbbell area, there’s only one adjustable bench, while the rest are flat benches, which would’ve made more sense in the power rack area.

Lastly, the cable pulley section doesn’t even have a rope handle. There are four pulley machines, but the most commonly used attachments are missing. The other AF branches have plenty of them.

It’s as if the gym manager doesn’t even work out and has no clue how things should function.",Date not found
Anytime Fitness Upper Cross Street,muse rosli,4,AF member from Malaysia. The location is quite strategic and walking distance from nearby hotel. Obviously the range of equipment almost the same as other clubs. Clean and well sorted equipment. Looking forward to visit again.,Date not found
Anytime Fitness Upper Cross Street,spencer soh,2,"Used to be their outlet member before transferring to other outlet in 2019. Getting invoice / receipt via email request alway took couple of days. Visited them last week after 2 years and was shocked, ceiling paints cracking dropping all over. Machines badly maintained, limited sanitisers and cleaning towels, lastly toilet dirty and not maintained too.",Date not found
Anytime Fitness Upper Cross Street,itschesterrific,4,"foreigner here.
im glad their equipments are complete :)
clean and spacious
AC is just cold (maybe it's because there aint n't many people around when im there)",Date not found
Anytime Fitness Upper Cross Street,M C,1,Such a terrible gym with no cleaning staff and full of dust in changing room!,Date not found
