outlet,author,rating,text,date_posted
Anytime Fitness Havelock Outram,Edy fawzi Md taip,5,"This gym is a very conducive place to work out, with friendly staff who are super kilat. Visited this gym a few times, and overall, I’m really happy with my experience.

One of the best things is the 24/7 access, which is a huge plus for my unpredictable schedule. The gym is always clean, well-maintained, and never feels overcrowded. It’s a great environment that motivates me to keep coming back.

Big kudos to all the Havelock Outram staff for doing such a great job—you all really make the place feel welcoming and well-run. Highly recommended!",Date not found
Anytime Fitness Havelock Outram,SHARE TV,5,"The gym has complete equipments needed for all your workout needs. The machines are placed in good locations, making it not crowded and comfortable to use. It is clean and pleasant to have your workout sessions here.",Date not found
Anytime Fitness Havelock Outram,nads,5,"nice cosy gym in havelock within the hotel premises it self.

good selection of machines, especially the squat machines.

however space may be abit cramped especially when it is crowded. staff are friendly too",Date not found
Anytime Fitness Havelock Outram,Sienna V,3,"Great gym equipment & range but toilets are mouldy & full of drain flies. No fault to the cleaners, its the structure of the bathroom stalls, all boarded up with no ventilation.

There's not even a air vent in the bathroom stall, they all smell kinda bad due to stagnant water. Please consider opening up the top panel of the bathroom.",Date not found
Anytime Fitness Havelock Outram,Keith Ong,5,"Great experience at Havelock Outram Anytime Fitness. Range of equipments from LifeFitness here, including a couple of plate loaded ones. The best part about this club is that it is never busy. Went around 4pm-6pm and the gym was pretty much empty. I can count about 3 people there. Would definitely visit again.",Date not found
Anytime Fitness Havelock Outram,Rex Bernard Collado,5,The best looking AF branch so far in the 5 branches I have been to here in SG. It has complete equipment and ample number of squat racks. Placement of machines and workout areas is well planned considering the gym’s layout. It is very near and accessible to the MRT.,Date not found
Anytime Fitness Havelock Outram,Alexander Aaltonen,5,"Hands down best AF in SG!! I came here recently for a visit as I saw the great reviews and looked nice in pics and videos too. Now I keep coming back!

Super clean and lovely ambience, equipment and machines are new and well organized. Been here during weekday afternoons, so doesn't get too crowded at all. Staff were helpful and friendly, one of the times I forgot my fob and they were quick to manually tap me in. 🙏🏼

All in all, an excellent gym and one of the best AF branches in SG. ✨",Date not found
Anytime Fitness Havelock Outram,ayowutudu,5,"I’m a member of AF in VN, just visited here yesterday and it was really nice ^^ I love the design here, its spacious enough with many different equipment, also not crowded. Easy to get there from Boat Quay as well ^^",Date not found
Anytime Fitness Havelock Outram,Sharmilan Ilenghoven,5,Dropping a review coz this place deserves it. Perfect to come between 12-3pm if you want to have a quiet space and a great workout. The Team accommodated me today even I missed out on the correct attire. Definitely recommend anyone to be here as your resident gym. I’m living overseas but this will be my first option if I was in Singapore.,Date not found
Anytime Fitness Havelock Outram,Azrael,5,"I’d like to compliment one of your staff at Anytime Fitness Havelock for her attentiveness and friendly gesture. When I was outside the club trying to access the app to enter, she noticed and came out to assist me without hesitation. Her initiative and warm attitude made me feel welcomed and supported! It’s small actions like this that really elevate the member experience. I truly appreciate her help and wanted to share my gratitude.",Date not found
Anytime Fitness Havelock Outram,Kim Huang Boo,5,"One of my favorite AFs around central area, there are wide range of equipment and power racks available. Equipments are well maintained and staffs are very friendly (also they are one of the few AFs where the staff hours are longer than others I’ve seen, 10pm vs 9pm) Aslo, by far the cleanest AF I’ve been too!",Date not found
Anytime Fitness Havelock Outram,Lienn,5,"The gym is exceptional! One of the best new gyms in town area. Looks aesthetically pleasing. Great vibes as well. Pretty spacious and it has an inviting atmosphere. Asked a staff, Abigail, regarding some enquiries and she was really nice and helpful! 😄 …",Date not found
Anytime Fitness Havelock Outram,Jeremy Chan,4,"1st time coming to this gym & honestly the ambience & atmosphere is nice. Not 1 of the biggest AFs in SG but nowhere close to a small AF as well, somewhere in between. It’s located literally IN Furama Hotel which is pretty nice location wise.

They have quite a range of equipment but nowhere close to what I’d like to play around with as a long time weightlifter. However, it’s definitely adequate for a good workout. Downside is that the free weights/dumbbells section is really small & narrow, but thankfully not many people using it @ a time. TBH the gym wasn’t too packed @ all giving you space!

Definitely a nice AF gym!",Date not found
Anytime Fitness Havelock Outram,Jay San,5,"It is located on level 2, inside Furama River Front Hotel. The lifts are located on the left as you walk inside the foyer. The gym is very clean, new machines and equipments. It is very well looked after.",Date not found
Anytime Fitness Havelock Outram,Case Woo,5,"Lovely gym with a unique layout. Clean, well equipped and so peaceful. Shiok. Most importantly the air con temperature is just nice. Not too freakin crazy cold like Somerset.",Date not found
Anytime Fitness Havelock Outram,Giovanni el gato,5,"The gym here is very spacious and nice , always greeted by the staff here i’m quite new to this outlet , i had a staff named zixing helped me out with where the things were and the equipment they offer , super friendly guy 10/10",Date not found
Anytime Fitness Havelock Outram,Miro Fratric,5,Smaller gym with good smooth equipment. Machines are clean. Treadmill is soft with nice view of the street. Enjoyed working out while visiting Singapore,Date not found
