outlet,author,rating,text,date_posted,review_id
Anytime Fitness Boon Keng,Vanessa Tan,5,"New, clean, spacious, double storied gym! It was spacious enough to not feel like i was in the way but also noted that I was there during nonpeak hours.

I tried their 90 min free trial but the manager was really nice to allow me to stay longer because it was raining cats and dogs outside! It was easy to sign up, I simply dropped them a whatsapp a day before. Trial hours were limited from Monday to Friday 1pm to 7pm (last session at 5.30pm)

I forgot to take photos of the upstairs but there was a stretching area and space for free weights with 4 barbells.

What I really appreciated was a female only toilet! Im considering signing up. Prices were quite pricey now as compared to what I was expecting or have been hearing before where they could be less than $100 per month if you signed for longer. Currently as they stand, what I understand:

1 month - $158
6 months - $138
12 months - $118
18 months - $108",,ChdDSUhNMG9nS0VJQ0FnSURENHV5MjhnRRAB
Anytime Fitness Boon Keng,Noor Muhamed,5,Well maintained gym. Staff ensures everything is tip top. Very clean. Ive been with them for 2 years and no regrets. Never thought of changing gym at all. Friendly staffs ensuring you have a smooth experience.,,ChZDSUhNMG9nS0VJQ0FnSUNfOXJIaGV3EAE
Anytime Fitness Boon Keng,e G,1,"pay for 24h gym membership need to guess whether I can get to use the gym because the door isnt working abit L tbh, contacted the hp number on the poster if there's difficulty entering the gym but none picked up and even hung up. heard from fellow members this isnt the first time. if you like the thrill of whether you can get to use the gym on the daily do visit this sick  rundown gym!!",,Ci9DQUlRQUNvZENodHljRjlvT2tSRGEzbzFUV2M1U0Y5dWMxWTJXRFpWVm1kQ1YzYxAB
Anytime Fitness Boon Keng,Selvan P,1,Trying to achieve aesthetic perfection but the place that commits to helping me reach my goals IS NEVER OPEN even though they promise ANYTIME FITNESS because their DOOR IS ALWAYS SPOILT. Probably the lousiest AF outlet in Singapore.,,Ci9DQUlRQUNvZENodHljRjlvT2xsMlF6WnRjWEk0U0hwd0xVOVVWM0ZVT1ZCeE0yYxAB
Anytime Fitness Boon Keng,Michelle Ng,5,Best gym near my place. The staff so friendly especially part timer Boh. I lost my keys and Boh really helped arrange for efficient collection and was super warm and patient in answering my questions. Not only a gym but second home!!!❤️❤️❤️👏👏👏 …,,Ci9DQUlRQUNvZENodHljRjlvT25KNWIwTmtSMFZhVVdkb1RGcFFSbUZZV1RoS1JtYxAB
Anytime Fitness Boon Keng,Akhil Murali,5,"Amirul is an outstanding manager at Anytime Fitness. He’s not only professional and efficient in running the gym, but also incredibly friendly and approachable. He always takes time to listen to members, helps solve issues quickly, and creates a welcoming atmosphere for everyone. As a friend and as a manager, Amirul genuinely cares about people and it shows in the way the gym is run. Highly recommended!",,ChdDSUhNMG9nS0VJQ0FnTURRd3F2ZGlBRRAB
Anytime Fitness Boon Keng,Elena Ng,5,"Was here for my 90min free trial on a weekday lunchtime slot.

The gym was quite empty, and really spacious! Some AFs can be super tight in how they place their equipment but I really appreciated how well spread out this one was. Well lit too.

Loved the fact that they had 3 squat racks. Plates were a little weathered but barbell was really clean and platforms were very new.

Didn’t see any cloths and spray bottles for wipe downs but cleaner was very conscientious with cleaning the area and equipment.

Had a great workout, and hope they have promos soon so I can make my visits here more regular.

Shout out to the manager Amirul who managed my online enquiry and showed me around at the gym. Really cheerful and friendly both online and in person. Much appreciated when embarking on a new fitness journey.",,ChdDSUhNMG9nS0VJQ0FnSUREXzlMWWpnRRAB
Anytime Fitness Boon Keng,May Ee Lee,1,"Was affected by the door having issues TWICE in a span of a few months. Imagine pulling yourself out of bed in the wee hours to get to the gym, only to find it locked and of course, the mobile number is useless.",,Ci9DQUlRQUNvZENodHljRjlvT25SSlpqQkplVGxLVDA1VExXMU9iMEpIY1MxS2JsRRAB
Anytime Fitness Boon Keng,David Lim,5,"Comfortable place, nice place to workout, friendly staff",,Ci9DQUlRQUNvZENodHljRjlvT25WR2NHcGFSbkpGTjE5TWVuWnNaRnBvYlVKdlJWRRAB
Anytime Fitness Boon Keng,YUZE FAN,5,The environment is very good! The gym is very large and the location is very reasonable.,,ChdDSUhNMG9nS0VJQ0FnSURYcmVuMzNRRRAB
Anytime Fitness Boon Keng,Jason Wee,5,Newly renovated. Nice. But the whole place smells of paint and glue. Probably will be avoiding it for at least 3 months to let the smell get out.,,ChdDSUhNMG9nS0VJQ0FnSURaNXVXN2pRRRAB
Anytime Fitness Boon Keng,Tabasco Guzzler,5,Decent 2-storey gym with essential weight training equipment & clean bathrooms on both levels. Surprisingly large upper floor with a generous area for stretching. Gym users are respectful & mature. 1 star short of a perfect rating as counter staff could be friendlier & more helpful.,,ChZDSUhNMG9nS0VJQ0FnSUNOcEx2RlVBEAE
Anytime Fitness Boon Keng,md “the destroyer” rafiq,4,"Location is an A+ as it's walking distance to Bendemeer MRT with the only slight inconvenience being the sometimes long wait at the traffic light.

For general health and fitness it is perfect, with cardio marchines and free weights all being abundant and perfectly serviceable. The racks and  benches are also of good quality, and the dumbbells go up from 2.5kg all the way to almost 50, which is a big plus. Additionally, they have ladies' olympic barbells (15kg/smaller diameter) available for use. They also have shower and washrooms on both floors, and there is rarely a wait for them.

Minor gripes that led to 4 instead of 5 stars are that the barbells chosen are Ziva and not of the best quality in terms of knurling for strength training, and that there are only two barbells with center knurling (important for movements where the barbell sits on the back). Additionally, chalk is not allowed. One point to note is that since the platforms are on the second floor, use of additional rubber mats are required if lifters intend to drop or slam the bumper plates, though this is hardly the fault of the gym

These are very minor complaints though, and AF boon keng easily sits at the top of the rankings for AF gyms in Singapore",,ChdDSUhNMG9nS0VJQ0FnSURQeElyNmhBRRAB
Anytime Fitness Boon Keng,Jonathan tan,5,Amirul provided me with a very good service. Highly recommended!,,Ci9DQUlRQUNvZENodHljRjlvT2tNdE1rNHdNVloxWmsxSU1HSXRZV2hKUzAxMlExRRAB
