outlet,author,rating,text,date_posted,review_id
Anytime Fitness Buangkok,Keith Ong,4,"Sufficient Equipments for every muscle group with a gym that size. They had Hammer Strength plate loaded machines which are superior to LifeFitness plate loaded ones. The lighting is nice with a cool vibe feeling to it, though it can be a little dark when u first enter. Would visit again.👍 The Renovation was a success. …",,ChZDSUhNMG9nS0VJQ0FnTURJb015ZGN3EAE
Anytime Fitness Buangkok,Goh Hong Yi,1,"horrible customer service. the staff here should be replaced ASAP

texted them to cancel my anytime fitness membership as my new office has a gym. they informed me that aug 1 would be my last billing.

then i texted them subsequently to change billing to another credit card, which they ignored after, not even a single reply. so if a customer requests for sth after cancelling, they wont even have the decency to give a proper reply? instead they will just completely ignore, but thats not all

previously the staff mentioned aug 1 is last billing, yet im still billed on sept. means there’s clearly some screw ups, probably the staff didnt even submit cancellation form or something

to higher management, please do sth abt the staff currently managing this gym… horrible customer service, this guy is probably just slacking hes not doing anything

not sure how to include pictures as evidence but reach out to me if you want the whatsapp convo",,Ci9DQUlRQUNvZENodHljRjlvT2xsNE0xZFdZM1ZVVnkxSlFXRlRVMXB3TFdkblNFRRAB
Anytime Fitness Buangkok,Wan Xin Tan,1,"Home gym for many years but recently my card was auto terminated by UOB (when i was overseas) & this was how AF does their customer service.

firstly, i was expected to contact vendor myself.

secondly, i was expected to update AF when my flight come back from work trip was already 30/5 AM.

Business dont seem to know the importance of retaining customers. but that's fine, to AF it always seem like its our fault :). Will not recommend any of my friends to sign up here anymore & we are migrating our home gym!",,ChdDSUhNMG9nS0VJdWNucGJqbWUyQnVRRRAB
Anytime Fitness Buangkok,D Ho,3,"I like this outlet (close by my house, tucked away on the second floor of an old neighbourhood mall, not too crowded, new equipment), but my enthusiasm is tempered by poor comms. I've been trying to reach them on WhatsApp for months, but responses have dwindled to almost nothing, so 3 stars from me.",,Ci9DQUlRQUNvZENodHljRjlvT2xOeGNUUk9aSFJXWkhWVFpqbFhMV3BqWmpSQlNuYxAB
Anytime Fitness Buangkok,jonathan mahinay,5,"5 star when you're working out during the wee hours and can confidently lift solo or not ego lifting.

Tend to be a bit crowded during peak hours.",,Ci9DQUlRQUNvZENodHljRjlvT2xsM2NYUkxNakl0WkVkRFVucFBUbkZMUjJGQ2VrRRAB
Anytime Fitness Buangkok,Munny L,5,"Every equipment you'll ever need.
Inbody analysis available.
Vending machine full of protein and protein bars.

Cardio section, threadmills, elliptical, cycles and a single stairmaster. 2 squat racks and 1 smith machine

Free weights (dumbbells) and barbell weights with a bench press. Integrated heavy duty machines that combines row and lat pulldowns.

Workout mats at your disposal, kettle bell and even TRX bands. And resistance bands. Even foam rollers. Yoga ball x 2.

Assisted pull ups, Upperbody machines followed by lower body machines.
Leg press x 2
Leg curl machine
Hamstring machine

2 seperate bathrooms equipped with a loo, hairdryer, 2-in-1 soap and warm water. Water cooler just outside the loo.

Edit:
Pec fly machine is out of order (20 July 22)",,ChdDSUhNMG9nS0VJQ0FnSUQ2d2F1TXJnRRAB
Anytime Fitness Buangkok,yu jack,1,"1. The gym is overcrowded with excessive equipment, making it feel cramped and hard to move around.
2. The weighing scale has been broken for years and still hasn’t been replaced.
3. Staff are almost impossible to reach, making it difficult to get help when needed.
4. Some equipment is frequently out of order, with repairs seemingly always pending.
5. While joining is straightforward, canceling a membership is extremely frustrating. Staff frequently ignore messages, delay responses, and fail to answer calls during office hours, making the process feel intentionally difficult. They often say you need to contact “another department” for cancellations, but never provide clear contact information, leaving you in the dark about how to end your membership.
6. Each gym is individually owned and managed separately as of what they write on the website, the review above is only for this gym outlet.

If you are looking for a gym with good support, avoid this outlet.",,ChdDSUhNMG9nS0VJQ0FnSUQzZ3ZtUXZ3RRAB
Anytime Fitness Buangkok,Maung Maung,1,"The gym is over crowded and no cleaning at all .
Most of people are doing recording and took equipment for long time personally.

The staff are also not friendly and using their phones or watching movies on their laptops.

No wet-tissue filling and no WiFi at this branch .

We paid same membership amount to any time fitness but didn’t get the same services like others branches like city hall/ harbor front.

Less equipments and damage on equipment are not repaired for long time as below .
Really disappointed this branch and will not extend the membership.",,ChZDSUhNMG9nS0VJQ0FnSURmb05YdmF3EAE
Anytime Fitness Buangkok,J,1,"Nice gym, but is it a company policy to be unpleasant towards members?",,Ci9DQUlRQUNvZENodHljRjlvT21wb1QxUmxWQzF1VlhSNVUzcHlkelE1WlRCaVkwRRAB
Anytime Fitness Buangkok,Duncan Lim,5,"This gym stands out as one of the superior options in the area. Their equipment is sourced from reputable brands like Hammer Strength and Life Fitness, which surpasses the quality of Precor. Even if you happen to forget your access card, their staff can manually check you in, ensuring hassle-free entry. Maintaining cleanliness and hygiene is a top priority here, and the cleaning staff does an excellent job. I would recommend this gym for those in search of a top-notch fitness facility.",,ChZDSUhNMG9nS0VJQ0FnSUNaeTRXS0hnEAE
