outlet,author,rating,text,date_posted,review_id
Anytime Fitness Bukit Merah,k Priyadharshini,5,"I just have to say how amazing the receptionist is! Every time I walk in, she greets me with the warmest smile and makes me feel so welcomed. She takes the time to explain everything in such a thoughtful and clear way, and it’s clear that she genuinely cares about helping everyone. Her kindness and patience really brighten my day, and it’s such a pleasure to interact with her. She truly makes the gym experience feel so much more personal and enjoyable!",,Ci9DQUlRQUNvZENodHljRjlvT2poSFNVcEZVR1I2VFU5dlNtTnZVVnA1VEdSRVpVRRAB
Anytime Fitness Bukit Merah,Wengheng Chan,5,Compact but just nice for a workout if i don want to travel so far from my house. New layout is fantastic . Pls consider putting the hanging punching bag back as i use this as my cardio n warm up :),,Ci9DQUlRQUNvZENodHljRjlvT205ZmJYUnBibTVFU1RKUk1VY3pZVlZYU2s5TFZWRRAB
Anytime Fitness Bukit Merah,Jessica Chiang,5,The space is a bit small but enough for training. The staff is friendly to show around. I signed up for membership since it's very close to my place.,,Ci9DQUlRQUNvZENodHljRjlvT21GQmFuSjVaVlI2VUcxWWRuVkZSekJuVGxkT1ozYxAB
Anytime Fitness Bukit Merah,Eng,5,"First time signing up at a gym. Amy was very friendly and patient! She slowly guided me through each step of the registration and answered every question that I had patiently.

Looking forward to my first year of AF at BM!",,Ci9DQUlRQUNvZENodHljRjlvT2pseU1IcHVabWRGZDJjMVRFNVJjSFIwVURWVlJFRRAB
Anytime Fitness Bukit Merah,Sana Jeeva,5,Amy was extremely friendly and made the sign up an ease ! Appreciate her assistance ! The gym looks tidy and well maintained.,,Ci9DQUlRQUNvZENodHljRjlvT21sclZqQlVaelI0ZEROb1dYQnpXbHByTlRVNVpuYxAB
Anytime Fitness Bukit Merah,林俊宇,5,Place is very clean and the staff is vey nice and helpful🫶🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT201UGFqUXpaMDVpVkZWTFlsWm9ZazVrYm5Gd1JsRRAB
Anytime Fitness Bukit Merah,Pavithiran Gunasagaran,5,Staff is very friendly and guides well to the amenities. Conducive environment for a good workout,,Ci9DQUlRQUNvZENodHljRjlvT201emNVcGFORVV4UlhCME1GcHJOMWs1TkRKMmFtYxAB
Anytime Fitness Bukit Merah,Adrian Lam (A.L),1,"Went with my friends over one of the weekends and the so called manager was saying we are doing our private pt when we are just regular members working out. I have been a member of anytime fitness since 2019 and have been to so many outlets around the area and never had such issues when I go with my friends. First time I encountered such unpleasant incident at anytime fitness.
If anytime fitness always prompt us to recommend a friend to join and we can’t workout together then why should we recommend a friend what a joke",,ChZDSUhNMG9nS0VJQ0FnTUNJeWJIR0tnEAE
Anytime Fitness Bukit Merah,Ali Gagagap,5,The staff is very helpful and accommodating specially Amy thanks alot no regret i join this branch,,Ci9DQUlRQUNvZENodHljRjlvT2twUmRtWk1NR1F0VUdaUU5ESllUVEptVDJsNlJWRRAB
Anytime Fitness Bukit Merah,Izz 4li,5,"Went down to the gym to Sign up for my membership and the staff ( Abigail ) was very helpful as she answered all my questions while explaining everything clearly to me as it’s my first time signing up for a gym membership.

And the amenities are very good and clean !",,ChZDSUhNMG9nS0VJQ0FnTURJNll6SUtREAE
Anytime Fitness Bukit Merah,Mohammed Dameem,5,This is a nice gym and they explain me about all the details clearly and all good 👍 😀 the staffs are here are nice ... …,,Ci9DQUlRQUNvZENodHljRjlvT2xSdE5GVTFPVTFNTXpkelpYTmZibGQ0YjBKcFRtYxAB
Anytime Fitness Bukit Merah,Bach Paii,1,"I attended classes today and noticed that one of your staff members, whose name I can’t remember but she’s short, kept taking pictures of us during our workout. I feel uncomfortable with this. Taking a photo once is fine, but repeatedly doing so makes me uneasy. Please advise your staff on this matter. Thank you!",,ChdDSUhNMG9nS0VJQ0FnTUR3M3BfU2t3RRAB
Anytime Fitness Bukit Merah,Katy Lee,4,"the equipment are quite near but all are very new and clean.
Air circulation is good.",,ChdDSUhNMG9nS0VJRHItc0h1bGFQcGpnRRAB
Anytime Fitness Bukit Merah,Shaun,2,New equipment 👍🏻 no crowd 👍🏻 but the cleaners that you guys hire have such strong BO it’s almost nauseating …,,Ci9DQUlRQUNvZENodHljRjlvT2s5bU5YVXplV2hXVERKUGVIZHJjREpKVmxKMVMyYxAB
Anytime Fitness Bukit Merah,h smas,5,"The equipment available in the gym is good,I was able to get my workouts done and its nice that they open the outlet beside a coffee shop, easy access to food 😃 …",,ChZDSUhNMG9nS0VJQ0FnTUN3b2VXNlBREAE
Anytime Fitness Bukit Merah,nicole neo,5,greeted by really kind staff and really clean environment,,Ci9DQUlRQUNvZENodHljRjlvT2xSTGRtaHRSa3BvYjBSNmExWXhNMnBvVFZCaE1sRRAB
Anytime Fitness Bukit Merah,Karin SYT,5,Rejoining again!!! Near my house and staff here is very friendly,,Ci9DQUlRQUNvZENodHljRjlvT2tKc01rZGlhSE5pT0RCRE16WkhPVWQxVG1jNVFWRRAB
Anytime Fitness Bukit Merah,Siew Duncan,5,Place is clean and the staff very helpful,,Ci9DQUlRQUNvZENodHljRjlvT205U1IyZFpURTFDYUZCQmRrRTNjR1JNZURSRU0yYxAB
Anytime Fitness Bukit Merah,ryan goh,5,Friendly staff and good ambience for working out,,Ci9DQUlRQUNvZENodHljRjlvT2pOeU1uVnpTbTA0VGxSek1UTXRkVTlpTUVkbmVFRRAB
Anytime Fitness Bukit Merah,Jackson,5,"Staffs are friendly, equipments are good and clean.",,ChdDSUhNMG9nS0VJQ0FnTUNJMk1mQV9BRRAB
Anytime Fitness Bukit Merah,Kannina,2,"Never had to put a screw back on a barbell, but here we are",,ChZDSUhNMG9nS0VJQ0FnTUR3b2RxOUx3EAE
Anytime Fitness Bukit Merah,momo leow,5,Nice and clean cozy gym just beside to where I am stay,,Ci9DQUlRQUNvZENodHljRjlvT2xKWk1ISnZNV1V0ZVc1SmJXSnlYMVpwTmxRNVFuYxAB
Anytime Fitness Bukit Merah,Alex Lim,5,Good,,Ci9DQUlRQUNvZENodHljRjlvT2tOR1J6Tk9NMDVOZFVSV1IyeE1MVmxSVUUxMWEwRRAB
Anytime Fitness Bukit Merah,Lim Zi En,5,"First time here, staff amy very friendly and approachable. She explains everything in details. Environment is clean.",,Ci9DQUlRQUNvZENodHljRjlvT2t4Vk1tdDFlR3A1WDIxdVRVczJPVnBLVlRsdFYzYxAB
Anytime Fitness Bukit Merah,Calyn Anne Tan,5,First time stepping into AF gym here in Singapore. A really good vibe gym and was assured through registration and all the necessities by Amy which was really helpful and warm towards us. Looking forward to begin working out here!,,Ci9DQUlRQUNvZENodHljRjlvT2tJMGFreHZVbFUyTjNaMGJtMHdhVkpaT1c4MVgyYxAB
Anytime Fitness Bukit Merah,Royen Lock,4,· I'm interested in becoming a member of the newly opened Anytime Fitness.,,ChZDSUhNMG9nS0VJQ0FnTUN3cElLUUR3EAE
Anytime Fitness Bukit Merah,Eden Lim,5,,,Ci9DQUlRQUNvZENodHljRjlvT25oVlZVZFpiVTB0UjBaemVEWnJMVzFyUjNGRVNHYxAB
Anytime Fitness Bukit Merah,Kaiyue Lu,5,,,Ci9DQUlRQUNvZENodHljRjlvT25SSFVHOU1Ta3BYYW5GdlNXUlNVMjFCY25sSFRIYxAB
Anytime Fitness Bukit Merah,Jiaqing Lu,5,,,Ci9DQUlRQUNvZENodHljRjlvT2w5eGJtSkJVakpLV21sWWVXeHVkR05wYXpWWFpFRRAB
Anytime Fitness Bukit Merah,Mak 3,5,,,Ci9DQUlRQUNvZENodHljRjlvT25sVGJGWldPVU4wZFVsS1dsRTVjWGR0TmxSSFEwRRAB
Anytime Fitness Bukit Merah,Felicia Tai,5,,,Ci9DQUlRQUNvZENodHljRjlvT25jeFMwbDNiMXBGZFhaUFZEQjFRMVI0VEhKQ2VWRRAB
Anytime Fitness Bukit Merah,Meng Ying Lau,5,,,Ci9DQUlRQUNvZENodHljRjlvT2tkV1dqRm5UR0ZmYW5SeVIySnFNbTh5Y1dSRFpWRRAB
Anytime Fitness Bukit Merah,Ridwan Shariffdeen,4,,,ChZDSUhNMG9nS0VPdTZ3SmFaLW9EZ1dREAE
Anytime Fitness Bukit Merah,kamaruzaman Abu bakar,5,,,ChdDSUhNMG9nS0VJQ0FnTUNZcHJIV3ZnRRAB
