outlet,author,rating,text,date_posted,review_id
Anytime Fitness Harbourfront,Lim,5,"Spacious gym, machines are just lined up one after another in rows and gives those american gym vibes. High ceiling. Having standard plates with handles instead of bumper plates for the bench & squat racks is a nice touch. Db area has 4 benches. Overall well maintained. Will come back if in the vicinity.",,Ci9DQUlRQUNvZENodHljRjlvT21oTFduRkRiVTR5UTJwdVQzZHFaVEZXUTNVeVVWRRAB
Anytime Fitness Harbourfront,Morgan Then,5,"Massive makeover!

The gym definitely looks more spacious than before. Lots of new equipments, including plates and dumbbells as well👍🏼👍🏼

Come and check it out 💯",,Ci9DQUlRQUNvZENodHljRjlvT21OR2JHeHVia3QyTWt0cmNVWkNNbWRpUzFSTExWRRAB
Anytime Fitness Harbourfront,M A,5,"Visited this gym on my holiday in Singapore. Excellent facilities, very clean, new and well maintained equipment and lots of dumbbells. I attended at 8:30am on a weekday and there were less than 10 people inside.",,Ci9DQUlRQUNvZENodHljRjlvT2pOaFdtY3pkM2N0U2tkWmJuSmhaVnBMZEZaak0yYxAB
Anytime Fitness Harbourfront,Chris Y,5,Really impressed with the new look of the gym! The fresh look gives such a motivating vibe and the new equipment brought in is definitely well thought of! Excited!!,,Ci9DQUlRQUNvZENodHljRjlvT2paTVh6ZEZRa0ZOVUdGV1RFZHZOV2M1YmxSaloyYxAB
Anytime Fitness Harbourfront,david churchill,2,"I was a bit disappointed with the recent refreshment at Anytime Fitness HarbourFront because of the lighting in the gym.
The gym feels quite dark, and the yellow lights made me feel a little lazy and sleepy. The lighting is not only yellow but also quite limited. I think it would be nicer to use more white lights instead.

The reason is simple : yellow light increases the parasympathetic tone, which promotes calmness and sleepiness, whereas white light increases the sympathetic tone, which promotes alertness, energy, and freshness. Most people come to the gym to feel active and motivated so that they can work out effectively.

On the bright side, the gym equipment is excellent, and I enjoy using it.",,Ci9DQUlRQUNvZENodHljRjlvT2tOdlpuUjVNbWRGTVRkRFJuTkNhelF3Y0RoWVQyYxAB
Anytime Fitness Harbourfront,shajid rizvi,5,"Love the vibe and ambience to workout. Great facility and people.

Special mention to Nigel for being good, kind and handsome 🦸‍♂️ …",,Ci9DQUlRQUNvZENodHljRjlvT21reVZUY3RZVVptWnpWdmFXTmhlbUp4UW1sM2FWRRAB
Anytime Fitness Harbourfront,Hailey L,5,"Love the staff at AF Harbourfront, the small talks before and after gym session! Feels like home every single time i step into gym. Appreciate the
effort that Farah & Niegel put into helping me with the fob issue that I had with my initial home club. ❤️❤️❤️",,Ci9DQUlRQUNvZENodHljRjlvT2t3eWVtZG9kV1oyV21ONU1EQnVkR1ZzTFhGRE1sRRAB
Anytime Fitness Harbourfront,Jake lee,5,"Genuinely one of the best few AF gyms in Singapore, staff are exceptionally friendly and the atmosphere is really great. For the power lifters this is a great gym too! There’s power bars and a fat bench, plenty of equipment all around! Kudos to Nigel who’s been so accommodating to me since day 1",,Ci9DQUlRQUNvZENodHljRjlvT2xvMWJYZDFia1pIZERkbmQyRlRTMEpXV0dobWJVRRAB
Anytime Fitness Harbourfront,Keen,5,Has very good gym vibes. And new equipment also helped a lot with workout. 10/10 💪🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT2xkSWMxVXpkM040UzNaSVZ6SlBhMUpUZEZwSmJGRRAB
Anytime Fitness Harbourfront,Castro Arun,5,"18+ Months In - Still Getting Better!
I've been training here for over 18 months, and my experience keeps improving. Having tried at least 15 gyms across Singapore, this is the one where I genuinely feel at home.
The staff continue to be exceptional – always friendly, accommodating, and welcoming. My morning sessions here before work have become non-negotiable for managing stress and starting the day right with that positive energy boost.
Last month's renovation was a game-changer. The layout is now far more functional, with power lifting racks separated into their own zone, plus a few quality machines added to the floor. The new setup reduces congestion and makes every workout more efficient.
Equipment maintenance here is excellent – everything stays functional and well-maintained. Combined with the recent upgrades, this gym truly delivers on all fronts.
If you want a reliable gym with great staff, well-maintained equipment, and smart design, look no further. Highly recommend!",,ChZDSUhNMG9nS0VJQ0FnTURvamNDeEpnEAE
Anytime Fitness Harbourfront,dPxx 1993,5,"The recent renovations at the gym are absolutely fantastic, making workouts feel so much more enjoyable and the staffs are the best! Especially Farah and Nigel 👌 Kudos to you guys! 🫶 …",,Ci9DQUlRQUNvZENodHljRjlvT25GTVYzTmlTamc1ZDB4c1lXVm1lV05IYWtob05GRRAB
Anytime Fitness Harbourfront,Brennan Martin,5,"Farah, Niegel, Iman, and Garry are outstanding members of the gym staff. They consistently provide excellent service, ensuring that the gym is a welcoming and well-maintained space for everyone. Their professionalism, friendliness, and willingness to assist members make a huge difference in the overall experience. Whether it’s keeping the facilities in top shape, offering helpful fitness advice, or simply greeting members with a smile, they go above and beyond. Their dedication and positive attitude truly enhance the gym environment, making it a place where people feel motivated and supported. I recommend going to this outlet highly!!
🫶💪🏿💪🏽💪✊🏿😝",,ChdDSUhNMG9nS0VJQ0FnTUNRaVkyamxRRRAB
Anytime Fitness Harbourfront,tromboon1220,5,"2nd visit to AF HF, very big gym as compared to the neighbourhood gyms and there is a lot of machine to try out!

very clean shower rooms as well! will come back again once they upgraded their gym!",,Ci9DQUlRQUNvZENodHljRjlvT21sd1JVcDFTekpxY0dSdGNFWkNXSGQzU2toM1UxRRAB
Anytime Fitness Harbourfront,A K,5,"Thiank you to awesome guys, Arifin & Nigel (mr. Friendly) & for creating best workout environment 👍💪 …",,Ci9DQUlRQUNvZENodHljRjlvT2pKRFZuSndiVU5OYWkxMFVrWkVTWEJaVFRFd1lVRRAB
Anytime Fitness Harbourfront,Nancy Yeo,2,"DON'T USE HARBOUR FRONT AF

I was at Harbour Front AF from 12.40 - 2.30 pm, 19 July.  Throughout the 2 hours, this group of 3 young gymers (1 female, 2 male) were slamming the weights violently.  It was so noisy, and the slamming each time the trio threw the heavy weights down, was really disconcerting.  Many other gymers looked on with disapproval.  The lady gym staff walked around, did nothing.  I have not heard such a highly noisy gym at any AF outlets.  The trio talked very loudly too - so inconsiderate.

This is so frustrating - their heavy slamming and loud chatter disturbed an otherwise positively energy-charged gym environment.

If this continues, everyone should not use Harbour Front gym.",,Ci9DQUlRQUNvZENodHljRjlvT2s5bmRFaG1SRUpSVXpGUVh6ZENjMUp0WTNsbmFWRRAB
Anytime Fitness Harbourfront,Rio Furqan Saini,5,"Not all Anytime Fitness clubs are the same.  This to me, imo, is one of the best on the island. High ceilings, 2 platforms and lots of equipment makes this a great gym to be at. The staff are always friendly, always saying a cheerful hello to members. The team, in particular Farah, Ashraf and Niegel are also helpful. Niegel is always ready to assist when needed even for the smallest things. A highly recommended gym for sure.",,Ci9DQUlRQUNvZENodHljRjlvT2xaSU5ubEdUR3d0ZDFocE1XUndZWEJoVDB0Q2VXYxAB
Anytime Fitness Harbourfront,Joyce Devil,5,"After renovations the gym definitely looks more spacious than before. Lots of new equipments, including plates and dumbbells 👍👍👍 …",,Ci9DQUlRQUNvZENodHljRjlvT25OUk5IbDRhRlpDZFVremVWZGFTVE42VFRGUE5rRRAB
Anytime Fitness Harbourfront,Ian Chan,3,"I was in this outlet today and was unhappy with the level of noise from weights being slammed down by one group of people. I could see that other members were unhappy too. I have been to many AF outlets and this is the first time I experienced such loud slamming.
I felt that the staff should have intervened.",,Ci9DQUlRQUNvZENodHljRjlvT25aZldVVlZTV2c1TTI5T2VXZzBRVzB0ZW1jd1ZWRRAB
Anytime Fitness Harbourfront,Colin Lee,5,Nigel is the best! He showed me around the newly renovated gym! I'm really amazed by their new equipment!,,Ci9DQUlRQUNvZENodHljRjlvT21FMFUxQkZTbFJ4UTFsU09FaG1NVm94U21SRFpFRRAB
Anytime Fitness Harbourfront,Roxanne Low,5,"Spacious Gym
Cool Air-Conditioning
Friendly Staff - Member Engagement (Farah, Ariffin & Niegel)
Recently Renovated, Loving the New Equipment",,Ci9DQUlRQUNvZENodHljRjlvT2xNMlZrUlJUa1JhVVdKbFJHRm1Rak5IVEdSc09YYxAB
Anytime Fitness Harbourfront,TS Yip,5,"Absolutely loving the open concept and the bright lights. Less romantic setting but definitely meant for serious workout. Great space and loving the studio size.
Another thing, Razik is super friendly and introduce me around. Even before clocking out, he bid goodbye to most of the member, by their name. How cool is that!",,ChdDSUhNMG9nS0VJQ0FnSURXeWItYnNnRRAB
Anytime Fitness Harbourfront,Jane N,5,"Great gym, quite large and clean. Enough space for everyone. On the wall there are paper napkins and alcohol spray to clean if you need it. The toilet is outside a glass door so bring your key fob - this doesn’t bother me, minor inconvenience.",,ChZDSUhNMG9nS0VJQ0FnSUR2eUpqeWR3EAE
Anytime Fitness Harbourfront,warissara pingping khana,5,We been here a few times and the new renovation is really functional and nice. The staffs here are very nice and friendly.,,Ci9DQUlRQUNvZENodHljRjlvT21veGJIaFVTRXN0VDFSTFZuQXdaMm8yTlUxVloyYxAB
