outlet,author,rating,text,date_posted,review_id
Anytime Fitness Junction 9 Yishun,Jianlun Chiang,4,"Came here as I received a 3-day trial pass from my friend.

5 stars for Zul; the staff who was assisting me with the pass. Very friendly, and helpful to assist with any enquiries I had.

-1 stars for the equipment, which is slightly dated and in need of a refresh.

Overall a great place in terms of proximity, definitely enough to get a workout in, but I’m unsure if it would be worth the premium cost.",,Ci9DQUlRQUNvZENodHljRjlvT2tnMGVuZ3hNRWh2VFhKcFJ6WkdZakZrZVhwcU4wRRAB
Anytime Fitness Junction 9 Yishun,芋头酥,5,"Though the gym is small but you have most of the equipment you need for a basic gym.  It will be perfect if there are more classes available like Zumba and other dance activities!

But hey, it's Anytime Fitness, whereby you can access to other AF gyms as well if needed the classes. Signed at J9 due to my convenience.

Zul has been helpful for my queries and assisted me for my administrative stuff.",,Ci9DQUlRQUNvZENodHljRjlvT2xGbFVFVnRUM0pTUldGcE5tMDJhSFZtZWswMFRWRRAB
Anytime Fitness Junction 9 Yishun,Lee Yoonyuan,5,"Zul was absolutely amazing! He provided excellent assistance in helping me with the pass and made the whole process smooth and easy. He was very friendly, patient, and always willing to help with any questions or concerns I had.",,Ci9DQUlRQUNvZENodHljRjlvT21vM04zVnpZMFZZVjNGdE5XTTNVRmd3U3pWVWVuYxAB
Anytime Fitness Junction 9 Yishun,Goh Si Heng,5,Many machines! Sufficient free weight space. Cozy and not too crowded. Gym manager Zul funny and welcoming too,,Ci9DQUlRQUNvZENodHljRjlvT2xGVVNXUkRTRTU2ZEMxb2RVOTZaV2MwT1daUlRuYxAB
Anytime Fitness Junction 9 Yishun,Natasha Nabila,1,"Contacted the club to cancel my membership and was told to reach out to someone who’s “best at it.” I was informed I needed to clear my outstanding payment then can cancel even though the payment was unintentionally unsuccessful, took initiative to pay manually and there had already been auto-deducted for that same month. So essentially, I was charged twice in one month. And was told that there will be reimbursement for the late payment fee. ( apparently, reimbursement takes 3 months, so your membership has to continue for 4 months if you’d like to be reimbursed.) Smart yeah? So got to pay extra 4 months just to get reimbursement LOL.

After transferring the payment and updating the staff in August, NO REPLY. Then in October, I was charged again. When I followed up, I was told that “it has always been on the member to make sure they have confirmation”  basically blaming me for their team’s lack of follow-up.

Explained that it’s unreasonable to say it’s the member’s job to follow up with themselves when the staff clearly said I could cancel after clearing my payments. Which i did, but again to NO REPLY. (Purposely eh? So got to pay extra months? Lol) I followed every instruction given, the lack of confirmation and poor communication shouldn’t fall on me. Yet instead of taking responsibility for NOT REPLYING, I kept getting the same copy-paste response: “ it will be seen as your fault for not confirming”

Now I’m told I still need to pay another month under the “X+1” policy on top of the two extra months already deducted because of their staff’s failure to reply. This could’ve been done in August when it wasn't my fault that staff DID NOT reply me. When I showed other members had the same experience, the response was just a thumbs-up!

This is completely unacceptable and unprofessional. If refunds aren’t allowed, the least you could do is resolve the issue instead of BLAMING your customers and making them pay extra for your team’s mistake. Be a better manager, your customers deserve accountability, not excuses.",,Ci9DQUlRQUNvZENodHljRjlvT25OMFRGOTZaSFp0VW5VM1JFdFBSVVl3Y1ZaYVdYYxAB
Anytime Fitness Junction 9 Yishun,Shawn Lee,5,"Great place to train and work with all the equipment you need! Sad i have to cancel my membership. Staffs were amazing especially Zul, he has been a big help throughout my time here.",,Ci9DQUlRQUNvZENodHljRjlvT2pKQlMxWXRZMEZyWTJFMVpVY3hkR1U0VmxCeU9GRRAB
Anytime Fitness Junction 9 Yishun,Vikram Vijayakumar,5,"Used to patronise this gym over the years, which was conveniently located and had a decent range of equipment. Had to end my membership after moving away and their team member Zul was professional and efficient in handling the process. Kudos to the J9 team",,Ci9DQUlRQUNvZENodHljRjlvT2pOSVkweHlTVWhZU1Zoak0yOUJVbWx3V1hrMFYzYxAB
Anytime Fitness Junction 9 Yishun,Jerrald Loke,5,"Zul expertise is top notch.
Often welcome me with a huge smile!
Whenever I needed help, his respond is quick!

Management for of the centre is also great, the cleanliness is one thing but reminding (in a super friendly way) users to clean after use.

Very very pleasant experience!
Will definitely recommend everyone to join AF J9.",,Ci9DQUlRQUNvZENodHljRjlvT25sUmVHVTFZMmxOUTJjelduRndRM0pCZGtST1pXYxAB
Anytime Fitness Junction 9 Yishun,三毛,5,"I’ve been a member here for five years and absolutely love this gym. The facilities are excellent, and the manager, Zul, provides fantastic guidance and support. Highly recommended!",,Ci9DQUlRQUNvZENodHljRjlvT2t4ME9FaHdlWGRRVVRWcmIyczJNRGw1VFd0VGRYYxAB
Anytime Fitness Junction 9 Yishun,Andy Sim,5,"The facility is well maintained, thanks to club manager Zul. Additionally, he’s helpful and friendly. I would also like to comment that his choice of music makes this place livelier. Keep it up Zul!",,Ci9DQUlRQUNvZENodHljRjlvT2xSblNrZDZRMFp3UmxsZlJESkxlV3BSZFhseFVHYxAB
