outlet,author,rating,text,date_posted,review_id
Anytime Fitness Kim Seng CC,Satz,5,"I moved to Kim seng couple of months ago and then noticed this gym which was close to my house.
Wonderful gym with all the required equipments and a friendly staff. The gym is very clean and not crowded if you are to visit between 1-5pm. Equipments are brand new.
They have Zumba, Hatha Yoga, body combat, Yin yoga, muay thai, and pilates each day late evening as complimentary
The gym consists of two floors. The ground floor is for weights and the first floor is cardio and threadmill and free style.
The staff are very friendly. Specially Minn is very approachable and is open to suggestions and feedback. She even sorted out some confusions regarding the transfer of membership from keppel.
They also have refreshments in the form of banannas ;) ( a perfect post workout supplement ).
If you are around kim seng/Tiong bahru this without a shadow of doubt is a must visit gym if you still haven't.",,ChZDSUhNMG9nS0VJQ0FnSUN4cS1pMVJBEAE
Anytime Fitness Kim Seng CC,pinpach p.,5,"Anytime Kim Seng is a nice and pretty clean gym. During low peak hours is great for me. My personal trainer, Herzy, is very informative and he customize his training to each person’s concerns and constraints. Overall it's a great gym.",,ChdDSUhNMG9nS0VOZmd2XzZWN3NuSm5RRRAB
Anytime Fitness Kim Seng CC,Brigette Johnson,5,"I'm glad to choose Kim Seng AF as it's a very convenient gym location, spacious, and it also has classes such as zumba, bodypump, yoga, etc. The staff members are also very friendly especially Herzy! Shoutout to my Personal Trainer, Herzy, who has been very patient in guiding me for the past few months.
The equipments in the gym are also well maintained and clean. Would definitely recommend people to join AF at Kim Seng!",,ChZDSUhNMG9nS0VJQ0FnTUN3MWRTNEt3EAE
Anytime Fitness Kim Seng CC,Etree,5,"Anytime fitness Kim seng is a relatively new gym with new equipment. There are 2 levels, level 1 weights and strength training equipment, level 2 cardio and functional area. One of the reasons coming here is great is due to the warm, friendly and patient staff, shout out to Dennis, Sophia and Sarah for your helpful presence in the gym. I also thoroughly enjoy the Muay Thai , yin yoga and pilates classes conducted by iswandi, Claudia and Atka respectively. All of them are truely professional and made the classes very enjoyable and helpful in my fitness journey. Thanks and keep it up !",,ChdDSUhNMG9nS0VJQ0FnSURXdVlIZGdRRRAB
Anytime Fitness Kim Seng CC,Abhilash Padmanabhan,5,"Located close to Havelock, this has been my go to gym for a year now. Spacious over two floors, well maintained & barely needs wait time! Staff are very friendly n approachable.

As a beginner going for personal training, thanks to my PT Herzy, my workout sessions have been more enjoyable than tiring (but not easy either). Herzy came up with a catered workout regime for me mixing cables & weights, targeting flexibility & stamina as my areas of improvement. Also open to asking any questions or making the regime better n suitable to my needs. Highly recommend this center to get fitter, healthier & better!",,ChdDSUhNMG9nS0VJQ0FnTUNBLWRibDlBRRAB
Anytime Fitness Kim Seng CC,Hang Le Thi Thu,5,"Shout out to Herzy, my PT and my most favourite most fabulous gym buddy, for getting me started on this fitness adventure! You made working out fun and simple for this gym noob :)",,Ci9DQUlRQUNvZENodHljRjlvT2pRMlFuZDNiemg1UjFkR09XUktXVXRKWVVGRlRVRRAB
Anytime Fitness Kim Seng CC,Raymond Tan,5,"Longest Walk On A Treadmill In 24 Hours

My greatest gratitude to Anytime Fitness (Kim Seng CC Branch) in providing treadmill for my 24 hrs challenge.

Staffs (Sarah, Kevin and Sophia) have been very patient, providing me access to the treadmill for the challenge and standby 24/7 ensuring my safety on the equipment.

I am truly grateful to them 🙏🙏🙏",,ChZDSUhNMG9nS0VJQ0FnSUMtcFB6VFdBEAE
Anytime Fitness Kim Seng CC,Starry Snow,1,"I'm extremely let down by the lack of response, concern and most importantly accountability by both Kim Seng AF and its instructors for a ribcage injury i suffered during muay thai class last Saturday.

If you care about your safety during class, this is not the place to come as they do not care about nor manage the risks for you.

It was only my 2nd lesson for muay thai and the instructors (whom knew me from their previous kickboxing class) paired me with 2 much stronger and seasoned girls for long guard practice, for us to take turns to practise with one another.

One of the girls whom had partnered with me the week before and knew my level suddenly pushkicked me with considerable strength and i was taken aback. I felt pain on my tummy area and later on in the class when i informed the key instructor, he said a mild kick is ok even if i wasn't braced for impact. I practically skipped the latter part of group practice with the girls cos they were going at each other and i wasnt comfortable.

The pain persisted and i kept the instructor updated as it was so bad i couldnt sleep properly at night. Although he did respond, it was passive and i was just told to monitor it. I texted Kim Seng on sunday to inform about it and there was no reply since it was unstaffed which i understood.

On monday the pain and also bloatedness was still felt so i went to see a GP in the afternoon, n it was assessed that the pain came from the tip of my ribcage, meaning the push kick had been on my ribcage.

I updated both the key instructor and Kim Seng AF regarding the doc assessment. By then Kim Seng AF hadnt even responded to my initial text sent on sunday. When there was a reply, it was only an apology for late reply as the person standing in, a fitness instructor had been with a client. He said he would pass the message to the team for a follow up. I sent a text on tuesday to ask when can i expect a follow up, and there is no response at all, while i am writing this at 5ish pm on wed.

The key instructor's initial response to me was to deflect all responsibility, to it being an unfortunate event, claiming he cant control students' behavior and mistakes, that a push kick could be anywhere on the body as it is to simulate a street fight on defence and attack. That injuries are unavoidable. He assumed the girl's kick was unintentionally strong, even though he said he and the assistant instructor are unable to control n monitor everyone or give a person more attention to the other. Only after i persisted in my points on the lack of safety measures did he apologise on his carelessness.

Prior to this, i had a good impression of Kim Seng AF, of the instructors. So i even recommended my other gym frens from my previous AF to come here. They respond very fast when you ask about classes.

However when it comes to injury accountability, while I suffered an unnecessary painful injury, all that they responded was silence, deflecting of fault.

I do not find delight in writing this review. But if you want a safe environment and a gym that cares about your wellbeing, avoid this place.",,ChZDSUhNMG9nS0VJQ0FnTUNvcW83a1hBEAE
Anytime Fitness Kim Seng CC,PL Ow,5,"Enjoy myself the most at the gym, love the classes, especially zumba, yoga and pilates. Zumba classes are always so happy, and achieving my cardio goals, ZIN Asfah is incredibly fabulous (photo taken after class). And the staff members are always very welcoming and helpful, especially Sarah and Herzy. I love coming to the gym (5 days every week). Pilates class by Herzy is always structured and delightfully challenging, I enjoy his class totally.",,ChdDSUhNMG9nS0VJQ0FnSURXMXZ5N3ZRRRAB
Anytime Fitness Kim Seng CC,Liu Chengpei,5,Super nice gym. Trainer Herzy was super kind and nice. Motivated me to push myself and learnt a lot from him.,,Ci9DQUlRQUNvZENodHljRjlvT25GdVVHc3pkVzA0ZFhsa1RuaGtSa1owUjFOSlZVRRAB
