outlet,author,rating,text,date_posted,review_id
Anytime Fitness Labrador View,Jehna Malinis,5,"This branch is much bigger than the usual Anytime Fitness gyms I’ve been to, very spacious with plenty of room to work out comfortably. All the equipment is brand new, and even the small details like having brand new hairdryers are a plus. The views from the gym make workouts more enjoyable, and the staff are really kind and welcoming. Great place to train!",,Ci9DQUlRQUNvZENodHljRjlvT21oQlJWcFpaVTAxZEdGd1p5MXZTMlkzTFhZdE9HYxAB
Anytime Fitness Labrador View,Karen Kay Matias,5,"Great location with a view of the harboufront sunset!!

Space is not very crowded, always clean and complete with all the equipments I need!
Shower is perfect for those heading office after workout!

Very friendly and accommodating staffs!
Gigi has been very helpful in assisting me from the moment I signed up to sending me regular updates . She even went extra mile in assisting me and my friends who are doing free trial!

10/10 worth the gym fees!",,Ci9DQUlRQUNvZENodHljRjlvT2t4TU1IZzFVbDlaVURRMVlUUlFlVTVmVHpoV2RXYxAB
Anytime Fitness Labrador View,Mitcher Pang,5,"I can't recommend Anytime Fitness Labrador View enough. This gym truly stands out for two major reasons: the top-notch equipment and the incredible view.

The gym is always clean, well-maintained, and stocked with a fantastic range of modern equipment. Whether you're into cardio, strength training, or functional fitness, they have everything you need. The machines are from great brands and are consistently in working order, which makes every workout session smooth and effective.

But the real game-changer is the view! Working out while looking out over the water and the Labrador area is incredibly motivating. It turns a routine session into a genuinely enjoyable experience. It’s the perfect way to clear your head and energize your body.

The staff are also very friendly and professional, and the 24/7 access is the ultimate convenience. If you're looking for a gym that will make you want to work out, this is the place.",,Ci9DQUlRQUNvZENodHljRjlvT25saFFuY3lNbE0yVFc1R1oySlphM1prVVdaV2IxRRAB
Anytime Fitness Labrador View,Derrick Tay,4,"Nice decent size and new solid equipment! Also friendly and helpful staff!
However, air circulation is bad and temperature is too warm. The fans and air circulators is just not cooling the place like a proper airconditioner. There are many ceiling cassette aircon but only 1 is switched on.  Please improve on your air conditioning! Much appreciated!",,Ci9DQUlRQUNvZENodHljRjlvT2poTFZWaEJia3BrZGkwelNXNXJNMkpyTlVaUFEzYxAB
Anytime Fitness Labrador View,Aranya,5,"A very good gym with great equipment and good staff. There was something wrong with a machine and my friend reported it to Joyce and she noted it and got it repaired and then asked us if its done. We can clearly see that they have really really good staff, they also welcome everyone with a warm smile everyday. Overall this gym is veryy good.",,Ci9DQUlRQUNvZENodHljRjlvT2xkV1ZuVnJPVUZ4TFhBdFMwZExRMnMxTnpCWmVYYxAB
Anytime Fitness Labrador View,S T Wu,4,"Visited this newly opened gym at 8pm. It was quite crowded, but started to get less busy around 8:30pm",,Ci9DQUlRQUNvZENodHljRjlvT25VNU5VOXVNbU5MVVZjMVFuQkJYelowT0haUlFrRRAB
Anytime Fitness Labrador View,Ivan B,5,"Outstanding Service and Professionalism

I would like to commend the staff at the gym, especially Gigi, for her excellent service and dedication. Gigi is always friendly, approachable, and willing to assist with any questions with regards to contract/equipments.",,Ci9DQUlRQUNvZENodHljRjlvT2xkdFJVOTFWbWRsZFdGUlMwOUhMV2hvV2kxaGJXYxAB
Anytime Fitness Labrador View,kumiko,5,"it's a pretty good place. it has a bunch of equipment, good staff and great music!",,Ci9DQUlRQUNvZENodHljRjlvT21kRVpDMHdZMVZCTW5WNFgwbHVOSEUyUjNoVlUxRRAB
Anytime Fitness Labrador View,Andy Neo,5,Best AF I have been! Friendly and helpful staff! Great workout with a view! Can't wait for the rest of the equipments to arrive!,,Ci9DQUlRQUNvZENodHljRjlvT210TVYxQnRWV1JPVmpKM1JXTTFhRFpRUTFaV2JtYxAB
Anytime Fitness Labrador View,Clarence Chee,5,Clean gym with a variety of equipments. Staff were friendly. Recommended to try out this AF unit.,,Ci9DQUlRQUNvZENodHljRjlvT25KalVtWXlXVXRYTFZaZk5teE9XRnBKVG1sNlNGRRAB
Anytime Fitness Labrador View,Jane N,4,"Just opened on 15/9/25. Everything is clean and new. Came on a Tuesday 6pm and it was packed - could be the usual peak hour, could  be because it just launched. There’s 1 squat rack, 1 smith machine, limited machines.",,Ci9DQUlRQUNvZENodHljRjlvT2xkZlFrMDVVMVprU0VNNU1rbzBUREEzY1VZdFdXYxAB
