outlet,author,rating,text,date_posted,review_id
Anytime Fitness New Queensway,Jason Chua,5,"One of the best gym available in the region. Equipment are new and well maintain. At times we see new equipments as well.
Staff is always ready at front desk right at the door, to greet you and assist you with any queries.
Toilets are very clean. Overall its a good gym to go.

A regular here whom started with the old queensway and continue on with the NEW queensway!",,ChZDSUhNMG9nS0VKS3Izc3JudFpqbFJREAE
Anytime Fitness New Queensway,Jamie Lim,5,"Amazing new gym in the area! Great lighting, good equipment, very well maintained. The staff Wilger and Sherhan are always so welcoming and friendly , making it feel like my second home. Highly recommended to check this gym out!",,ChdDSUhNMG9nS0VOeUpzOXI0dXBxMm1nRRAB
Anytime Fitness New Queensway,Ayden Haikel,5,"I’d like to take a moment to sincerely appreciate one of the standout staff members at Anytime Fitness New Queensway, Ayden. From day one, he’s made the gym feel like more than just a place to work out, it’s become a space that feels warm, welcoming, and motivating, all thanks to his energy and effort.

Every time I walk through those doors, without fail, Ayden greets me with a big smile and a friendly “How’s it going?” Even on the days when I’m dragging my feet in, somehow his energy gives me that boost I need. He doesn’t just stop at a hello either. He checks in regularly to make sure I’m enjoying my workouts, the environment, and even the music playing in the background, which somehow is always on point. I swear he’s got a playlist for every mood.

One thing that always makes me laugh is his classic gym dad joke: “Why don’t skeletons ever go to the gym? Because they don’t have the guts!” It’s always delivered with the most serious face, which somehow makes it even funnier.

It’s the small gestures the check-ins, the consistent positivity, the genuine effort to connect with members that really set Ayden apart. He goes above and beyond to ensure everyone feels comfortable and cared for in the gym, whether you’re a regular or someone just starting out.

Ayden, thank you for making New Queensway not just a gym, but a community. Keep being awesome!",,Ci9DQUlRQUNvZENodHljRjlvT2pkZmFWRlVORWR3VEVZd1RUSktMVjl2TjNWWVluYxAB
Anytime Fitness New Queensway,Jack,4,"at first couldn't find the gym as I thought they had moved as I saw BFT. Then realised that AF was actually 1 floor directly above. Anyway the gym is really very clean, and new equipment that you could tell are well upkept. Just a bit small but it has everything you need.",,Ci9DQUlRQUNvZENodHljRjlvT2pCelJGVnhRMUUyYTJaaVJtdFZhRXMzYW1OdlgxRRAB
Anytime Fitness New Queensway,Gabriel lzx,5,"Since its opening, the gym equipment has been pristine and sufficient for most gym exercises. Over time, more gym equipment has been added, which makes it more ideal. The current state is perfect, not too packed as compared to other outlets.

The staff were extremely friendly, helpful, and professional, unfortunately, one of the staff, Ian is not around anymore. However, you can still look for Fiqah and Shannon, who will be more than willing to greet you with great hospitality.

Not to mention, the old Queensway gym left some good memories in the past.",,ChdDSUhNMG9nS0VKM3BzNWl1bEl6ZTRRRRAB
Anytime Fitness New Queensway,Yolanda Hertita Pratama,5,"One of the top gyms around! The equipment is excellent, the place is clean and well maintained, and the staff are welcoming. I highly recommend this gym!",,Ci9DQUlRQUNvZENodHljRjlvT2t0RlRubHRUazl5Tm5STlpVUlRlRWgyYkdSSlZrRRAB
Anytime Fitness New Queensway,Deon Chua,5,"af new queensway is very clean with new equipment that is organised neatly and they also have eleiko bars for powerlifters! they provide a lot of hygiene products as well such as q tips, deodorant and lotion and a dyson hairdryer!",,Ci9DQUlRQUNvZENodHljRjlvT21SeFFuUTBXSFZEUWpabE5Fa3hNbkpRTVRWUlRXYxAB
Anytime Fitness New Queensway,Hans Lee,5,"the place where hopes and dreams are sculpted. sweat and tears are the building blocks of the version of us we look forward to. very nice ambience, good temperature and humidity control. very friendly and helpful staff as well.",,ChZDSUhNMG9nS0VPN3l4S2FnNV82YkJBEAE
Anytime Fitness New Queensway,Ken Lim,1,"GYM is closed at night. Not 24hr. Sadly wasted my parking and trip here. Spoke to the guard at the residence here he mentioned AF has some issues with the building manager regarding rents.

To the Management Team: It would be the responsible thing to do by keeping your opening hrs up to date.",,Ci9DQUlRQUNvZENodHljRjlvT25sWE9EZGpiM1ZDYkdScmNuWnNTMGxTTWxsUlVWRRAB
Anytime Fitness New Queensway,Jemmy San,5,"I got this AF branch a 5 stars due to convenience and hospitality. Every time I walk in, I'm greeted with a smile, They genuinely seem happy to see members and create a positive, non-intimidating atmosphere, and share some free goodies.",,Ci9DQUlRQUNvZENodHljRjlvT25ScFkwMDVhM051Yms1SmNXYzJlWEIxWTNCeE5rRRAB
