outlet,author,rating,text,date_posted,review_id
Anytime Fitness Sembawang,Kuan Eddy,5,"This is one of the best gyms I’ve been to!
Great equipment, clean environment, and the staff are super friendly and helpful. I was an ex-member before they renovated and expanded. Ben was friendly to help me enrol back as member. Thanks!",,Ci9DQUlRQUNvZENodHljRjlvT2tkemNtWlFNV2x3WlVKdVZVeFJYMjlwTVRSV05FRRAB
Anytime Fitness Sembawang,Don Reyes,5,The club offers a wide variety of equipments and have 2 units to ensure space for their members. Equipments are well maintained and staff are accommodating and courteous to the members and non members who are inquiring. Its located inside Sembawang Shopping Mall so location wise is convenient. One of the best AF branches in Singapore I must say.,,Ci9DQUlRQUNvZENodHljRjlvT2xsblFVWlBSR2htVm1sM1pYWnhjRk5UWjA1dVVVRRAB
Anytime Fitness Sembawang,Muhammad Zulfadly Bin Abdul Manap,5,I had visited this outlet occasionally during pre-renovation and my previous membership (2019-2022). I love the layout post-renovation. More spacious with good equipment and racks + platforms for powerlifting. The dumbbell area is still a bit cramped but overall it's really good. There's also shower facilities. They have separate rooms for cardio equipment. It's also one of the outlets that offers group exercise classes.,,ChdDSUhNMG9nS0VJQ0FnSURfamNYbThRRRAB
Anytime Fitness Sembawang,Keft,5,Decent sized gym with seperate cardio area in the other room opposite to main gym. Best time to come is after 1am.,,Ci9DQUlRQUNvZENodHljRjlvT2s0eVNuWkZObUpyYlVNeE1sQnNiUzF6YmxCblozYxAB
Anytime Fitness Sembawang,Bazil j,5,"Gym is decent sized but is packed with great and friendly staff, especially Afiq and Dinesh. We did the 2 weeks challenge and they were accommodating and very encouraging, pushing me and my friends to push ourselves!",,ChZDSUhNMG9nS0VJQ0FnTUNJZ2RuNllREAE
Anytime Fitness Sembawang,Jiaren,5,"This gym always hold a special place in my heart with good staff, newly renovated equipments and space. Nestled in SSC, it is a very good location to gym in as you have plenty of food options for your post workout meal!
Highly recommend this gym!",,Ci9DQUlRQUNvZENodHljRjlvT2xsQ1pWVktSVEpTVG1adlpYRkZXa1UwVWs1UWNHYxAB
Anytime Fitness Sembawang,Sham Nat,5,Well maintened and clean equipments. Overal pleasent workout here in SSC AF. Keep it up ;),,Ci9DQUlRQUNvZENodHljRjlvT2paTFptZFZhV04wTFdJMFUzZFRialkzWlMwelJYYxAB
Anytime Fitness Sembawang,Coreen,5,"Really friendly staff and welcoming environment! Was assisted by Asyraf (i hope i spelled his name right😅) and he did a really good job of making the entire process real easy going! really really friendly guy, totally debunked my fear of stepping into gyms. Gym overall has necessary equipments as well as changing rooms & locker space.  10/10 would recommend Sembawang AF!",,ChZDSUhNMG9nS0VJQ0FnSURydU42RmVREAE
Anytime Fitness Sembawang,MIRA GEORGE,5,I had a great experience with Afiq at Anytime Fitness. He was very friendly and helpful in guiding me through how to use the Evolt machine. He explained everything clearly and made sure I understood my results. Really appreciate his patience and professionalism!,,ChZDSUhNMG9nS0VJUEM5TzZ5dzVmVUVnEAE
Anytime Fitness Sembawang,Joy Tan,5,"The staff there has been really helpful!
Especially Asyraf.
I even did a complementary Volt 360 Body Scan.
I will definitely do a revisit!",,ChdDSUhNMG9nS0VJQ0FnSURmd056ZnJnRRAB
Anytime Fitness Sembawang,Raymond John Rivera,5,"Been going here for quite a long time already, they recently had the gym refreshed and loads of new equipments. Not too crowded during peak periods too. My go to gym 💪. Highly recommended …",,ChZDSUhNMG9nS0VNR3A3NXltNWZ5akdnEAE
Anytime Fitness Sembawang,Selva,5,"Hands down, the best choice I’ve made is chose to get trained at Anytime Fitness Sembawang. Very friendly team especially Jordan who inspired me to undergo training. I look forward to walk through the doors and always feel amazing when I leave.

My experience with the Gym has been tremendous and I continue to keep up. Convenience at its finest. A special shout out to my personal trainer(PT) Kaden who has been always very much kind and generous.
When I started my training, I was around 86.2kg now reduced to 78kg in just a span of 1 month. Since I started working with him (Kade-PT),I’m amazed by the results, and very grateful for his help.

I’ve never been more proud to look at me “before” vs ""now"". Thank you for helping me come this far, your personal approach has worked wonders for me.

#teamkaden
#Jordan",,ChdDSUhNMG9nS0VJQ0FnSUQ2OGRlSHd3RRAB
Anytime Fitness Sembawang,Syed Isyraq,5,"Love the gym! Bug functional area that is a huge deal for me since I now train with kettlebells & the people there are absolutely great. Only thing is maybe one day Thye lol have have pairs of kettlebells instead of one kettlebell for each weight but that’s not really a big deal, great gym otherwise!",,ChdDSUhNMG9nS0VJQ0FnTURJeExfTDJBRRAB
Anytime Fitness Sembawang,Mohamed Rizal,5,"Great place,great vibes,great crowds and greatest staff. Been coming here for the past 5 years or so. Constantly upgrading of equipment. Staff is always helpful.",,Ci9DQUlRQUNvZENodHljRjlvT210bGIzVk1WRUZ5VkdWdVNsRmpiRE0yUkdkdE5uYxAB
Anytime Fitness Sembawang,Nicholas Bong,5,"Highly appreciate JJ from AF Sembawang for his exceptional customer service. He took the time to clearly explain the details of my billing issue and went above and beyond to assist me, even in areas beyond his usual responsibilities. JJ was not only professional but also genuinely understanding and patient throughout the entire process. It’s rare to find such dedicated staff who truly care about the customer experience. Kudos to JJ a high standard in service!",,ChdDSUhNMG9nS0VMaUtwTC01Z0w2NjFBRRAB
Anytime Fitness Sembawang,Kimi Heng,5,"Clean and well-equipped gym! Has everything I need for a solid workout. Machines are in good condition, and it’s not too crowded. Love it!",,Ci9DQUlRQUNvZENodHljRjlvT2xVMllqWkRUV3BKY1hWb05XSm5jbVJPWjJRM1dXYxAB
Anytime Fitness Sembawang,Vicknesh Velu,5,Have been a member here since 2017 and would highly recommend AF Sembawang. The equipment is enough for your workouts and the staff are extremely helpful. 👍🏾 …,,Ci9DQUlRQUNvZENodHljRjlvT21SbGNtVXdNMmxIWldGcWRuVlNiVFJsU0daYWNXYxAB
Anytime Fitness Sembawang,Lynn Low,5,"I've had a great experience at Anytime Fitness SSC! The customer service staff Afiq, is always polite, friendly, and super helpful. I have also recently started personal training with Nina for a month, and it's been amazing. She really focuses on personalizing my training plan for me, keeps me motivated every session and guides me on my form and posture. The gym is also very clean and spacious. Highly recommended!",,ChdDSUhNMG9nS0VJQ0FnTUNJZ2Y2cy13RRAB
