outlet,author,rating,text,date_posted,review_id
Anytime Fitness Sengkang Rivervale,Sihan Goi,4,"Came here for a morning workout. Reached around 7am and there were already people working out, but not too many. The place is quite small - one of the smallest AF I've been too. However, there's ample free weight equipment. 1 PL platform, 2 half racks (facing each other so can get squeezy if 1 or both wish to bench), 1 full rack, 4 barbells (2 hybrid bars, 1 Rogue 45lbs PL bar, and 1 WL bar. The bars spin fine, though I didn't check the Rogue bar. The platform is quite bouncy, so it was not ideal for WL. There's also a hex bar and an EZ bar, 5-20kg rubberised plates (not really bumpers) for the platform, and 1.25-20kg rubberised plates for the racks. Out of the free weights area, there are dumbbells up to at least 44kg (forgot to check), cable machines (very few plate loaded ones though), and the usual cardio machines. Facilities wise, there are pigeonholes and lockers, and 3-4 bathrooms (shower and toilet).

The gym wasn't staffed when I was there, though someone (presumably a PT) came in at around 9am and did a bit of housekeeping before his client. The gym looks generally quite old (both the equipment and the facilities), but still serviceable. Would be better with a regular platform and bumper plates though.",,Ci9DQUlRQUNvZENodHljRjlvT2tzd1VHSlpTamsyYjNsWFNGRnpiM05mVm0wNVJsRRAB
Anytime Fitness Sengkang Rivervale,Nur Jazlina,5,"Love the gym here. The staff here are nice and friendly.
Nicole is an incredible trainer. She helps me achieve my target weight with her expertise and motivation. What’s set her apart is to push me beyond my limits. Thank you Nicole and Af Sengkang Rivervale.",,Ci9DQUlRQUNvZENodHljRjlvT214Wk1IWkVMVXcxVm5aWVl5MTNZa0pwVWxCcWMxRRAB
Anytime Fitness Sengkang Rivervale,zahraa yusof,5,It was my first time signing up for a gym membership. It was very fast smooth and easy.. If youre an introvert or shy dont worry! The staff is friendly and accommodating. I was served by Elton who was very chill and easygoing.. Seems like the place to go for workout!,,Ci9DQUlRQUNvZENodHljRjlvT25FeWRUSllSWEpYTVdkc2NFWm5iekJpWmxaWk4yYxAB
Anytime Fitness Sengkang Rivervale,Rojaa A,5,"Good day  NICOLE
-I really appreciate your guidance your training sessions have made a big difference in my fitness journey.

-You’re always professional and encouraging. It keeps me motivated every session.

-I have noticed a lot of improvement since I started working with you thanks for pushing me the right way.

-Your workouts are well-structured
and never boring. I actually look forward to coming to the gym now.

-You’re a fantastic trainer ,Great session as always
Thank you",,Ci9DQUlRQUNvZENodHljRjlvT2t4Qk5FVnRSakpFWkVaSWFGVnNaREkwVkRKUGVXYxAB
Anytime Fitness Sengkang Rivervale,Aisyah Osman,5,"I really enjoy Ardy’s training. They are fun, very informative and he really takes the time to ensure it is tailored to your individual fitness level. He keeps you motivated and encourages you to progress and challenge yourself.  I have seen an improvement not only in my fitness but in my general confidence when exercising.  His positive attitude and warmth really puts you at ease making exercise enjoyable and not intimidating.",,Ci9DQUlRQUNvZENodHljRjlvT2tRM1VuQlBPVWRhTlV0V1ozbFVRVVZzTlc5WVQzYxAB
Anytime Fitness Sengkang Rivervale,Mhei Lu,5,commendable! they make sure their clients are happy and satisfied. nice facilities too. i always go here because of their location as well which is very convenient from my place. i had some concerns with my membership and they were able to address it well. 🙏 …,,Ci9DQUlRQUNvZENodHljRjlvT2xrMVdrSjJNMUZhVmxrdE56aHJlVE5hZVVkQ1kzYxAB
Anytime Fitness Sengkang Rivervale,Yu Cheng,4,"It was my first time there and had a great experience. The staff explained the membership to me in great detail and was extremely patient with me, helping me understand my benefits and offering the cheapest package eligible for me. I would definitely go back there.",,Ci9DQUlRQUNvZENodHljRjlvT2tWblExRlRWMDlHUWxnMVFsRllNbFZQVVVGTFFrRRAB
Anytime Fitness Sengkang Rivervale,revathi esn,5,"Its been 5 months since I joined the gym and I am so glad I did.
I was guided by Ardy who is an amazing cheerful trainer. I used to look forward to the sessions. His guidance on diet and training aligned so well with my goals. As a total newbie to gym, he ensure my 1st impression was best and took me through the process so well.
Thanks Ardy",,Ci9DQUlRQUNvZENodHljRjlvT2pCdmJYTmlZbFJoV2xOdWFYRlFaVGQxY21KWGRXYxAB
Anytime Fitness Sengkang Rivervale,beta uprising,1,"It used to be a decent gym where members from different disciplines of fitness could workout with the healthy amount of equipment that was provided. As of late, the amount of rogue power bars has been reduced to 1 from the initial 2 which made it inconvenient to train during peak hours as members have to wait a longer time, sharing that 1 bar. This is concerning as some members would resort to using the commercial bars which are older and have lower tensile strength compared to the power bars and when loaded with a lot of plates, it is whippier and a lot more unstable. I hope this gym is able to revert back to the former number of equipments it had to create a safer and accommodating environment for everyone especially when they have an increasing number of users who lifts heavy.",,Ci9DQUlRQUNvZENodHljRjlvT2xOU1NYTjRNblJ0T1VFNWRtdzNkRlYxVGt4Zk0zYxAB
Anytime Fitness Sengkang Rivervale,Abdul Fattah,2,"This gym used to be a good place to work out, with enough equipment for everyone, no matter what kind of training you were into. But lately, they cut down the number of good-quality power bars from two to just one. Now, during busy times, you have to wait longer to use it, which is really annoying.

Even worse, some people have started using the older, cheaper bars when they can’t get the good one. Those older bars bend more when loaded with heavy weights, making them shaky and less safe. With more and more people lifting heavy here, I really hope the gym brings back the extra power bar so everyone can train safely and without hassle.",,Ci9DQUlRQUNvZENodHljRjlvT2tWS1VFSlNTVTlMY1hwR1MyTXlhelJsTjIxUGFWRRAB
