outlet,author,rating,text,date_posted,review_id
Anytime Fitness West Coast Plaza,Muhammad Zulfadly Bin Abdul Manap,4,"The gym floor is spacious after renovation. It is more powerlifting friendly - 3 deadlift platforms, 3 squat racks. Couldn't say the same for the plates which are aging and worn. Plenty of machines for legs like hip thrust, hack squats. Too bad most of the gym-goera here couldn't appreciate this. They have a spacious functional training area and group classes too. There are plenty of shower stalls here as well. This would be an ideal outlet for me if it wasn't for the distance (i live in Yishun).",,Ci9DQUlRQUNvZENodHljRjlvT2w5SWVYQkhNa2REVjNOa04xOUlkRTFxYjBGTE9WRRAB
Anytime Fitness West Coast Plaza,Ribeye,5,"Anytime Fitness at West Coast Plaza is a modern, well-equipped gym. Accessible 24/7, this branch is particularly spacious.
With a wide range of cardio and strength training equipment, a functional training area, free weights, and spaces for class.
The gym's atmosphere is conducive and well maintained. Overall a clean, spacious environment for users in the area.",,ChZDSUhNMG9nS0VJQ0FnSUREa091TFlREAE
Anytime Fitness West Coast Plaza,Jenny Yew,5,"I've been training at Anytime Fitness West Coast for over two months now, and I just want to give a big shoutout to my personal trainer, David. I have a torn meniscus and my knee tends to get inflamed very easily, so I was initially quite hesitant about strength training. But David has been incredibly attentive and knowledgeable—always adjusting the workouts to suit my condition while still helping me make real progress.

Over the past couple of months, I’ve noticed a big improvement—my knee gets less inflamed, and my leg feels noticeably stronger. I’m really happy with the results so far and grateful for the care and guidance I’ve received.

Also, I really like this outlet—it’s spacious, clean and well-equipped, which makes the training experience even more comfortable and enjoyable. Highly recommend David and this location if you’re looking for a supportive and effective training environment, especially if you’re working with an injury or need a more tailored approach.",,ChdDSUhNMG9nS0VJQ0FnTUNvM3ZHX3RRRRAB
Anytime Fitness West Coast Plaza,ACKSHAL R,5,"I've been training with Lisa for the past few months, and I'm impressed with her ability to quickly assess my strengths and weaknesses and develop a training plan that addresses my specific goals. She is also very patient, understanding, and friendly.

I saw many negative comments about the gym and gym atmosphere. Don't believe those reviews. The gym is very clean, and the staff and trainers are very friendly.",,ChdDSUhNMG9nS0VJQ0FnTUR3aHRQbzlBRRAB
Anytime Fitness West Coast Plaza,Gerald,1,broken since March 2025. lets see how long these get fixed,,ChZDSUhNMG9nS0VJRF84dFhkekllQk5nEAE
Anytime Fitness West Coast Plaza,Zaty Roslan,4,"Gym is clean and theres this signature scent every time you come in. Tried visiting everyday in the evening the past week and it gets crowded from 5pm. Can be a little squeezy then. Appreciate the free space area for stretching or classes. Signed up for PT with Lisa who is very friendly, gives sound advice and encouraging. Hoping to hit fit goals with AF WC.",,ChdDSUhNMG9nS0VJQ0FnTUR3Z083MnZ3RRAB
Anytime Fitness West Coast Plaza,Breathe Easy Solutions,5,The guy ur looking for is seen around 3.03 pm near anytime fitness on 18 April 2025. He took. A look. At the paper and walked away. Please take action against people who trespass,,ChdDSUhNMG9nS0VJQ0FnTUNvNmYtRm93RRAB
Anytime Fitness West Coast Plaza,Himaja Kanna,5,"Before joining Anytime Fitness I had no knowledge about training in the gym. But after having training sessions with trainer Lisa, she has helped me give an introduction on how to use the gym equipment and enjoy working out. Highly recommend joining, gym is open 24 hours making it extremely convenient for busy students like me.",,ChdDSUhNMG9nS0VJQ0FnTUR3eUpDZ3ZRRRAB
Anytime Fitness West Coast Plaza,Engracia Toh,5,"Staff are friendly and the gym is big. It's not as fancy as those central gyms (like city hall) but there's a lot of equipment and space (and isn't as horribly crowded as central gyms lol). It also looks nicer after the recent renovation. Definitely good if you live in the area.

Also, my trainer Lisa is very friendly and helps a lot with my workout form and motivation at the gym. Have seen tangible improvements in the past 4 months (I go around 2-3 times a week: 1-2 pt sessions and 1 session on my own). Would definitely recommend for people with no experience trying to get over gym anxiety and build their basics

But female toilet soap dispenser still keeps getting stuck :<. Would appreciate if that was fixed. Also, if possible, a more advanced body composition machine would be great to help track our gains!",,ChZDSUhNMG9nS0VJQ0FnTUR3Mk02U2FBEAE
Anytime Fitness West Coast Plaza,Shrigauri Kanna,4,"This gym is a convenient place for people to work on themselves and achieve their goals. It is 24/7 allowing you to go whenever you can. The trainers are friendly, experienced, helpful and invested. Highly recommend joining.",,ChZDSUhNMG9nS0VJQ0FnTUR3d01EOU5nEAE
Anytime Fitness West Coast Plaza,Su Lee,5,"The West Coast Plaza outlet is awesome and spacious. Staff is very nice and friendly, makes the members feel welcome :) I also love some of the classes and the timing",,ChdDSUhNMG9nS0VJQ0FnSUNtMzhyY3B3RRAB
Anytime Fitness West Coast Plaza,Moony Lmm,1,"Terrible sound system and song choice. I am not sure it’s club or gym. Low maintenance!. If one machine is out of order, it will take forever to be repaired. Cable machine is terribly old. I wrote an email to provide feedback. I never got a reply. They were pretty quick to follow up when they started open up. Who knows? they never care of paying customers anymore after they got enough base people to get running. Treadmill belts - they are rusty and making a lot of noises, at least two out of three I tried. Hopefully there is another competitive gym providers in the neighborhoods and I am happy to switch.",,ChZDSUhNMG9nS0VJQ0FnSUNQbHJ6ektREAE
Anytime Fitness West Coast Plaza,The Duck Side,5,"Anytime fitness west coast plaza feels so comfortable.
If you need a trainer. Please choose Trainer Alissa.
Very professional, knowledgeable and committed personal training.",,ChdDSUhNMG9nS0VJQ0FnTUR3d0pPaXFnRRAB
Anytime Fitness West Coast Plaza,Taufiq Ismail,5,The club manager(Fandi) was very understanding regarding issues I have with my payment dues with the previous club and they assisted me with my payment fees. Thank you guys for the help and do keep it up!!!🥳 …,,ChdDSUhNMG9nS0VJN1ByUGFXcHBUVHZRRRAB
Anytime Fitness West Coast Plaza,debbie wilson,5,Recently the music at night has been good! Please keep playing this music playlist :),,Ci9DQUlRQUNvZENodHljRjlvT2taS09WZFFRVEkzZG5oblZVY3dhRFJhTUV0TlEzYxAB
