outlet,author,rating,text,date_posted,review_id
Anytime Fitness Woodlands North,Muhd Fadzil,5,"Absolutely love this gym! From the moment I walked in, the staff made me feel welcome and supported. The equipment is modern, clean, and well-maintained, and there's a great variety for both cardio and strength training.

Sha and Jose are knowledgeable, friendly, and genuinely invested in helping you reach your goals. I especially appreciate how motivating the environment is whether you're a beginner or experienced, you'll feel right at home.",,Ci9DQUlRQUNvZENodHljRjlvT2tSU1Z6UjNYek5DVGpONFVqRnBjWFJvWjNBeGJuYxAB
Anytime Fitness Woodlands North,Fiona Caritativo,5,The gym has enough machines to do your basic exercises. Great and friendly staff. Uniquely located in a bomb shelter and is a great place if you want to do a quick workout as it’s not often crowded!,,Ci9DQUlRQUNvZENodHljRjlvT2s5NlNXMDVTV3AyTmtaT1dFMHRUbEp1T1hBMExYYxAB
Anytime Fitness Woodlands North,Mira Zahirah,5,"Very friendly staff (approachable & knowledgeable), sufficient equipment. Neighbourhood-friendly so it's convenient. Staff/ service is always very responsive & their warm greeting each time I step into the gym makes me feel part of this community 🫶🏽 …",,Ci9DQUlRQUNvZENodHljRjlvT2xoQlVGWjBaRFJxWVhKMVpsTk5iV3RpY20xMFgyYxAB
Anytime Fitness Woodlands North,VV,5,"Super happy this AF opened here! Super convenient for residents in the area. For it’s size, it has a good range of equipment for the average gym goer (Seated shoulder press, Chest press, Butterfly (pec deck)/Rear delt reverse fly, Hip adbuction, Leg extension, and Lying leg curl) I think it has one more machine for the upper and lower body each, thread mills, stationery bikes, weights area and a small, but adequate calisthenics area.",,Ci9DQUlRQUNvZENodHljRjlvT2pRMFdtWmFjMDh4VDBoV2NqWlJZMHN6TjBSWFRFRRAB
Anytime Fitness Woodlands North,Poh Zhi Xian,5,"Been my go to gym since I started my AF journey. First ever bomb shelter gym, and I am very impressed by the amount of equipment in this gym. Do check it out if you are nearby!",,Ci9DQUlRQUNvZENodHljRjlvT25sWGNVdERNblZ0YjBkaGVubFBkRmhaVDI5UWEwRRAB
Anytime Fitness Woodlands North,Ong Yi Xue,5,have been coming for this gym for more than a year now & we’ve been enjoying the equipment here! bonus is the friendly & great staff who would greet us every time :)),,Ci9DQUlRQUNvZENodHljRjlvT21ZdGFEZHRja1J5WlZSclRreExRMWhRTmpSWlNIYxAB
Anytime Fitness Woodlands North,h reyes,5,"the staff at anytime fitness woodlands north are super friendly and helpful — really make you feel welcomed! shoutout to syakir & jose, both 10/10. highly recommend this neighbourhood gym 💪✨ …",,Ci9DQUlRQUNvZENodHljRjlvT2xJMVV6ZFdlakl5V1ZVd1ZWOTBkRkV0WlVSdVZHYxAB
Anytime Fitness Woodlands North,Hannah Salim,5,I recently visited Woodlands North Anytime Fitness. I have been impressed by their facilities and services. They had done an awesome job in spacing the equipment. The staffs (Syakir and Oliver) are friendly and knowledgeable.,,ChdDSUhNMG9nS0VJQ0FnSUNqeDZEQzFBRRAB
Anytime Fitness Woodlands North,Jingwen Lim,5,Convenient location for workout. The gym is well-maintained and it’s always a joy to exercise in this place.,,Ci9DQUlRQUNvZENodHljRjlvT2xWUE4zRkdSWGhWUVd4dk4yZEdZV1JaZHkxV2VIYxAB
Anytime Fitness Woodlands North,He Cheng En,4,"Compact but useful gym, but honestly the cubicles in the men's toilet could be more well maintained. One of the toilet covers is loose and the floor in the cubicle is wet alot of the times",,ChZDSUhNMG9nS0VOZjZ1b2JUbzUzSkRBEAE
