outlet,author,rating,text,date_posted,review_id
Anytime Fitness Alexis,Larry K,5,"Staffs are really friendly here and make members feel at home too whenever they see a member walks into the gym they greet them with a smile too, that’s very nice and rare to see in other AF gyms too!!

Gym lighting looks pretty good now and of course this gotta be one of the cleanest AF in Singapore too! 💪🏼

Machines here are well maintained and staffs are approachable and know their machines well, when a member needs help with certain machines or equipment can ask for help comfortably too :)

10/10!! 💯",,Ci9DQUlRQUNvZENodHljRjlvT21WNFRURm5hRE5rVjJoMGJIRlVNMnM0YldSa1NWRRAB
Anytime Fitness Alexis,Su Lee,5,"This is my ...3rd to 4th time here
Perhaps once in a month or few months here

Still so lovely...I love that there is one toilet and some shower rooms... Clean and in good condition overall.. it's quite spacious and there are alot of equipments. Not convenient to take pics as there are quite a number of members",,ChdDSUhNMG9nS0VJQ0FnSUNld09QTXR3RRAB
Anytime Fitness Alexis,Benedict Chan,4,"Irons 🏋️ 🏋️ 🏋️ 🏋️🏋️
Cleanliness 🐛 🐛 🐛 🐛🐛
Crowd 🧟🧟🧟🧟🧟
Fresh 🚿 🚿 🚿 🚿
Service 🙇 🙇 🙇 🙇
Hours ⏳ ⏳ ⏳ ⏳

Excellent gym. Weights, Stations, HIIT, Cardios and Recovery. The full works. Most complete - Even a punching bag and roller foams station with kettlebells. Good gym crowd - All purposeful. Towards students, mature and hardcores. Well laid out - split sections. Cardios facing big wall glass - expansion. 3 cubicles for shower 🚿. Always staffed and polite. Probably best AF I have been.

Best hours - 9am to 3pm",,ChZDSUhNMG9nS0VJQ0FnSURCcUsycmJ3EAE
Anytime Fitness Alexis,Shawn,5,"Nice gym lightings, friendly staffs and gym members.👏🏼

Most machines for all muscle groups are actually available at the gym already! 💪🏼 …",,ChdDSUhNMG9nS0VJQ0FnTURvNUxfb2lnRRAB
Anytime Fitness Alexis,Chili Red Arowana,1,"Big turn off, i cant find the toilet? You walk in you just see the exercise areas.. where is the locker or toilet? 2nd big problem is overcrowded, the weights/mat area is so tiny, one muscle man indian can chope about 30% of the space already? Another 30% a girl put a mat do her stretching？ its a small outlet, and too many ppl come here..",,ChZDSUhNMG9nS0VKbUx1c0tMczVYLVJREAE
Anytime Fitness Alexis,AP,4,"Great gym but needs to calibrate space management (equipment vs crowd). Staff also seems to have some misunderstanding with member - Approached a member who is on earpiece to lower down volume when no words have been spoken. When asked to clarify, unable to give a satisfactory explanation as to the request.",,ChZDSUhNMG9nS0VJQ0FnTURBNm9mQUVnEAE
Anytime Fitness Alexis,Seng Jie,5,Even though the place is quite packed but their equipments are well maintained and they have machines to train every part of your body.,,Ci9DQUlRQUNvZENodHljRjlvT2pkYVVraG5TbWR5ZERSNFpIaG9URUpVU0hVdGJVRRAB
Anytime Fitness Alexis,Kenneth Lee,5,"friendly environment, cool and chill gym goers.
solid equipment and machines, especially that v-squat machine.",,Ci9DQUlRQUNvZENodHljRjlvT2twUmVHMVhUM0pNT0hRd05GUnRVMVpWTURaV1oxRRAB
Anytime Fitness Alexis,typhoon gt,5,"The staff here are very nice and friendly, especially shawn. He goes out of his way to know the regulars :)",,Ci9DQUlRQUNvZENodHljRjlvT25KbGRrZzRWMlZTU0UxYWVHbE5lVmhCUmtveGRGRRAB
Anytime Fitness Alexis,Soliheen sol,5,Best gym. best staff.hygiene on top form .overall 10/10 gym experience,,Ci9DQUlRQUNvZENodHljRjlvT2s1TE5uaEVkVWRDTVVVMlVFcFlXVk5mTkhZeVJIYxAB
