outlet,author,rating,text,date_posted,review_id
Anytime Fitness Chai Chee,Sihan Goi,5,"Came here over lunchtime from 12 to 2pm on a Wednesday and it was not too crowded. This is a very powerlifting centric gym. There are only power bars - a range of Eleiko, Rogue and HS Power bars. The Rogue are in lbs. There are no hybrid bars nor weightlifting bars, but at least all the bars spin. I lifted with the Rogues - the centre knurlings are brutal. Equipment wise, there are 6 half racks and 2 full racks, 3 platforms, and at least 1 bar per rack/platform. Ziva bumpers (only 10kg, 20kg and a couple 5kg). There are also some old metal PL plates in the office. Loads of plate loaded and cable machines, cardio equipment, a large warmup area. Generally it's huge and open with no narrow corridors or areas, a good layout for a gym. Access is either via lift lobby to the right of Harvey Norman (when you're looking at it), or you can take the stairs/escalators from Harvey Norman to level 2 and exit to go to the gym. There is a shared unisex bathroom with a few female only stalls, sinks and Dyson hair dryers, but there are no toilets in the gym (there are public toilets outside the gym). Quite a nice gym that's well stocked in terms of equipment, but would've liked some WL/hybrid bars at least.",,Ci9DQUlRQUNvZENodHljRjlvT25GT2NGVlVSRzlZVlZCa2NsSlRNVlJ3T1VORmVrRRAB
Anytime Fitness Chai Chee,Jack,4,"One of the better gyms in the east. Space is huge and well spaced apart. Plenty racks and free weights and most of the machines are precor, which is different from those I'm more familiar with using hammer strength. There is also a free to use body composition scale, where most other gyms will be only accessed by gym staff. Surprised though while changing room is spacious there is only one water dispenser which doesn't dispense cold water? Or maybe I don't know how to operate.",,ChdDSUhNMG9nS0VMT3Z0cGZfM1o2Rm1nRRAB
Anytime Fitness Chai Chee,Ralph Gerard Ramirez,5,"Really nice gym with great machines and facilities. Locker room is spacious with shower facilities, toilets and hair dryers. Many racks and platforms for different lifts and they have machines that other gyms don’t. The atmosphere is great and really friendly. Would recommend to other gym-goers 🫰🏿 …",,Ci9DQUlRQUNvZENodHljRjlvT21sd2JEUnpOVUZuV21oaGRIa3RZeTFaVFVWUGVGRRAB
Anytime Fitness Chai Chee,You Kuang,5,"Goated gym for the easties imo, equipped with machines that most other outlets doesnt have, i.e Pendulum squat machine, hack squat machine and belt squat machine. It has over 8 squat racks and 2 smith machines too! A spacious functional space with a punching bag too! One of my favourite gym to visit for a killer leg session!",,Ci9DQUlRQUNvZENodHljRjlvT2pSTldGcHRiVFF0V0ZrMmRXWTRkRkJKYkZSdFNVRRAB
Anytime Fitness Chai Chee,Muhammad Azhar,5,"Great gym with a clean and well-maintained environment. The equipment is in excellent condition and there’s a wide variety available for both strength and cardio training. The staff are friendly, approachable, and always ready to help. The atmosphere is welcoming and motivating, making it a comfortable place to train at any time of the day. Highly recommend for anyone looking for a convenient and supportive place to work out",,Ci9DQUlRQUNvZENodHljRjlvT25aVVRtVXlYelIwYlVNeVVqTk9RbEY2UW1kVWFHYxAB
Anytime Fitness Chai Chee,Raiyan See,5,"been an AF member for 2 years plus now and have spent a lot of time trying out new gyms. to date I've visited over 30 AF branches in singapore and AF Chai Chee is still my favourite branch to visit. Tons of racks for heavy compound lifting without having to wait or share, and the machines are some of the best in the world with more than enough options to hit every muscle group that you need.
Gym is big and spacious, so is the changing room area. People are great too.",,Ci9DQUlRQUNvZENodHljRjlvT25WTlkzSTNPSGN0UjFsMVptVlFWR3RLZHpFME9FRRAB
Anytime Fitness Chai Chee,yi chun liu,5,"Nice environment and well-maintained machines. The gym can get a bit crowded during peak hours, but overall it’s a comfortable place to work out. Membership sign-up was easy too thanks to Rueben!",,Ci9DQUlRQUNvZENodHljRjlvT210V1h6TXdNblpHY1ZOTVV6VTNhbkJRYkMxemJtYxAB
Anytime Fitness Chai Chee,Cherzinga,1,"2nd time here, both times I got an allergic reaction on my hands using the machines. My hands and fingers were swelling I had to get medicine after. Today I found out why. I saw the cleaning uncle and I saw how he wiped the machines. He wiped everything EXCEPT the contact points (where my hands are supposed to go). Im paying you to clean well, not to give me an allergic reaction. Never coming back again. I didnt have this problem at the kembangan outlet ever

His shift: 4pm 20 Jun 2025

Also the rowing machine doesn't work",,Ci9DQUlRQUNvZENodHljRjlvT25GeUxXVjBWRzlaYVVkV2RsWm9XRVJRV0dkSlJYYxAB
Anytime Fitness Chai Chee,Eesan Neo,5,"I've had a great experience with Anytime Fitness. The convenience of 24/7 access is a game-changer, especially with a busy schedule. The gym is always clean, well-maintained, and never overcrowded. Equipment is modern and versatile, and there’s everything you need whether you're into weightlifting, cardio, or functional training.

The staff is friendly and approachable, and they genuinely care about members’ progress. I also appreciate the supportive community vibe – it’s a welcoming environment for beginners and experienced gym-goers alike.

Highly recommended if you're looking for flexibility, good facilities, and a positive atmosphere.",,ChZDSUhNMG9nS0VQWEdsdS13OHVuV2N3EAE
Anytime Fitness Chai Chee,Anthony Low,5,"My favourite gym in all of sg, good vibes, best staff, the place is clean and well maintained, amazing environment. Genuinely one of the best gyms I’ve trained at",,Ci9DQUlRQUNvZENodHljRjlvT2sxRVQycDNZMVl4ZDJ0dlZsZzBSa3c0TVVnMFJFRRAB
