outlet,author,rating,text,date_posted,review_id
Anytime Fitness City Hall,Jack Liaw,5,"⭐️⭐️⭐️⭐️⭐️ Outstanding honesty and care from the staff!
I recently misplaced my iPad Pro at Anytime Fitness City Hall and thought it was gone for good. To my surprise, the staff kept it safe and returned it to me when I came back. Their honesty, professionalism, and genuine care for members truly deserve recognition. It’s rare to find such trustworthy people these days.
Thank you to the whole team for going above and beyond — you’ve earned my full respect and gratitude. Highly recommended gym with amazing people! 💪✨
Thanks every AF cutyhall staff.",,Ci9DQUlRQUNvZENodHljRjlvT25wb2RYcDJVekZQY1ZSdmJWUnhVME4wWVRaSmFFRRAB
Anytime Fitness City Hall,Karin Ng,5,one of my favourite gym!!! spacious with good & clean equipments. staffs are super friendly and nice as well. ++++ they have nutripod 10/10!!!!,,Ci9DQUlRQUNvZENodHljRjlvT2w5UU5XYzNkbko0WkRGVVZtMHhhR1YwZUVsWlgyYxAB
Anytime Fitness City Hall,Deckerz,4,"⭐⭐⭐⭐⭐
A well-equipped and welcoming fitness space.

I've been really impressed with this Anytime Fitness location. The gym is well-maintained and offers a complete range of equipment to support any workout style. There's a full set of dumbbells, multiple pull-focused machines (I counted at least four), and a great selection of cardio machines that are almost always available—no waiting around even during peak hours.

Whether you're into strength training, cardio, or functional fitness, you'll find what you need here. The atmosphere is clean, organized, and conducive to a focused workout. Definitely one of the better Anytime Fitness branches I've visited.",,Ci9DQUlRQUNvZENodHljRjlvT25aaU9YUlZZMUZ5VVdZMmJGUmpkSE5tZFhaWUxWRRAB
Anytime Fitness City Hall,Jerald Chong,5,"Extremely pleasant and satisfactory experience each and every visit with welcoming and friendly staff, clean and efficient equipment which are often well maintained in terms of usability and cleanliness.

Safety is always prioritised and strongly enforced to keep the welfare of the members in mind.

Really spacious gym, even during peak hours, where I am not required to necessarily wait long for equipment or share with that many people. Many mirrors and satisfactory lighting for those who are into taking aesthetic pics/vids.

Convenient location within citylink mall, with many nearby eateries and shopping options.

Definitely my go to gym of choice whenever I’m around town or done with work.",,Ci9DQUlRQUNvZENodHljRjlvT25CcFJrSnJlakpWUm5CWGVUTllNR1YxVFZZeldGRRAB
Anytime Fitness City Hall,PZ C,5,"I don't really know how to use gym equipment so all 5 stars in this review are primarily for Seed who teaches the Zumba class on Fridays at 7pm. His energy and exuberance is infectious, he brings an impressive array of dance and musical genres into the choreography and the class is welcoming to people of all levels, whether you're a regular with some dance background or a total newbie just looking to soak in the good vibes. I don't really have a preference for AF outlets since the machines are the same everywhere but it's the instructors who make all the difference. Thank you Seed for giving your all every class!",,Ci9DQUlRQUNvZENodHljRjlvT2tWd09VMU1RV3ByVGtsNFdIUkVSbkZMTFVGaE9IYxAB
Anytime Fitness City Hall,Jeryl Aw,5,"The place is very spacious, clean, well-maintained. Staff is very friendly and welcoming with each visit.

Location is very conveniently located at the central where there are ample amenities as well.

Anytime Fitness City Hall is my go-to outlet.",,Ci9DQUlRQUNvZENodHljRjlvT2pkdFFsTmxVSGRoVm5CeFdGWk5OR3hyTVZwWGIzYxAB
Anytime Fitness City Hall,Adam Mcilroy,5,Af cityhall is one of the best gyms to use in singapore for strength training and bodybuilding. Staff are always friendly and ready to help. Gets crowded during the main peak timings (after office crowd) so best to hit it up outside of that timing to maximise your experience.,,Ci9DQUlRQUNvZENodHljRjlvT21KVmVUZDVZamhYUmpWWFYyY3dWazFHTlRJdGQxRRAB
Anytime Fitness City Hall,alëna ong,4,"One of the biggest AFs in Singapore, I reckon. Equipment selection is diverse and maintained accordingly. Accessible location, and helpful and cheerful staff. Only downsides here are the lack of access to sunlight as a gym in the basement and the insane crowds.",,Ci9DQUlRQUNvZENodHljRjlvT21kaGEyVTNUekZHZVVaNldsaFJkV3B2UVhnMVJrRRAB
Anytime Fitness City Hall,Alan Lim,5,"Had a very pleasant sign up with Hirda, been training with Leonard  since I joined and never look back.

Gym is spacious, clean, well-maintained. Staffs & trainers are very friendly.

Definitely one of the better Anytime Fitness branches I've visited.",,Ci9DQUlRQUNvZENodHljRjlvT2tjdE9XSmpRbUp3WW5GUGIyeEdRVmRFTTJwUGVHYxAB
Anytime Fitness City Hall,jerome foo,5,"AF City Hall is easily one of the best gyms I’ve been to. The space is clean, well-maintained, and stocked with a wide variety of equipment that caters to all kinds of training — whether strength, cardio, or functional. The location is super convenient as well!",,Ci9DQUlRQUNvZENodHljRjlvT2xScGFsWmFMVFJhVUdKS1ZVWm1SV0pNYVMxTVluYxAB
Anytime Fitness City Hall,Sihan Goi,3,"Update: Was just there earlier today for a morning workout. I was doing some clean and jerks, and it got a bit heavy so I dropped the bar from overhead. Note that this branch has bumper plates, spin bars, and platforms, i.e. equipment that are well suited for weightlifting. However, right before my last set, a gym staff came over and told me in a displeased manner ""Sir, this is not a powerlifting gym"", and told me that dumping the bar from overhead was not allowed. While I can understand gym rules (and I complied with it in my final set), the way and manner in which he brought it to my attention was no ideal. Also, there's quite a lot of unpack in his statement. First, I wasn't ""powerlifting"", I was ""weightlifting. A gym staff who doesn't know the difference between the 2 sports doesn't instill a lot of confidence. Secondly, this gym has Eleiko powerlifting competition bars, so if it isn't a ""powerlifting gym"", i.e. it disallows powerlifting, I wonder why they bothered getting powerlifting equipment?

Minus 2 stars for the bad experience.

This is apparently the biggest AF in Singapore, and while it's big, it wasn't as huge as I expected, and isn't substantially bigger than, say, AF Pasir Panjang. Equipment wise, it's definitely well stocked. There's a warmup area with all kinds of warmup equipment (foam rollers, smfr balls, bands of various thicknesses, plyo boxes, light dumbbells, kettlebells, etc). I didn't take note of the machines too much, but the free weights area is also quite well equipped, with 3 half racks with attached platforms, another 3 full packs, Ziva hybrid bars and bumper plates, and a couple of Eleiko Pl bars. The platforms and bumper plates aren't the usual bouncy Hammer Strength ones, and don't look as new as the gym (maybe used elsewhere before?) but they also don't bounce as much, which helps with the noise. I also didn't see any specific warning against dumping the weights, so that's nice. Crowd wise, it was quite manageable on a Wednesday lunch time around 1 to 3pm. Was able to get the half rack and platform to myself. Shower facilities are also one of the better ones compared to other AF. Overall, a good place to train if in the area.",,ChZDSUhNMG9nS0VJQ0FnSUNkcExPRU1REAE
Anytime Fitness City Hall,Jeryl Aw (BluntValor),5,"My experience here at City Hall AF has been very positive. The area is neat, centralised and maintained well. Will recommend this outlet!",,Ci9DQUlRQUNvZENodHljRjlvT2xSSGJsZGFZelJ3TlZWb1VuRm1aVzU0VGtGR2FVRRAB
Anytime Fitness City Hall,LX Koh,5,"Been training with Leonard and he has been a great trainer and mentor. He’s a good listener and motivator. My life has changed for the better.

The equipment is well maintained and there is a huge selection. I’m not disappointed. The location is convenient and I have to admit I’m spoiled by the range of equipment. I can’t see myself going anywhere else.

Small note: please ensure there is enough moisturiser and deodorant in the female toilet, as they run out often.",,Ci9DQUlRQUNvZENodHljRjlvT2xWV1pqWjVWbU5wYjJNMFYwOTFhMFowWWxWb1JIYxAB
Anytime Fitness City Hall,Alexander Aaltonen,5,"Wow amazing gym, the biggest AF gym in Singapore! They pretty much got every machine and equipment you'd need for any workout!

Super spacious and well organized layout. Lighting is well planned too, which adds to the aesthetics and something out of the ordinary AF gym interiors you might find elsewhere.

I came on a Sunday early afternoon, so the crowd wasn't that bad. I'm sure weekdays after working hours might be worse.

Awesome gym. Will be back for sure!
💜🖤🔝",,ChZDSUhNMG9nS0VJQ0FnSUNsM3U3RUhREAE
Anytime Fitness City Hall,angelyn mok,5,"Firstly, i would like to compliment to awesome club mgr - Shamil, personal trainer - Hirda & Rasid, they’re very friendly, knowledgeable & patient in their coaching and took their time to explain each equipments.

Secondly, been member about 3 months, during lunch all Treadmill was fully occupied, have to wait about 20-30min, It is wasting time to rush down and waste money for keep paying member fee. As due to my health condition, for myself only can work on Treadmill, so i join AF@City Hall & also recommended by my CFO who is also member of AF.

Hope owner of AF increase the treadmill during peak hours or lunch.",,ChZDSUhNMG9nS0VJQ0FnSURfbUtqS0NnEAE
Anytime Fitness City Hall,I_Just_a Aiskajang,1,"The male fitness coaches here are excellent and very friendly, and the gym is always tidy and clean. However, I feel that some of the female fitness coaches could work on being more polite and approachable. Improving their attitude would make the overall experience much better for everyone.",,Ci9DQUlRQUNvZENodHljRjlvT2xKTFpWUXphV2xJUW5OUFRscE1MVTl4ZFdKelFsRRAB
Anytime Fitness City Hall,Justin Hoyo,5,"This is definitely my favourite anytime fitness in Singapore! Extremely spacious, equipments are well-maintained, facilities are clean, abundant power racks (8 power racks in total and 3 deadlift platforms!), dumbbells go up to 60kg, etc…

Given that it is situated in town area, it can get pretty crowded after 6pm, so be prepared. But in the weekends, it’s generally quite empty!",,ChdDSUhNMG9nS0VJQ0FnTUNRd29icXpBRRAB
Anytime Fitness City Hall,Hana Leong,3,"City Hall AF’s got such a great space and solid equipment range, and always a good energy fro the crowd. But the adductor and abductor machines have been out of order for over a month now, and it looks like another leg machine’s joined the holiday. Maybe they’re just waiting to complete the “leg day outage” collection before fixing them all at once.",,Ci9DQUlRQUNvZENodHljRjlvT2tsdGMyaERlbVJtV0c5NVh5MXFkMk53TmxoMFNsRRAB
Anytime Fitness City Hall,jonathan low,5,"There are many Anytime Fitness gyms in Singapore, but having a great one in such a central location at City Hall is a real plus. The gym is spacious, clean, and well-maintained with a good range of equipment for both strength and cardio. The atmosphere is welcoming, and members are generally polite and considerate. The staff and trainers do an excellent job of keeping the environment positive, so both regulars and first-timers feel comfortable training here.

I personally train with Affandy, and the experience has been fantastic. He not only pushes me to improve physically, but also takes the time to check on overall wellbeing—things like nutrition, recovery, and stress management. Having a trainer who genuinely cares makes a big difference, and it keeps me motivated to stay consistent.

5 stars for Anytime Fitness City Hall, and definitely 5 stars for Affandy!",,Ci9DQUlRQUNvZENodHljRjlvT201MU1VVnFhM0JFUnpGTU1uQjNXVEJhVFV3NU5GRRAB
Anytime Fitness City Hall,Jeremy Chan,5,"This is the 1st time I’ve been this gym & just entering it blew my mind away! This gym can compete with the Chai Chee branch IMO. Albeit the Chai Chee one has a few less common equipment, this gym definitely has more than the other Anytime Fitness(apart from Chai Chee, they are on par) gyms in Singapore.

The equipment, machines, free weights etc. are all pretty much brand new & in pristine condition. If I had to decide whether this or the Chai Chee branch were my favorite AF gyms in Singapore I would be extremely hard pressed to choose. The are both @ the top for me. Top 3 AF gyms in Singapore are City Hall, Chai Chee, & then Geylang Central. In order expect for the top 2 where I am unable to decide, lol.

*Update* : After being to both this City Hall & Chai Chee AFs a few more times again. I’d like to mention that IMO, City Hall is now the clear winner & would be @ the top of my list of best AF gyms in SG. You have designated toilets/showers for both genders, & a staff consisting of some veteran trainers. Apparently the gym gets crazy packed during peak hours though, so y’all might wanna watch out for that. I go usually during early to mid afternoons & there are more people than other AF gyms even during those hours. Hope all these info helps!",,ChZDSUhNMG9nS0VJQ0FnSUNkczRId2FREAE
Anytime Fitness City Hall,Junda Jd,5,"Been working out with them ever since they opened. Huge area with a great layout and good choice of equipments.

Toilets are regularly cleaned.

Staffs are friendly, music is great and they are constantly trying to improve on what they can.

Faulty equipments/wear and tear gets turned over really quickly.

Thanks guys!",,Ci9DQUlRQUNvZENodHljRjlvT2tGRWQweDVXWFV4YkZVdFNHNVlXbmh4U0dSS1dtYxAB
Anytime Fitness City Hall,Benedict Chan,4,"Equipment 🏋🏿‍♀️🏋🏿‍♀️🏋🏿‍♀️🏋🏿‍♀️🏋🏿‍♀️
Cleanliness 🐛 🐛 🐛
Crowd 👥👥👥👥👥
Facilities 🏛️🏛️🏛️🏛️🏛️
Spot 🅿️ 🅿️ 🅿️ 🅿️
Overall 🏆 🏆 🏆 🏆

Biggest AF in SG - possibly. Most generous equipments - possibly. 3 to 4 deadlift stations and racks. Include a wheel to flip too. Loads of cardio machines (but why?). Got a spacious studio for classes. Stretching/TRX corner tad small for big gym.

Crowd is lively - mainly youngsters from nearby uni or schools. Alot there to socialize.

Good if you're there to social but may not be great to train as groupies hang out here.

Restroom and shower a little messy and not that clean compared to other AFs IMO.

Good for those who wants a social place for motivation to work out or right in heart of town.",,ChZDSUhNMG9nS0VJQ0FnSUNYdnVQaE9BEAE
