outlet,author,rating,text,date_posted,review_id
Anytime Fitness Gambas,Hayalperest,5,"A small gym, but well-equipped with everything you need for a solid workout!

All my favourite machines are here, including the preacher curl bench and the cable crossover machine.

The staff are humble and friendly not rude or snobbish like in some other places. Even during peak hours the gym is not crowded which makes for a comfortable workout environment.

This was my first time at this branch, and I must say it didn’t disappoint.",,Ci9DQUlRQUNvZENodHljRjlvT21KaWFXMU9WazlwYmtvd1NIZG9VR0Y2V25od2MwRRAB
Anytime Fitness Gambas,Jiccadi Jac,5,"⭐️⭐️⭐️⭐️⭐️
Love the vibes at AF Gambas! 💪 The team here is super friendly and always makes you feel welcome. Big shoutout to Manager Mary for keeping things running smoothly, PT Zee for the killer workouts and motivation, and Rama at the front desk for always being so cheerful! Honestly, best gym crew ever 🙌🔥",,Ci9DQUlRQUNvZENodHljRjlvT25wVWJqVlVVMEpJTVhkcWExWkpVMmRIV1hRelkxRRAB
Anytime Fitness Gambas,Muhammad Zulfadly Bin Abdul Manap,5,"It's a new outlet near to where I lived. Equipment are comparable to those higher-end gym chains although lacks in number. Not as big as AF Northpoint or Sembawang shopping centre, but it's decent. There's squat racks and space for deadlifts (although no platform). Overall would foresee myself visiting here to train often.",,ChdDSUhNMG9nS0VJQ0FnSURfaWF6UTZBRRAB
Anytime Fitness Gambas,Cassandra Joyce,5,"Really enjoying my time at this gym! The Female PT  is super supportive and motivating, and the Manager in charge is always friendly and welcoming. The space is clean, well-equipped, and has a great vibe overall. The only downside is that there’s just one toilet, which can be a bit inconvenient during peak hours. Other than that, it’s a fantastic place to train!",,Ci9DQUlRQUNvZENodHljRjlvT25jMVYyUkJTbWRSZURCdmJWQjJOazlaZFdsRVFrRRAB
Anytime Fitness Gambas,SK “S.Monster” Smallmonster,5,"The gym may be small, but it’s really comfortable and well maintained. It has everything I need for a solid workout, and the environment feels welcoming. Great for those who prefer a more focused, less crowded space!",,Ci9DQUlRQUNvZENodHljRjlvT2xkVGRFSmxNbEZaUm5JMWFXVmZTVzVIU213d01tYxAB
Anytime Fitness Gambas,dones matthew,5,"this staff , is vv friendly and accommodating. definitely the machines and dumbbells are well maintained and gym quite clean definitely would recommend coming here",,Ci9DQUlRQUNvZENodHljRjlvT2tKdlZrNTBNME5HV21aRk9UaDBXalZTUlRkV1ZWRRAB
Anytime Fitness Gambas,CH,3,"I would give this gym 5 stars but I had to take two off for only having one toilet, and for how messy it is. Here are some pics of the mess.",,ChZDSUhNMG9nS0VJQ0FnTURvNl82OEN3EAE
Anytime Fitness Gambas,Luiz Miguel,5,"Very convenient as it is very near my home , walking distance . Solid equipment with lots of variety , and I especially love hammer strength equipment ! Deadlift platform is a big plus as well . Toilet very clean , very hotel-esque . Comfy environment , chill and friendly staff . Give this gym a go ! 🙌🏼🙌🏼 …",,Ci9DQUlRQUNvZENodHljRjlvT2s5VGRIZDFPR1Z5ZEVJM2RIaDZRVmhrTjJ4WGIzYxAB
Anytime Fitness Gambas,thanyaaa magg,5,Amazing place with very friendly staffs and members’ always welcomed into AF with a warm smile from the staffs who never hesitate to help me with any issues I have. Has many equipments for use and is very clean. Special shout out to Zee for the amazing PT sessions! My go to gym for sure.,,Ci9DQUlRQUNvZENodHljRjlvT2xsRlVXRjBlRVJDTkRkR2VqVnJUV0pVZW14aFZsRRAB
Anytime Fitness Gambas,Sagai.M,5,"My favorite place to work out! The gym has a great variety of equipment, the vibes are peaceful, and the music always keeps me motivated. Perfect spot to focus and enjoy my workouts.",,Ci9DQUlRQUNvZENodHljRjlvT2tOV2J6WkJRbmN0VFhodFNsSTNjM053T0ZCT2RtYxAB
Anytime Fitness Gambas,Muhammad Saadan,5,Gym has great equipments especially the hammer strength machines . A relatively a mid size gym but managed to hit a solid chest workout there!,,Ci9DQUlRQUNvZENodHljRjlvT2pkNVRITllXVFprZURGbFpFTTJhR1IzZFRGb1JWRRAB
Anytime Fitness Gambas,Arion Gam,5,"Staffs are very helpful, the gym equipments are sufficient and catered to my working out needs. Accessible to anyone staying in the north (Sembawang/Admiralty). Definitely recommend!",,Ci9DQUlRQUNvZENodHljRjlvT2pOUk1XaEZVa2swWTJndE5ERmxTRkF5YTFoYWIwRRAB
Anytime Fitness Gambas,Arickheartz SW,5,"The staff are very friendly, there were multiple times I had to charge my phone and they willingly assist :)

Dope gym playlist as well, the gym allows song requests from members.",,Ci9DQUlRQUNvZENodHljRjlvT2pOd1lUVnFXbUZ5WTBOS2JHUnNhRU55UnpZelZGRRAB
