outlet,author,rating,text,date_posted,review_id
Anytime Fitness Mountbatten,Spartan Dan,5,"A nice and pleasant gym.

Equipments well maintained and not so crowded in the morning.

Definitely have a very dedicated PT to guide clients during training.
I was observing how Ross conducts his training to his clients.

Very professional. Goes slow and gives his client time to learn and adapt to the exercises safely. Hope more people comes here to benefit from his training. Keep it up.💪💪

Thanks for the pleasant experience Mountbatten",,ChdDSUhNMG9nS0VJQ0FnTUNZc2F2enJRRRAB
Anytime Fitness Mountbatten,Elfarina Roszaini,5,"It’s been about a month since I joined Anytime Fitness Mountbatten, and it’s been such a refreshing way to get back into movement. The gym is clean, bright, and has everything I need without feeling overwhelming.

Big thanks to Kim at the front desk for always being warm and helpful, and to trainers Ross and Andi, who are super supportive and never pushy. I also love that the 24/7 access gives me the flexibility I need, especially on tougher days.

Glad I took the leap!! It has been a really grounding return to my fitness journey.",,Ci9DQUlRQUNvZENodHljRjlvT25KV01GaDNkVmcwV0hRNVowSnBhMjFHTVdNMlRuYxAB
Anytime Fitness Mountbatten,Sagar Waghunde,5,"Spacious gym with a great range of equipment to target every muscle group.

Been training with Andy lately — amazing PT who knows his stuff. I’ve been working out for years, but still feel the burn after every session. Happy and sore in the best way! 😄🔥",,Ci9DQUlRQUNvZENodHljRjlvT2tGblRHaGxkMWxVYkVRd1FqazBNelJCYzFsdldXYxAB
Anytime Fitness Mountbatten,Robin Maibam,5,It’s been 6months I joined AF and AF Mountbatten is always been my stop point and my PT Ross is been helping me out on my fitness journey. He is an excellent coach and a friend now. Now I felt more confident and will continue supporting you guys. And I’m so happy to see the improvement in keeping the club clean. Thank you to the team,,Ci9DQUlRQUNvZENodHljRjlvT21wU2FHbExZamhOZDJSaWEzRXljQzF1WVhaTWNYYxAB
Anytime Fitness Mountbatten,Alexander Aaltonen,5,"Probably my new favorite AF gym! Even though this isn't my home gym, I've been coming here quite a bit ever since they opened.

Equipment is brand new and the facilities nice and tidy. They've got pretty much all the essentials and even four racks and two platforms -- making this ideal for leg days 🦿🦿

Usually come here late in the evening and weekends, so far it hasn't been that crowded. 👍",,ChZDSUhNMG9nS0VJQ0FnSUQ1N291Z2VnEAE
Anytime Fitness Mountbatten,Max Chan,5,"I’ve had a fantastic experience at AF Mountbatten! The staff are always friendly, welcoming, and ready to help whether it’s answering questions, giving a cheerful greeting that makes training more enjoyable. The service here is top-notch,everything runs smoothly and you can tell they really care about their members.The equipment is excellent , modern, well-maintained, and with plenty of variety to suit all kinds of workouts.Overall, AF Mountbatten has created a great environment for fitness, and it’s clear they take pride in keeping both the facilities and the atmosphere at a high standard. Highly recommended!",,Ci9DQUlRQUNvZENodHljRjlvT2sxRGNrdEJSbGt4YUY5SVkxOXlUVVo0T0RSZlJFRRAB
Anytime Fitness Mountbatten,Kenny Lim,5,Been going to this branch for 2 mths.  The environment is nice and the staff and my PT Andy r friendly and helpful.,,Ci9DQUlRQUNvZENodHljRjlvT2tJdFpYRXlha3d5VEdRNWFIcHpWMEZNVW01ekxXYxAB
Anytime Fitness Mountbatten,Achmad Firdaus,5,"It’s been close to a month since I took up the July promotional offer for membership at AF Mountbatten, and it has been a great re-introduction to being active and gymming again after a long break. The membership also allows 24/7 access to all AF gyms, locally and worldwide, and this has been great for flexibility and convenience.

Over at Mountbatten, the gym has a bright and welcoming atmosphere, with clean, well-maintained facilities and equipment that make workouts a lot more pleasant.

Special mention to Kim at the front desk for her warm professionalism, and to trainers Ross and Andi, who are knowledgeable, approachable, and always ready with practical advice on form and technique that makes workouts safer and more effective.

For anyone looking to kickstart or restart their fitness journey, AF Mountbatten is a fantastic choice.",,Ci9DQUlRQUNvZENodHljRjlvT21sUGQxbEZRamRMV1doeFp6ZENaR05pWmpaNWFHYxAB
Anytime Fitness Mountbatten,Daniel Ng,5,"Went on a Friday night and around 8pm and the crowd was pretty quiet! It's a cosy space with equipment well laid out and the lighting is top notch, very bright. Not a plethora of machines, but enough to get a decent workout in. Unique thing about this AF are the Hammer Strength machines that most AFs don't have, personal favourite is the iso low row!

Slightly strange that the locker area is completely open so anyone at the power racks can see you there. Overall, super clean and well maintained equipment, a nice cosy gym.",,ChdDSUhNMG9nS0VJQ0FnSUM5dzgtVjZnRRAB
Anytime Fitness Mountbatten,Kim Ricafort,5,"great new gym around the vicinity!

spacious, clean, great music and well ventilated. my new favourite near my residence, great variety of machines, weights and racks. a hip thrust machine hip thrust machine would be a cherry on top.

keep it up!",,ChdDSUhNMG9nS0VJQ0FnSUQ1eXJXOWlnRRAB
Anytime Fitness Mountbatten,Chai Yee,5,"100% RECOMMENDED!

The staff especially the Club Manager is friendly and knowledgeable, the equipment is top-notch, and the gym has a fantastic, motivating atmosphere. The cleanliness standards are impeccable, making each workout enjoyable and worry-free. I highly recommend this AF branch to anyone looking for a positive and effective fitness experience! Thanks AF Mountbatten!",,ChdDSUhNMG9nS0VJQ0FnSUNONUstanN3RRAB
Anytime Fitness Mountbatten,mathew dias,5,Excellent service. Clean gym and staff are helpful. Andy is an excellent trainer. Grateful to him for helping me achieve my fitness targets.,,Ci9DQUlRQUNvZENodHljRjlvT2tSaU5UQjFlWGx0U0VoT1dFNWlWMUZVY1RCcVVrRRAB
Anytime Fitness Mountbatten,Parth Ganatra,5,"The gym is very good quality, all the equipments are well maintained. Andy my trainer is superb, very engaging and motivating to push and helping me get better.",,Ci9DQUlRQUNvZENodHljRjlvT2xKeU5tbHNiMVY0UWkwNVJHdHBXRU5HYURkVlgwRRAB
