outlet,author,rating,text,date_posted,review_id
Anytime Fitness NorthShore Plaza,Sihan Goi,4,"Trained here from 7-9am, the crowd was very manageable. It's quite a big branch with 4 half racks, a power rack, a platform, 1 hybrid bar per rack/platform, 1 set of Hammer Strength bumpers, and 1 extra pair of Ziva 15kg/20kg bumpers each. There are also ample black rubberized plates. Dumbbells up to 50kg, ample benches, plate loaded machines, cable machines, cardio machines, and a C2 rower. Also a hex bar and a short bar. In other words, quite well equipped. Half the bars don't spin very well though, but are good enough for general gym lifts though. Facilities wise, the bathroom is unisex, has 3 shower stalls and and toilet stall. Not sure about the service as it was pretty much unstaffed when I was there.",,Ci9DQUlRQUNvZENodHljRjlvT2xsM2RIVXdSVzUyUlV0UlpqUndORk5zWm1OdWMyYxAB
Anytime Fitness NorthShore Plaza,Venkata Vishnu,5,"I’ve been really impressed with the Anytime Fitness at Northshore Plaza. The gym is spacious, modern, and very well-maintained, which makes every workout session comfortable. The equipment variety is excellent — from free weights and strength machines to cardio and functional training gear, everything I’ve needed has been available and in good condition. I was pleasantly surprised to see even a heavy bag, which adds great variety for boxing or conditioning workouts.

The staff are friendly, approachable, and always ready to help, which creates a welcoming vibe. The facility itself is kept clean and bright, with private showers and restrooms that are convenient after a workout. I also like that the gym is open 24/7, so I can fit in a session anytime, even with a busy schedule.",,Ci9DQUlRQUNvZENodHljRjlvT2twcVRtOUpibEZPYUdWZlNtOXlUSE5xWWxVMFgxRRAB
Anytime Fitness NorthShore Plaza,sridhar chikkala,5,"The gym is very spacious and well-maintained. The equipment is neatly arranged, and the place is always hygienic, which makes workouts really comfortable. A great environment to train in!”",,Ci9DQUlRQUNvZENodHljRjlvT2tKclpUYzNPVGhKTkRSd2J6VnVhekpaY0hoa1ZVRRAB
Anytime Fitness NorthShore Plaza,Siti Zulaiha,5,"What I really appreciate is the positive atmosphere. Whether you're a beginner or more experienced, everyone seems to feel welcome. I’ve also tried a few of the group classes, and they’re fantastic — energetic, challenging, and fun.

Highly recommend for anyone looking for a serious, supportive place to work out.",,Ci9DQUlRQUNvZENodHljRjlvT2xWb1JGY3hiVzFPTkRSaVQwMVBPVnBpTmsxTGRVRRAB
Anytime Fitness NorthShore Plaza,Aisyah Realmie28,5,"I recently had the pleasure of visiting AF Northshore i am from other AF, and I must say, it exceeded my expectations! The facility is impressively big, spacious, and exceptionally clean, creating a welcoming atmosphere.

What stood out to me the most was the friendliness of the staff. Everyone, including the new manager, was approachable and eager to assist, which really enhanced my experience. It’s clear that customer service is a priority here.

Overall, I highly recommend AF Northshore for anyone looking for a comfortable and enjoyable environment. I look forward to my next visit!",,Ci9DQUlRQUNvZENodHljRjlvT2xwV1RFaG1ZbWROVjNFMVJuaDBUMlpUWjJkcVpIYxAB
Anytime Fitness NorthShore Plaza,Michael Thein,5,"“One of the best Anytime Fitness branches I’ve been to. Spacious layout, modern machines, and a great atmosphere. Perfect for anyone serious about fitness.”",,Ci9DQUlRQUNvZENodHljRjlvT2xWUVYwNUdWMTloWVhveU5HRk5VbFZNWlY4ME1FRRAB
Anytime Fitness NorthShore Plaza,Ezekiel Azmi,5,"👑 👑 👑 👑 👑
I had a trial personal training session with Ridhwan and it was a really great experience. He is professional, patient, and very motivating. He explained the exercises clearly, corrected my form, and made the workout enjoyable. Although I didn’t sign up for PT due to financial reasons, I would definitely recommend Ridhwan to anyone looking for a dedicated and knowledgeable trainer..",,Ci9DQUlRQUNvZENodHljRjlvT2tVMlQxWjNjME5qY25saE9FdGpNbFUzTUhaQ00yYxAB
Anytime Fitness NorthShore Plaza,Amanpreet Singh Kalra,5,Wow by far the best gym in Singapore. Spaciaous with almost all the machines you could think of..Had a dream workout,,Ci9DQUlRQUNvZENodHljRjlvT2tSU2JFVnpUMWh6VlZsRlQxQjJaSEJNU2sxeGVWRRAB
Anytime Fitness NorthShore Plaza,Justin Neo,5,Fully well equipped gym! Nice and clean environment with friendly staffs. 👍🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT2tWamFFTlpXVFZyTTFGTVZURkdWa05CYWxRdFRGRRAB
Anytime Fitness NorthShore Plaza,M Ang,2,"Large gym located in Northshore Plaza.

Conditions of the equipments are pretty bad. Metal parts are either rusting, or needing to be oiled. Some equipments falling apart / too loose. Cables are loose for lat pulldown machine and rear delt machine. Aircon is leaking at many places (e.g. above barbell hip thrust, tricep extension machines).
Only 1 toilet for sharing, condition is worse than public mall toilets. Smell like pee and sometimes missing toilet paper. Water cooler is right outside the toilet cubicle...",,Ci9DQUlRQUNvZENodHljRjlvT2xFMk4wYzNSR1Z4YlROSkxUZEtWVGhvZDBWWlFVRRAB
Anytime Fitness NorthShore Plaza,Juvy Amking,5,"The gym is well-maintained, so don’t believe the reviews complaining about rusty equipment. Maybe those people need to go to a high-end gym and pay 💰💰 to feel satisfied 😂 If you’re here to actually train (not just pose for selfies), you’ll find the equipment more than up to the task.

The staff are genuinely friendly and helpful, which really adds to the experience. As for the new manager, a little smile wouldn’t hurt! 😅

All in all, it’s a solid gym with great value for money and a good atmosphere for serious workouts.",,Ci9DQUlRQUNvZENodHljRjlvT2xSUFozRmZURXhXUkhCb1owRkZNRE5UVldKTlpsRRAB
