outlet,author,rating,text,date_posted,review_id
Anytime Fitness Sunway Big Box,Fatin Syafiqah,5,"For those who firstime subscribe gym, it is really helpful and worth it to sign up with the personal trainer (one-on-one) as they guide and teach on how to use the machines and techniques for the upper, and lower of your body in a proper form.

I would like to recommend PT Adda to others that looking for a skilled and supportive trainer.

Thanks to PT Adda and also PT Naufal for guiding and explaining to me the purpose of each exercises.

Besides, the equipment and facilities provided are clean, good conditions and the staff also friendly.",,Ci9DQUlRQUNvZENodHljRjlvT21OTFFXczVYemhNVmsxWmRrUnNVa0UyYkdJdFJHYxAB
Anytime Fitness Sunway Big Box,Mariy Halid,5,"The best gym experience I’ve ever had! 💪 The facilities are clean, convenient, and well-maintained. The equipment is always in great condition and there’s everything you need for a full workout.

All the staff here are super friendly and always ready to help. A big shoutout and huge thanks to my personal trainer, Adda 🙌  she’s been supportive and motivating from day 1 until now, always pushing me to do better while making the journey enjoyable.
For first timers,  don’t be afraid to start! The team here is welcoming and will guide you step by step, making you feel comfortable and confident from the beginning.

Highly recommend Anytime Fitness Sunway Big Box to anyone looking for a supportive and positive environment to reach their fitness goals! 🔥",,Ci9DQUlRQUNvZENodHljRjlvT21SU2JIWlZUWEpIVHpObFVGOXJSa0pWZURKSlQwRRAB
Anytime Fitness Sunway Big Box,Syaf Zulkifli Mohd Zain,5,"Supportive Team & Great Environment

I’ve had a really positive experience at this fitness center. The staff are consistently friendly, professional, and go out of their way to make members feel welcome. A special shoutout to my personal trainer, Ikmal — his patience and attention to detail during my rehab sessions have made a huge difference in my recovery and confidence. The gym is clean, well-maintained, and the members here are respectful, which creates a great atmosphere for training. Plus, being located in a mall makes it super convenient for grabbing food or running errands after a workout.",,Ci9DQUlRQUNvZENodHljRjlvT2s1aFJWaHNjRWRCZUZBeVN6UlNhM0kzTFVab1QxRRAB
Anytime Fitness Sunway Big Box,Derek Lim,1,"The black flooring material is so bad - bad absorption of impact / so hard and it's so thin. It's very bad for knee and legs for many. It's like the ""cheap"" shopee product for such a professional setting. The previous flooring is much and way better, very good material. Hopefully the management can look into this - reverting back. I stop patronizing some branches with this flooring change earlier. Sadly Sunway follow suit which is real bad. Many members also said so - bad choice.
Pictures attached for this end product.

Wasn't this change / done very ""recently"" within days? Evident on what was said above.

Purely addressing the flooring issue. Other areas are great / service and team / ambience / les mils products etc.",,Ci9DQUlRQUNvZENodHljRjlvT2tWWFEycDVkRFZhTFRkcWJsYzRSa2xZTldrMVdtYxAB
Anytime Fitness Sunway Big Box,Sebrina,5,"I joined Anytime Fitness a couple of months ago to pursue a healthier lifestyle, and despite having a gym in my apartment, I chose to continue my fitness journey here because of the amazing atmosphere. Coach Naufal has been amazing in making my workouts more effective and enjoyable, which is why I decided to sign up for personal training sessions with him. On weeks when work gets hectic and I go MIA, he checks in and keeps me accountable, helping me stay on track with my fitness goals. He also ensure that we do deep stretches before each session to avoid any injuries. He pays attention to each client and I highly recommend him!",,ChZDSUhNMG9nS0VJQ0FnTUNBal9fY2J3EAE
Anytime Fitness Sunway Big Box,A Ai (Aisah),5,Nice and clean gym. The staff are friendly and helpful. Good equipment and  Great place to work out anytime. Having good experience with coach Adda. She the best.,,Ci9DQUlRQUNvZENodHljRjlvT2taUVJrSlplSEZFZURKa0xWQmZjVzVmWVZselQwRRAB
Anytime Fitness Sunway Big Box,Joyster,5,"I’m so glad I joined Anytime Fitness, especially because of my coach, Coach Wan. They are incredibly knowledgeable, patient, and motivating. From day one, they took the time to understand my goals and created a program that’s both challenging and realistic.

What I appreciate most is how they pay attention to my form and technique, ensuring I work out safely and effectively. Their encouragement keeps me going on days when I feel tired or unmotivated, and they always celebrate my progress, no matter how small.

Training with Coach Wan has not only improved my fitness but also boosted my confidence. I’m stronger, healthier, and more disciplined — all thanks to their guidance and support.

Highly recommend Anytime Fitness and especially Coach Wan (Ridzwan) to anyone serious about reaching their fitness goals!",,Ci9DQUlRQUNvZENodHljRjlvT2poeWRGWTJNVEZyYlVWbFYwWTRaa3hFWlVsTE4zYxAB
Anytime Fitness Sunway Big Box,harvend 26,5,"The equipment proved to be of high quality, user-friendly, and readily available. Furthermore, Mr. Selvakumar demonstrated exceptional helpfulness and expertise. His proven ability to guide clients toward achieving their objectives is commendable. I highly recommend and advise pursuing training under his guidance.",,Ci9DQUlRQUNvZENodHljRjlvT2t0U0xVOW1SSFowU214dVFrc3RaSGRtV1ZoTk4wRRAB
Anytime Fitness Sunway Big Box,Taufik Germ,5,"Got a great experience today, been approached by coach selva while me and my buddy on a work out. He teach us how to do it correctly and also give us tips how to improve our work out and dieting. Overall the environment, staff and coach here very friendly and helpful. Very recommended gym if you want to start a new healthy lifestyle. 👍🏻👍🏻👍🏻",,Ci9DQUlRQUNvZENodHljRjlvT21wclpsOWtXVXBQVFd4dll6UnhkSEpHTUVGclgxRRAB
Anytime Fitness Sunway Big Box,Kimberley Howarth,4,"Really nice and well maintained gym. There is a large selection of machines, free weights, and cardio equipment. They also have a large studio. The biggest studio of all the branches so far, I believe. And they have a good selection of classes. I appreciate that the trainers/staff also leave you alone and let you do your own thing... and not follow you around trying to make conversation or try to talk or bully you into buying a package. I like that a lot. Even the person who attended to me when I came to enquire for membership (Yusri) was very relaxed and chill, and did not try to hard sell me or give me an hour long sales talk like so many other commercial fitness centres do. Thats was the main reason why I decided to sign up here. Only thing is the music is way too loud... I have trouble listening to my own music and surely it cant be good for your hearing to have the music turned up so loud. It's supposed to be a gym right, not a nightclub. The toilets and showers are pleasant and clean. One of the shower lights is not working. And the step to the washrooms are also quite a fall hazard. Why the step was built like this, who knows!",,ChZDSUhNMG9nS0VJQ0FnSURUNjZfN0dBEAE
Anytime Fitness Sunway Big Box,Thiban Sukamaran,5,"Staffs are friendly, knowledgeable and cheerful. Overall gym is very clean. Equipments are well maintained. Thumbs up.

Special thanks to Mr.Selva, a great coach who  truly cares about helping members. Highly recommend him🔥💪",,Ci9DQUlRQUNvZENodHljRjlvT2xsSE5VbHRabTA0UWxJM2QwTnhMVTVNV1dwRFFYYxAB
Anytime Fitness Sunway Big Box,Vithya N.M,5,"The gym coach Mr Selva explained my fat loss plan and nutrition very clearly. He was very knowledgeable, patient, and motivating. I really appreciate his guidance!",,Ci9DQUlRQUNvZENodHljRjlvT21KdGRFMXhWbFZoTFdoSWNuVXdRa281VmxabFNtYxAB
Anytime Fitness Sunway Big Box,Robin Ong,5,"Anytime Fitness Sunway is a spacious gym that is extremely well-equipped and well-staffed.

Walked in on a weekday afternoon and was surprised to find more than 5 staff-on-site which feels higher than the norm (esp. when compared to Singapore where wages are high(er)).

The gym has great facilities and in my opinion is one of the best Anytime Fitness branches in South Johor.",,ChdDSUhNMG9nS0VJQ0FnSURMMklDUXR3RRAB
Anytime Fitness Sunway Big Box,kannesh kumar,5,"Since I joined Anytime Fitness in May 2025, I’ve learned a lot from this gym. Special thanks to my personal trainer, Abang Wan – he motivates and supports me every single day. The environment is friendly, the equipment is well-maintained, and the staff are always helpful. Highly recommended for anyone serious about improving their fitness!",,Ci9DQUlRQUNvZENodHljRjlvT2poWVlUaG5jamRLV0RsRVdrOURPSGx4VjFOVVRFRRAB
Anytime Fitness Sunway Big Box,Sakinah Halig,5,"I personally hate going to gym or exercise but the idea of me unable to walk at my 80s later on is tougher. So I decide to join anytime fitness for its classes and compare to other AF, Sunway bigbox & Aeon Bukit Indah has more classes and even weekend (Bkt Indah) (hope they will remain the classes on weekends since we (read: me) are working fulltime). You can join AF and go to any AF you want to.",,ChZDSUhNMG9nS0VJQ0FnSUNfejZ2N2JBEAE
Anytime Fitness Sunway Big Box,Danish PLC Automation,5,"Been working out for some time now but my techniques wasn’t the best, Coach Selva showed me the right techniques and showed extra work outs than can be done manually without the bench incase the gym is congested. Right posture is most important when gym IMO so super good!",,Ci9DQUlRQUNvZENodHljRjlvT210R2J6TmxZVFpQZEZwSldFZFpiSEYzYWpsemJsRRAB
Anytime Fitness Sunway Big Box,NORAISHAH BINTI AZIZ,5,"Really enjoy my experiance at Anytime Fitness Sunway Bigbox. The trainers especially Coach Adda and Azry are super friendly and approacable😄the admin Ms Priya also. Plus point the area are clean, comfortable and smells fresh. They manage to create a really welcoming and motivating environment. If you're looking for a gym that feels good, this is a great choice😍😍",,ChZDSUhNMG9nS0VPV3o4STYyOEluVmNREAE
Anytime Fitness Sunway Big Box,Dicky Frismandoni,5,friendly staff and great equipment + definitely very clean gym! gym located inside the mall so you can look around after workout to chill. recommended 👌🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT2podlVXbElZMUpOU0ZOelNqTlFOR3RNWm1wV2JFRRAB
Anytime Fitness Sunway Big Box,subha subramaniam,5,Great gym! Convenient location and Trainer Selva was very helpful on teaching how to use equipments and gave handful tips on some strength exercises.,,Ci9DQUlRQUNvZENodHljRjlvT2tGcFZsUlRiV0ZqUVY5VFgwRlplRmw1ZW5odlJVRRAB
Anytime Fitness Sunway Big Box,Sooridarsan Krishnan,5,"Excellent place for a workout. Friendly trainers and energetic classes every day. I highly recommend taking a Personal Trainer if you are new to gym workouts or want to lean good techniques. All the PTs are friendly and well experienced.

All in all, highly recommended.",,ChZDSUhNMG9nS0VJQ0FnSURUazVqWmJBEAE
Anytime Fitness Sunway Big Box,Shahrin Suhaili,5,"Had a great session with Coach Azry!! He always push me to the limit in order to get the best out of me. He always motivate me and say “YOU CAN DO IT!” when I feel “I CAN’T DO THIS” . Apart from that, he also give me advise about a proper meal plan and a proper workout plan with the correct form. I felt different whenever I workout alone and workout with him!! Absolutely friendly and knowledgable!! I wish him the best for his journey as a PT and his competition next year.",,ChdDSUhNMG9nS0VJQ0FnSUNQeU4zcHlnRRAB
