outlet,author,rating,text,date_posted,review_id
Anytime Fitness Wisteria Mall,Muhammad Zulfadly Bin Abdul Manap,4,"Decent variety of equipments but there's no hip thrust machine. Other than that, gym has adequate machines and squat racks to get a decent workout in. Some of the weight plates are old. Take note you have to use a different entrance in-between 9pm and 9am. Ventilation is a bit stuffy even though it was like 6pm on a Saturday.",,Ci9DQUlRQUNvZENodHljRjlvT2psWFZWbHlNelIwVEZwRVoydGFVM2x6Y0U1RlkxRRAB
Anytime Fitness Wisteria Mall,Leon Ong,4,"Located at basement of wisteria mall. Equipment assortment is adequate and reasonably maintained. Accessibility wise, need to be mindful that the entrance to mall only open at 9am, before that needa use the back door.",,Ci9DQUlRQUNvZENodHljRjlvT2t0U2RqVkRXR1kxYTNsYVpYTlFjbkk0WDBscGRXYxAB
Anytime Fitness Wisteria Mall,Cassandra Joyce,5,"My go to gym … lovely and friendly staffs
especially Mary she is very bubbly and brings life to the gym.
Love that they have classes for beginners like myself!
Bollybeats Zumba is the top fav 😍 …",,ChdDSUhNMG9nS0VKckd6OWFaMlp2RHp3RRAB
Anytime Fitness Wisteria Mall,conny quek,5,"Done with my PT with BEN.
Happy to say I can do one pull up after 3 months and 2 min dead hang.
I enjoy working out here - it’s clean, no typical gym bro/gal smell (not being mean just saying) and everybody is very responsible in keeping the environment great for other users. Nice community here too!",,Ci9DQUlRQUNvZENodHljRjlvT2tNNVptNWhUeTFoYkdGRlRIRkljeTFRZUV4RWVHYxAB
Anytime Fitness Wisteria Mall,zhen feeh,5,"Very convenient, can exercise anytime when I free. Equipments are maintaining well, got free classes for members.",,Ci9DQUlRQUNvZENodHljRjlvT2t0WFpUQkRORXQ2ZDBGVVVIWjFaMVpNYVhSTkxWRRAB
Anytime Fitness Wisteria Mall,Ric Ong,5,"Been in this gym for a few months now, staffs and coach here are friendly and helpful :) overall environment friendly too. Maybe the equipments can upgrade overtime but they are efficient enough to train",,Ci9DQUlRQUNvZENodHljRjlvT25ob01sRlViMWg1VUZWbVZtaEhTRmt3U0ZGT1FXYxAB
Anytime Fitness Wisteria Mall,Alexander Aaltonen,1,"Sad to say that this is the worst AF gym I've visited. Been to several ones in SG as well as Malaysia, Australia, The Philippines, Taiwan and Hong Kong... this branch falls well below the usual AF standards 🫠

I came here for the first time back in 2021 when it was still decent, not great but good enough. Now after revisiting a couple years later, it seems like nothing has been renewed and the facilities and equipment are poorly maintained. The worst part is... the place seems to be hit by a nasty cockroach infestation 🪳

Seems like a revamp + pest control is long overdue -- you got to do better! This is just sad.",,ChZDSUhNMG9nS0VJQ0FnSURyOGJpLUR3EAE
Anytime Fitness Wisteria Mall,Miss Chanandler Bong,5,"Been coming here for years. After the gym refresh, the environment got much better. Very convenient as well, and made many friends here, they became my besties! The  staffs here are friendly as well.",,Ci9DQUlRQUNvZENodHljRjlvT2twS05FVnhUSGN4VUhGS1h6azBkMVZ0TkZJM1RuYxAB
Anytime Fitness Wisteria Mall,Nicole Vooon,5,"Decided to start gymming in 2024 and Ben has helped achieve my health goals faster than I expected. Thanks Mary, Matt, Gillian and Ben for maintaining the gym, making a second home to many and even going out of the way to entertain my son while I workout!",,ChZDSUhNMG9nS0VJQ0FnTURBb1BXTmFBEAE
Anytime Fitness Wisteria Mall,Kei Chen,4,"Staffs seem friendly so far :)

Part time staff named Iman, friendly and informative! Thank you for answering some queries which i had! Keep being helpful and amazing :)
(As most of the time i gym after office hours or midnight hence don't really see full-timers staff.)

• Not a big gym
• Very Convenient to those stay near the area and wants to exercise at any timing.

• Not received the Anytime Fitness T-Shirt from New Member sign-up package until after about 1 year, DIDN'T notify me when stock arrived despite Promised, i had to keep checking with them every few months😞

Except the above mentioned, all seems fine imho.

√ It will be perfect if the Management actually deliver what they promised. Thank you for being at this mall :)

[+]
It will be excellent if have a more solid punching bag and better placement with more space, the current and placement isn't satisfying with how it is, but yeah you get what you pay.

-+-+-+-
Overall Value worth for convenience and 24hrs👍",,ChZDSUhNMG9nS0VJQ0FnSUQ2eVpXOGZREAE
Anytime Fitness Wisteria Mall,titus thu,5,"It used to be my playground, the very spot where my transformation began! It’s an amazing and welcoming gym that makes every workout feel like an adventure!",,Ci9DQUlRQUNvZENodHljRjlvT204MFF6UmZaVmxNYVRkRVYwRnpUWG93TVRkUlZrRRAB
Anytime Fitness Wisteria Mall,Naimi Adia,5,my wife and i came to sign up for our membership w AF Wisteria. Mary was friendly and efficiently assisted us with the necessary steps and even gave us a tour around the gym. Ben was very thorough with his explanations of his PT sessions. both Mary and Ben were welcoming and gave my wife and I motivation towards an active lifestyle!,,ChZDSUhNMG9nS0VJQ0FnTUR3eS1tZURREAE
Anytime Fitness Wisteria Mall,Meghana Joby,5,Great gym with top-notch equipment! 24/7 access is super convenient. Highly recommend!,,Ci9DQUlRQUNvZENodHljRjlvT2xKa09FVnZMV2w1YVRnMVpuSmtjVnBNY2kwNGFWRRAB
Anytime Fitness Wisteria Mall,kiriny ʕ·ᴥ· ʔ,1,"signed in 2021 but the gym has went down in terms of quality and maintenance since then.
equipment maintenance:
- most of the steel plates are in shambles, rusty and coating chipped off (see pic)
- deadlift platform broken for some time (see pic), every time need to kick it back into position
- leg extension machine broke down a few times and took some time to be fixed only for it to be broken again
- machines rusty/ worn (see pic), attachments broken (see pic)

environment/ cleanliness
- locker area always smelling like sweat, very musty. can't stand there for long and my friends and i have to hold our breath there. personally i’ve gagged a few times.
- washroom smells funky sometimes, found a dead roach as well.
- aircon is weak, dusty fans not helping (see pic), overall ventilation is poor
- not sure what’s going on with the walls (water stain, dust bunnies)

although cleanliness doesn’t affect your workout, it does bring down the overall ambience. it’s really a downer to work out in a gym where you can tell there isn’t much effort put into maintaining an okay environment for you. even if replacing worn equipment isn’t possible, the least that can be done is to maintain a clean environment for people who are paying ~$100 monthly.  other AFs have much better equipment maintenance, cleanliness, and general ambience yet charge the same price.

only coming here for convenience as it’s the nearest gym to me and to clock in my hours else my membership will be transferred to other AFs.

1 point cos i met a bunch of new friends here. community is not bad, lots of regular lifters and familiar faces.

hopefully management takes some form of action.

update Feb'24:
removed toilet paper from all cubicles to restrict usage, leaving only one roll outside for us to ""take what we need"". friends have mentioned they started locking up the toilets to restrict use as well.

notice all the 5 star reviews and how the accounts leaving them have 1-2 other reviews only? 🤔 believe management gets them to leave good reviews when they sign up for some signup goodie bag

if there is a 0 star, i will give. i want to give -20 star but i cannot so 1 star.",,ChZDSUhNMG9nS0VJQ0FnSUNKdmRqQ0N3EAE
Anytime Fitness Wisteria Mall,Joel Leong,5,Convenient gym that’s well equipped in a mall!,,Ci9DQUlRQUNvZENodHljRjlvT25aVmRWZ3RVVk5JYVVodlYybHZNMWhTV1ZvNE1FRRAB
Anytime Fitness Wisteria Mall,Miekaj Qawi,5,"I can’t recommend Ben enough! Their expertise, motivation, and personalized approach have made a huge difference in my fitness journey. Every session is challenging yet enjoyable, and I’ve seen amazing progress thanks to his guidance. Ben genuinely care about their clients and go above and beyond to help achieve goals. Thank you for pushing me to be stronger and healthier !!",,ChdDSUhNMG9nS0VJQ0FnTURRenBfODFRRRAB
Anytime Fitness Wisteria Mall,Nur Fazeerah,5,Mary was extremely friendly & patient in signing me & my partner up for the membership at Wisteria AF!! Coach Ben was also very professional at explaining about the PT sessions & is very outgoing. Looking forward to start my gym sessions with them.,,ChZDSUhNMG9nS0VJQ0FnTUR3eTluNGJ3EAE
Anytime Fitness Wisteria Mall,nur farah,1,"So many things wrong with the club.
1. Equipment is old, rusty and falling apart.
2. Roaches everywhere not just near the toilets. Cleanliness is really poor and getting worse by the day
3. Poor staff reception and underhanded tactics to secure signups",,ChZDSUhNMG9nS0VJQ0FnSUNUXzZYLVdREAE
Anytime Fitness Wisteria Mall,Nur Atiqah Bte Isa,5,"Signed up for the free trial last week, and immediately signed up for a membership online the day after. The gym was recently renovated, so the equipment looks brand new! The registration process was smooth and hassle-free, and the AF POC who attended to me, Mary, was very friendly and patient in attending to all my questions. 😊 …",,ChdDSUhNMG9nS0VJQ0FnSUNudTVhaWl3RRAB
Anytime Fitness Wisteria Mall,Felix,5,"I was attended to by the friendly and approachable AF manager, Mr Mat. He took the time and effort to show me around and explain to me the facilities in the gym. The gym has undergone renovations and seem to be in good shape. Thank you Mat for taking the time and being patient in answering my questions.",,ChZDSUhNMG9nS0VJQ0FnTURBNE5HemVnEAE
